id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,assist,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/10/value,keyPass,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2497196531,1,34,16,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2023-01-14T14:33:34.812Z,2023-01-14T15:34:51Z,3977358133,197,3241,3976946463,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976946455,59,"97, 14, 24, 8, 3, 5, 79, 6, 9, 20, 10, 4, 11, 13, 16, 22, 23, 82, 90, 99",3976946461,194,chy52wzncc8ulmer9z2rebit,3976946459,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976946453,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976946451,30,"9uc54rlxmahbfppv97zi81yhh, 7m2za4jynw9fdc2ax1455ibpx, chy52wzncc8ulmer9z2rebit, de1nmkgahbsrky75itebiitp1, 2amti8wga8jpons4mizksjd1x, 8f8lbg182g5jwnqbj1zgjbljp, bljvhirrui29i12tysjdtmnd, 3ynj76lod24r597rmhshxczpx, 2u7fm04v2xzqso4rubkrvjcru, 575pl0igxsevhmf6nfmjwwyxh, hrr3761wvgn1ayhsrrz4rf11, 10mmhviatbpx75fslh68s25lh, dn4o1wa7ia54rpytm5fikbsh5, 4wces11j8ejvbpz1zqd94b7fu, 380ejwyblelr0ef3um2cwv3ai, 9xk50bv3qlja26r1ecary1y3t, 9pi6sf9sdni4dn6db7rej0r85, 8bcfmmsjnman2nsp2t9rsrvxm, 8ilf7i6y4c9ezpgddh5h3ohlg, e6a9772gyk37kw0dg3xieu9d5",3976946457,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497203881,1,34,16,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2023-01-14T14:44:09.015Z,2023-01-14T15:36:23Z,3976986859,59,"31, 2, 94, 21, 3, 4, 7, 6, 11, 23, 38, 8, 1, 10, 12, 15, 27, 36, 39, 45",3976986865,194,3bysj69bufnbqx70q6ufzat49,3976986857,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976986867,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3977287615,197,385,3976986861,130,8,3976986855,30,"4nl5hapemrmmuh1r8afne8b85, 8q4m06v3yfsq2iza942ezaxud, 8jcuunhako2i9ynmp8v3w2eax, 8qn1z72et0w6bqw9mstopb7px, a00q0qj479gzj5hymx4ix5lp0, 8czsihbd6817k4uzvwenqvxex, 57xeumfhz5h30yn1168rgljah, 1c8ki3i0dz0axlnd0vauzw9d6, 757f9x11lzcug3d6sn39d85wp, 3bysj69bufnbqx70q6ufzat49, bn1rwgy1yhd0ov3u4pu2lb6ga, 549guee46difwv85rq18p7f1l, 3y7h2e79gvzrqor9gg854dl91, 8sg65mj881mnfd9wgtew01s5x, cqfw0fsbxyjb7mduk2hk27e1h, 5n3pl3j98lkmzzus1b095bkd1, 6i4i4rqqcvxa7rsysriqxlxat, 388ux45xau80x9rom4s2bapgq, bmv1uzsltia86qpoj52ycfai, 68o93orxpx4ehs4dsa57521g5",3976986863,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497265731,2,32,1,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2023-01-14T15:31:14.430Z,2023-01-17T02:12:17Z,3977321097,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497265773,2,32,1,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2023-01-14T15:31:14.430Z,2023-01-14T15:31:17Z,3977321299,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497265817,3,1,1,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,50.1,50.7,2023-01-14T15:31:14.467Z,2023-01-17T08:57:53Z,3982003455,178,,3977321545,213,3.1,3977321537,56,Back,3977321541,141,51.3,3977321543,212,11.3,3977321547,279,S,3977321539,140,39.3,,,,757f9x11lzcug3d6sn39d85wp,J. Ramírez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497265895,4,1,1,0,1,7kfx3xpj2c2wxinsyi16i9gaz,1,39.3,56,2023-01-14T15:31:16.348Z,2023-01-17T08:57:58Z,3977321907,141,11.4,3982003489,178,,3977321909,212,31.1,3977321903,56,Back,3977321911,213,4.5,3977321905,140,32.7,,,,,,,1c8ki3i0dz0axlnd0vauzw9d6,Rafael Brito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497266007,5,1,1,0,4,7kfx3xpj2c2wxinsyi16i9gaz,1,32.7,11.4,2023-01-14T15:31:18.996Z,2023-01-17T08:58:03Z,3977322557,212,17.8,3977322551,56,Back,3977322553,140,22.4,3977322559,213,2.2,3982003535,178,,3977322555,141,32.2,,,,,,,8q4m06v3yfsq2iza942ezaxud,Cláudio Winck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497266057,6,1,1,0,8,7kfx3xpj2c2wxinsyi16i9gaz,1,24.4,41.9,2023-01-14T15:31:23.022Z,2023-01-17T08:58:07Z,3977322881,213,1.7,3977322875,212,18.4,3977322869,56,Back,3977322873,141,68.8,3982003577,178,,3977322871,140,22.5,,,,,,,a00q0qj479gzj5hymx4ix5lp0,M. Mosquera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497266333,7,1,1,0,14,7kfx3xpj2c2wxinsyi16i9gaz,1,31.3,67.8,2023-01-14T15:31:28.960Z,2023-01-17T08:58:10Z,3977324425,56,Left,3982003597,178,,3977324435,1,,3977324433,213,0.4,3977324427,140,66.4,3977324431,212,40.5,3977324423,155,,3977324429,141,92.6,8czsihbd6817k4uzvwenqvxex,Matheus Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497266391,8,1,1,0,19,7kfx3xpj2c2wxinsyi16i9gaz,0,68.6,72.1,2023-01-14T15:31:33.853Z,2023-01-17T08:58:15Z,3982003637,178,,3977324773,141,72.1,3977324771,140,84.8,3977324775,212,17.0,3977324777,213,0,3977324769,56,Center,,,,,,,8jcuunhako2i9ynmp8v3w2eax,Vitor Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
