id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/8/value,assist,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,keyPass,qualifier/12/value,qualifier/18/value
2442210573,1,34,16,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-08-05T18:13:56.524Z,2022-08-05T19:26:17Z,3685631343,30,"25n2vrjnz5qsm5pigyn3ps8vd, djb8j3hb7mnnghg9jmd15w0r9, c0pat4dqmsc4teand5ampsdlh, ds66cc3zwxbyl5zfzag5422g9, 1ni0afs55daxlb5ocaqb2o8vd, 8zt0zlypar7m1eqj4zu8ul695, dh3ddfghtgeb2iu2608y96i5m, 1nqpxso2a9qw8w8g6u4sb60ut, 3vln1sp3b13v1yhcsd0vl3c2x, 1swp008ttj3pd57fz5uw8mctm, 3w3z6g8x70ii3pltaxyxbycwl, c7wta7tm5rfielv4211c253v9, 9l70xwbhc0xr57iifzyxzot7t, clnli7y2s88p16yqtrbsb99sl, 4effb0zguv2lqtv2vl9lqb696, bdgqvvkpadpthmlm40wa6dcyx, 1doj252anzqdzn5fknqr5i31l, 3ozxp5nhqrwwwezjdp4xbzaw9, evdhe2j9k1smuk1ul7woo3h0p, 2jl9lfqd2q74iwamx7g0xva50",3685631345,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3685631355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685631353,194,8zt0zlypar7m1eqj4zu8ul695,3685631349,130,11,3685631351,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685631347,59,"12, 28, 8, 6, 3, 13, 11, 14, 19, 17, 10, 1, 2, 7, 9, 21, 23, 32, 43, 64",3685835639,197,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442212121,1,34,16,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2022-08-05T18:16:29.278Z,2022-08-05T19:14:40Z,3685639687,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685811761,197,368,3685639685,194,x32fbvwwxkda9ruezw67b3dh,3685639679,59,"99, 2, 3, 61, 30, 91, 7, 13, 88, 27, 20, 5, 6, 9, 22, 28, 33, 39, 66, 77",3685639683,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3685639681,130,8,3685639677,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3685639675,30,"7jtc6yk5xu4cm1an97wrgozbp, 7qwzed85qna21zisvvatrjlxx, 12f4mz064elnxecq2srl7r6j9, 5t952swvuoed4pdwgbi4yjhex, x32fbvwwxkda9ruezw67b3dh, bocgbpxctelmsucqoba2dujca, 7pi4j76iy3cfh0bfkxf9x8ell, 1zxwich342p8fholev7ddkwh6, 9v4l7ic3ve6d22c0gs9p1oe3u, 37ao6cj3w5pd5v5ap79fqlxw5, fvuj5umkjxxb1btu6004xjh1, 78fx1xqqtcqm2g4h1dj8beml1, 9j0v9bomstpbku7nnmqp8n7c9, 32eyq4xvy8s1ng11jnavvh32t, yzee990gbkpl00qdgr6h3r2t, 5i8dbjuewybsfgyym63clfw0l, bxcpii8qeyw2duignml45sc15, 8uj1pf52hctbd2uxjz4s4tnxm, 2p86mzr8qnu9iy01fusvovf56, b2f67gkfb59hda2vka59e7qol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442247655,2,32,1,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-08-05T19:18:20.304Z,2022-08-05T19:18:20Z,3685829403,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442247671,2,32,1,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2022-08-05T19:18:20.304Z,2022-08-08T10:03:25Z,3685829455,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442247705,3,1,1,0,0,dich5v7sw466smbqap0d9rbyj,1,50,50,2022-08-05T19:18:20.325Z,2022-08-08T02:22:55Z,3693685493,178,,3685829631,279,S,3685829627,212,21.5,3685829629,213,3.5,3685829623,140,30.9,3685829621,56,Back,3685829625,141,38.6,,,,3vln1sp3b13v1yhcsd0vl3c2x,Rafa Mújica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442247723,4,1,1,0,1,dich5v7sw466smbqap0d9rbyj,1,30.8,38.6,2022-08-05T19:18:22.240Z,2022-08-08T02:23:01Z,3685829771,141,7.0,3685829773,212,21.5,3685829769,140,31.8,3685829767,56,Back,3685829775,213,4.8,3693685585,178,,,,,,,,1nqpxso2a9qw8w8g6u4sb60ut,Oriol Busquets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442247739,5,1,1,0,4,dich5v7sw466smbqap0d9rbyj,1,32.1,6.5,2022-08-05T19:18:24.545Z,2022-08-08T02:23:05Z,3693685647,178,,3685829863,141,4.6,3685829861,140,41.1,3685829859,56,Back,3685829867,213,6.1,3685829865,212,9.5,,,,,,,djb8j3hb7mnnghg9jmd15w0r9,Tiago Esgaio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442247751,6,1,1,0,5,dich5v7sw466smbqap0d9rbyj,1,41.5,4.6,2022-08-05T19:18:25.366Z,2022-08-08T02:23:07Z,3693685715,178,,3685829915,141,9.2,3685829913,140,32.3,3685829911,56,Back,3685829919,213,2.8,3685829917,212,10.2,,,,,,,dh3ddfghtgeb2iu2608y96i5m,Antony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442247761,7,61,1,0,5,dich5v7sw466smbqap0d9rbyj,0,32.5,10,2022-08-05T19:18:26.011Z,2022-08-08T02:23:11Z,3693685737,178,,3685829983,56,Back,,,,,,,,,,,,,,,,,,,djb8j3hb7mnnghg9jmd15w0r9,Tiago Esgaio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2442247767,3,61,1,0,7,9ldqu49smv1xg2va0n2cy28zl,1,40,75.2,2022-08-05T19:18:27.359Z,2022-08-08T02:23:15Z,3685829997,56,Back,3693685827,178,,,,,,,,,,,,,,,,,,,,bocgbpxctelmsucqoba2dujca,Morato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
