id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/14/value,assist,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2527791147,1,34,16,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2023-04-02T18:44:24.738Z,2023-04-02T19:28:17Z,4159209481,130,2,4159209485,194,37usxvspofewb3djlg67lp1hx,4159209477,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4159209487,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159209475,30,"xbk4zraauvq1cj1w5yz08kb9, aavcrjkupdm4kglaae4fiqzmd, av5ng2yhu8q1lqacekmxci0ut, 8y0e1y90ih393h7zv7srfot79, 3enoici51osego5k1w41fuaqd, 37usxvspofewb3djlg67lp1hx, a6r2hqalh9ydoy2a8uv9rztux, el6dn7kq3815p2zd4rppzzw7p, 97vuoqg0x9nx56dmd9u5e12hh, 1nd8l0ofw9x779c0ufwbbo4ph, 2j8v4lkqeg1bcqp77ezseo8vd, 9iqmeo87l56hr3gymmxgkxysq, 8ut3v3ezaj8th41g2kqhhhd9m, 5966ij9cde66bhi1g39kxia51, 5m1fht9uevn186asz8awhxjah, f3zl8ymo5ttze20sffzk044q1, 4j6h9mgau5uaxlm589qlc6rjd, cpmfjroqtibaahb1dr66pl2i1, 5tlj5yw513al38b6uvzmslfbp, 362zqy0y3mlvlg76s8nz8mb6c",4159353773,197,367,4159209479,59,"14, 18, 22, 25, 2, 5, 11, 8, 9, 29, 13, 4, 7, 16, 17, 19, 20, 46, 94, 98",4159209483,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527791465,1,34,16,0,0,co1i764h6b02husae71w6scs8,1,0,0,2023-04-02T18:45:07.238Z,2023-04-02T19:33:33Z,4159211163,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4159211169,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159211171,194,6gmfcfqd1o54zyepd9587nlqt,4159211167,130,10,4159211173,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4159363813,197,3750,4159211165,59,"32, 18, 14, 22, 44, 23, 25, 24, 93, 15, 27, 1, 4, 19, 35, 38, 43, 53, 70, 7",4159211161,30,"cpf5wp34pu80qzvcwakjhh905, 6gmfcfqd1o54zyepd9587nlqt, f29gq7ixyjd9m22yhmb7c7oq1, cgtz4fa0mz9poi4ju8bjtbwiy, 10va1tucy0kb83wllaudp7e95, 33j75k7nnzjit08r24zk00yy1, b7ri94n62dr73s1hb10br7lrd, 52407m29h74ziyt19jty0od7t, 82fjdh9q4378gd1g9l1bimrx1, 7rfeo8qrjotskdx5e6bwk53h1, 3q1nhus52rnkt6nwvqmpb1ct0, r34leywn2c5158ldxrcde5l, 3hzw7c4kkol5okl9imvc70ij9, 2kvb94ocyvs7x1sbq73rr22nd, 7apd6saozsmkhkm7ew06a5a6t, dvxwdpad8a1iatnwcpqvy3m5l, 1rn4qptr6959e85myhn419ono, bpxafwc30rerxmgju6rcau8kp, 1zokl2zp7gtwlmj37kps6lnmx, a6r7abntbrgsp8s69b0a8ngt1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527820003,2,32,1,0,0,co1i764h6b02husae71w6scs8,1,0,0,2023-04-02T19:31:35.708Z,2023-04-02T19:31:35Z,4159364513,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527820013,2,32,1,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2023-04-02T19:31:35.708Z,2023-04-02T19:31:38Z,4159364557,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527820041,3,1,1,0,1,co1i764h6b02husae71w6scs8,1,50,50,2023-04-02T19:31:36.808Z,2023-04-02T19:33:59Z,4159364765,212,23.2,4159364761,140,28.2,4159364767,213,3.0,4159364759,56,Back,4159364769,279,S,4159364763,141,55.7,,,,,,,7rfeo8qrjotskdx5e6bwk53h1,Y. González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527820059,4,1,1,0,4,co1i764h6b02husae71w6scs8,0,28.2,55.7,2023-04-02T19:31:39.743Z,2023-04-02T19:34:22Z,4159364861,140,61.7,4159364859,56,Center,4159364867,212,37.8,4159364869,213,0.4,4159364871,1,,4159364857,155,,4159364863,141,76.1,,,,33j75k7nnzjit08r24zk00yy1,Park Ji-Soo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527820063,3,61,1,0,5,66bsnl0zjb7l5akwo00h0y5me,0,22.4,15.5,2023-04-02T19:31:41.025Z,2023-04-02T19:34:18Z,4159364885,56,Back,,,,,,,,,,,,,,,,,,,,,,aavcrjkupdm4kglaae4fiqzmd,Wilson Manafá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527820109,5,50,1,0,9,co1i764h6b02husae71w6scs8,1,68.1,77.4,2023-04-02T19:31:45.701Z,2023-04-02T19:43:16Z,4159365191,233,4,4159365135,56,Center,4159365137,286,,,,,,,,,,,,,,,,,82fjdh9q4378gd1g9l1bimrx1,Welinton Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527820105,4,7,1,0,9,66bsnl0zjb7l5akwo00h0y5me,0,31.9,22.6,2023-04-02T19:31:45.702Z,2023-04-02T20:33:35Z,4159365131,285,,4159365129,56,Back,4159365167,233,5,,,,,,,,,,,,,,,,a6r2hqalh9ydoy2a8uv9rztux,Pepê Aquino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527826449,90,1,1,0,10,co1i764h6b02husae71w6scs8,1,68.5,81.3,2023-04-02T19:31:46.569Z,2023-04-02T19:43:16Z,4159400673,141,84.2,4159400677,213,2.8,4159400675,212,6.0,4159400669,56,Left,4159400671,140,63.1,,,,,,,,,,7rfeo8qrjotskdx5e6bwk53h1,Y. González,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
