id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2500094765,1,34,16,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2023-01-23T19:20:43.694Z,2023-01-23T20:13:44Z,3992273063,30,"1tkq6knbo350vy0o8aieijmxh, 59ly8uun0sl324s7rtlmp6ac, cmxmyld8l4gjy03zxskyxf5gq, 2b4soa2ddbbmdwm0ur760jh05, 8hyaww1d0p9871u8o8zk8f9at, 2nod7tpovdjb85efh2sogijth, 5jsb62u7jx2vtblnbtxvttq3u, brdhlpiyg3nk936bqe50bqx1x, 7r96u3b7t46s0kg5t5qew3tnt, 1rdadi8uuu161wj8o7gbcn8wl, 47z2phkn1i9z8p32zqlu53j6x, bfy36wqp37utkkbl13k7s99m1, 3845lzar855rp3zp4stgmgul1, c9lykzcr3q7hr50ui74iqastm, 1w926qtyntprx5ommoaa5nhed, z6po5y26nap863d68tcekhqt, avugx69mdi4p8c25p9fetmq22, et4mglw8d0mwweghd2hmzz9jo, 361pxz5e33ydl2c3t63a9kzc9, awu6zsiy6l8e3p1athc733jkl",3992273067,59,"1, 2, 5, 10, 26, 3, 28, 40, 20, 21, 17, 7, 8, 12, 16, 19, 30, 70, 73, 95",3992273075,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992273065,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3992273073,194,2b4soa2ddbbmdwm0ur760jh05,3992273069,130,8,3992273071,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992343833,197,16917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500095093,1,34,16,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2023-01-23T19:22:00.341Z,2023-01-23T20:14:22Z,3992274903,130,7,3992274907,194,ekjpc2tvdk5jtiamtufdqkr85,3992345133,197,1519,3992274901,59,"1, 79, 70, 24, 23, 26, 8, 42, 11, 6, 19, 2, 7, 9, 13, 18, 21, 59, 77, 99",3992274897,30,"ekjpc2tvdk5jtiamtufdqkr85, 4a4kjygjq5el2ylh7k660lul0, 7aak50ydu8nrfxd9qndeygnpw, 47wasen155qbiu6pmyp3dowr9, 3weuuu2vlyod9x7gnk2v9r1ed, c406oul95r3jvmbebcge5oz4l, aissbbcnwyr06fhgfamxo9j2t, eyllkbdemtx2seh48r9l3czbp, rm1d0hp2iwsne1hbfgq0oa21, 6w3iuh0f11tbwr037i7qb031m, 4ax49niuix9tiqdv05y3vbdn9, 3ebyf23azgbktpf7dgwlphkvd, 5za437wrlqizff74n6uqodpzp, 3batawbh7y4sjkeo4hn34svzd, 96tuk7bpr043jh2obpegcgd4a, 90ojk78yhwtwbnz0k5w1ow6hh, 57pi7l4h7g2jydmkc5vl6vkr9, 6ylhhspjzxqrbqj4yq35hwkr8, 5bpx24iyhlarqkmg09pm27lgq, 8lv60zbly3xz43g9hm2s7oqcq",3992274899,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3992274905,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3992274909,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500108329,2,32,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2023-01-23T20:17:25.521Z,2023-01-23T20:17:25Z,3992350235,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500108333,2,32,1,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2023-01-23T20:17:25.521Z,2023-01-25T06:01:22Z,3992350271,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500108341,3,1,1,0,0,3b4nxgvmwzstmoq6borytkwx1,1,50,50,2023-01-23T20:17:25.571Z,2023-01-25T06:08:17Z,3992350305,140,30.9,3992350309,212,22.9,3992350303,56,Back,3992350307,141,66.2,3992350313,279,S,3992350311,213,2.6,3994101563,178,,,,,47wasen155qbiu6pmyp3dowr9,S. Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500108363,4,1,1,0,3,3b4nxgvmwzstmoq6borytkwx1,1,30.9,66.2,2023-01-23T20:17:28.977Z,2023-01-25T06:08:39Z,3992350415,155,,3992350425,213,5.6,3992350419,140,72.6,3992350417,56,Right,3992350423,212,54.6,3992350427,1,,3992350421,141,18.2,3994101723,178,,c406oul95r3jvmbebcge5oz4l,R. Abascal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500108371,5,1,1,0,6,3b4nxgvmwzstmoq6borytkwx1,0,72.6,18.4,2023-01-23T20:17:32.170Z,2023-01-25T06:08:42Z,3992350447,168,,3992350455,212,14.3,3992350453,141,24.4,3992350457,213,0.3,3992350445,3,,3992350451,140,85.7,3994101751,388,,3992350449,56,Center,eyllkbdemtx2seh48r9l3czbp,G. Makouta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500108387,3,1,1,0,9,alyavx3ad35bp1xuwmqk7sgev,0,14,71.1,2023-01-23T20:17:34.667Z,2023-01-25T06:08:48Z,3992350537,157,,3994101789,178,,3992350543,141,100.0,3992350547,213,1.0,3992350541,140,24.9,3992350549,1,,3992350545,212,22.9,3992350539,56,Back,2nod7tpovdjb85efh2sogijth,Nélson Monte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500108389,4,5,1,0,12,alyavx3ad35bp1xuwmqk7sgev,0,22,100.6,2023-01-23T20:17:38.289Z,2023-01-25T06:09:16Z,3992350553,347,,3992350623,233,6,3992350551,56,Back,,,,,,,,,,,,,,,,2nod7tpovdjb85efh2sogijth,Nélson Monte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500108403,6,5,1,0,12,3b4nxgvmwzstmoq6borytkwx1,1,78,-0.6,2023-01-23T20:17:38.289Z,2023-01-25T06:09:16Z,3992350601,347,,3992350597,56,Right,3992350617,233,4,,,,,,,,,,,,,,,,eyllkbdemtx2seh48r9l3czbp,G. Makouta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
