id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2455258339,1,34,16,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2022-09-03T18:37:07.912Z,2022-09-03T19:38:53Z,3755011165,59,"42, 5, 19, 8, 3, 26, 20, 21, 9, 10, 7, 12, 17, 18, 25, 55, 57, 72, 78, 93",3755011167,130,8,3755011175,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3755011161,30,"664x98r3mbynnh19u1cx984q, cpcsusprqvec5l4mvwl6td23t, asoisrxtnm0zynx35ueum4v6d, 6nrvjozwk5or2v7dxkqbf9j9x, d1bful4yiqcc8k5jhg9a3uyfp, 1ldbn0jnfzcvj7edwlq1z4q8l, 8qxoj7nyhu2prjl3bjfqi2ui1, c01muomxuk015zrf9n21ztq7d, 1zf9egrh7cjofd7td62oc5tk9, rzxtat0t3okt8tikf5mvdxm2, 1f57m5jalwzn2xwr3xqtjiy8l, 2983qoliizrxvsi9sb9c5wwoa, 5awvo9xetmgwxmqfisawqz90q, ljr2286geelctnfxzkxukmi1, 3ipb4zd3vz7dpnkyeiw22tal1, 10jwipbmvqza53ja0lwof9be1, 8bn4i1qj747gh0hz6vbn0u25m, as0t8xi6k6nl4l06g23u3jcru, 1lisq580zw4yfk6id6f1dwr56, 16q9oy1ddvvihrgor1mbo77bp",3755011171,194,1ldbn0jnfzcvj7edwlq1z4q8l,3755011173,197,388,3755011169,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3755011163,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455259453,1,34,16,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2022-09-03T18:38:45.037Z,2022-09-03T19:27:33Z,3755017405,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3755017395,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3755017397,59,"99, 11, 22, 46, 3, 4, 25, 8, 9, 29, 13, 5, 7, 14, 19, 20, 23, 28, 30, 70",3755017401,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3755017393,30,"d79vlrccz170hzdh35nhsf1ed, a6r2hqalh9ydoy2a8uv9rztux, av5ng2yhu8q1lqacekmxci0ut, cpmfjroqtibaahb1dr66pl2i1, 58i5y98ceb55anpucpru7skb9, 9iqmeo87l56hr3gymmxgkxysq, 8y0e1y90ih393h7zv7srfot79, el6dn7kq3815p2zd4rppzzw7p, 97vuoqg0x9nx56dmd9u5e12hh, 1nd8l0ofw9x779c0ufwbbo4ph, 2j8v4lkqeg1bcqp77ezseo8vd, 37usxvspofewb3djlg67lp1hx, 8ut3v3ezaj8th41g2kqhhhd9m, xbk4zraauvq1cj1w5yz08kb9, f3zl8ymo5ttze20sffzk044q1, 4j6h9mgau5uaxlm589qlc6rjd, dowh6oc93ggduous7ligguqne, 8ffuqi4wbdmvnxsy2nhi566s5, 2wl0uylmkzi2ls7v4amgaa1yi, cdir3jevzi4o8edgtfwu6jfca",3755017399,130,2,3755237771,197,367,3755017403,194,58i5y98ceb55anpucpru7skb9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455300657,2,32,1,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2022-09-03T19:29:44.863Z,2022-09-06T01:29:52Z,3755247263,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455300373,2,32,1,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2022-09-03T19:29:44.863Z,2022-09-03T19:29:46Z,3755245663,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455300695,3,1,1,0,0,66bsnl0zjb7l5akwo00h0y5me,1,50.1,50,2022-09-03T19:29:44.885Z,2022-09-06T11:23:10Z,3755247497,279,S,3755247495,213,2.7,3755247487,56,Back,3755247491,141,62.4,3755247489,140,34.3,3755247493,212,18.6,3762122947,178,,,,,8y0e1y90ih393h7zv7srfot79,Otávio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455300761,4,1,1,0,2,66bsnl0zjb7l5akwo00h0y5me,0,34,61.2,2022-09-03T19:29:47.289Z,2022-09-06T11:23:13Z,3762123355,178,,3755247883,212,65.9,3755247875,196,,3755247877,56,Right,3755247881,141,0.0,3755247879,140,81.8,3755247873,155,,3755247885,213,5.6,cpmfjroqtibaahb1dr66pl2i1,S. Eustáquio,3755247887,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455300829,3,5,1,0,7,bwt8yfk8rkcwiwyr0mopd7wqd,1,21.4,101.7,2022-09-03T19:29:51.894Z,2022-09-06T11:23:17Z,3755248229,56,Back,3755248243,233,5,3755248231,347,,,,,,,,,,,,,,,,,asoisrxtnm0zynx35ueum4v6d,Adrián Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455300767,5,5,1,0,7,66bsnl0zjb7l5akwo00h0y5me,0,78.6,-1.7,2022-09-03T19:29:51.894Z,2022-09-06T11:23:17Z,3755247909,56,Right,3755247911,347,,3755248251,233,3,,,,,,,,,,,,,,,,cpmfjroqtibaahb1dr66pl2i1,S. Eustáquio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455300867,4,1,1,0,12,bwt8yfk8rkcwiwyr0mopd7wqd,1,24.6,100,2022-09-03T19:29:57.510Z,2022-09-06T11:23:21Z,3755248437,212,32.2,3755248441,1,,3755248435,141,80.0,3755248425,107,,3755248431,140,51.9,3755248429,56,Left,3755248439,213,5.8,,,,asoisrxtnm0zynx35ueum4v6d,Adrián Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455300911,5,1,1,0,14,bwt8yfk8rkcwiwyr0mopd7wqd,1,52,80,2022-09-03T19:29:59.267Z,2022-09-06T11:23:26Z,3755248681,141,75.0,3762123661,178,,3755248685,212,13.8,3755248687,213,3.4,3755248671,56,Back,3755248675,140,39.3,3762123663,21,,,,,1zf9egrh7cjofd7td62oc5tk9,Fran Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455300927,6,1,1,0,15,bwt8yfk8rkcwiwyr0mopd7wqd,0,39.3,75,2022-09-03T19:30:00.271Z,2022-09-06T11:23:31Z,3755248803,212,42.4,3762123797,178,,3755248799,140,79.5,3755248807,1,,3755248795,155,,3755248797,56,Center,3755248805,213,6.2,3755248801,141,69.4,6nrvjozwk5or2v7dxkqbf9j9x,G. Aburjania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455300951,6,1,1,0,19,66bsnl0zjb7l5akwo00h0y5me,1,22.3,28.6,2022-09-03T19:30:04.385Z,2022-09-06T11:23:35Z,3755248945,141,36.4,3762123893,388,,3755248947,212,13.8,3755248941,56,Back,3755248939,3,,3755248943,140,10.2,3755248949,213,2.7,,,,a6r2hqalh9ydoy2a8uv9rztux,Pepê Aquino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455300959,7,52,1,0,20,66bsnl0zjb7l5akwo00h0y5me,1,10.2,36.4,2022-09-03T19:30:05.474Z,2022-09-06T11:23:38Z,3762123977,388,,3760584289,377,,,,,,,,,,,,,,,,,,,,d79vlrccz170hzdh35nhsf1ed,Diogo Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455301051,8,1,1,0,21,66bsnl0zjb7l5akwo00h0y5me,1,11.5,31.8,2022-09-03T19:30:06.427Z,2022-09-06T11:23:43Z,3755249569,140,22.6,3755249563,123,,3755249573,212,16.6,3762124085,178,,3755249571,141,14.4,3755249575,213,5.5,3755249567,56,Back,,,,d79vlrccz170hzdh35nhsf1ed,Diogo Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455301079,9,1,1,0,27,66bsnl0zjb7l5akwo00h0y5me,1,23.9,14.1,2022-09-03T19:30:12.830Z,2022-09-06T11:23:46Z,3755249723,140,21.7,3762124203,178,,3755249729,213,1.8,3755249725,141,30.9,3755249727,212,11.7,3755249721,56,Back,,,,,,,a6r2hqalh9ydoy2a8uv9rztux,Pepê Aquino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455301171,10,1,1,0,30,66bsnl0zjb7l5akwo00h0y5me,1,21.7,30.9,2022-09-03T19:30:15.025Z,2022-09-06T11:23:49Z,3762124307,178,,3755250269,141,68.7,3755250273,213,1.5,3755250267,140,23.8,3755250265,56,Back,3755250271,212,25.8,,,,,,,58i5y98ceb55anpucpru7skb9,Pepe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455301187,11,1,1,0,34,66bsnl0zjb7l5akwo00h0y5me,1,23.5,67.9,2022-09-03T19:30:19.191Z,2022-09-06T11:23:52Z,3755250369,141,34.0,3755250373,213,4.7,3755250371,212,23.1,3762124369,178,,3755250367,140,23.5,3755250365,56,Back,,,,,,,9iqmeo87l56hr3gymmxgkxysq,David Carmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
