id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/10/value,keyPass,qualifier/9/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/14/value,qualifier/21/id,qualifier/21/qualifierId
2504487259,1,34,16,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2023-02-05T14:49:13.029Z,2023-02-05T15:53:25Z,4015211519,30,"1tkq6knbo350vy0o8aieijmxh, 59ly8uun0sl324s7rtlmp6ac, cmxmyld8l4gjy03zxskyxf5gq, 1rdadi8uuu161wj8o7gbcn8wl, 8hyaww1d0p9871u8o8zk8f9at, z6po5y26nap863d68tcekhqt, 3845lzar855rp3zp4stgmgul1, 2b4soa2ddbbmdwm0ur760jh05, 7r96u3b7t46s0kg5t5qew3tnt, 47z2phkn1i9z8p32zqlu53j6x, 1w926qtyntprx5ommoaa5nhed, 2nod7tpovdjb85efh2sogijth, c9lykzcr3q7hr50ui74iqastm, avugx69mdi4p8c25p9fetmq22, 530nhsyjmbwcpb8536pgwbld5, 63u6t8h9cls93p7oglb8l242c, 361pxz5e33ydl2c3t63a9kzc9, 7137owa2iq6cpmdiwi6uldh3p, awu6zsiy6l8e3p1athc733jkl",4015211525,130,4,4015392189,197,2933,4015211529,194,2b4soa2ddbbmdwm0ur760jh05,4015211527,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4015211523,59,"1, 2, 5, 21, 26, 19, 8, 10, 20, 17, 16, 3, 12, 30, 44, 47, 73, 83, 95",4015211531,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4015211521,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504487267,1,34,16,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2023-02-05T14:49:13.596Z,2023-02-05T15:41:50Z,4015211585,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4015211573,30,"3uma2r2ks9a44deiwpncec8np, 8q4m06v3yfsq2iza942ezaxud, 68o93orxpx4ehs4dsa57521g5, 8qn1z72et0w6bqw9mstopb7px, bvy7d4r2ve9f5x1xyv0tx5cr9, 5n3pl3j98lkmzzus1b095bkd1, 3bysj69bufnbqx70q6ufzat49, 549guee46difwv85rq18p7f1l, 90moydtk6dv07bfaqki5s6ymt, 8sg65mj881mnfd9wgtew01s5x, bn1rwgy1yhd0ov3u4pu2lb6ga, a00q0qj479gzj5hymx4ix5lp0, 8czsihbd6817k4uzvwenqvxex, 57xeumfhz5h30yn1168rgljah, 757f9x11lzcug3d6sn39d85wp, 6i4i4rqqcvxa7rsysriqxlxat, 4nl5hapemrmmuh1r8afne8b85, 388ux45xau80x9rom4s2bapgq, bmv1uzsltia86qpoj52ycfai, 9yitbzvjcwsvbdpwf97nbyfo",4015211577,59,"30, 2, 45, 21, 5, 15, 23, 8, 29, 10, 38, 3, 4, 7, 11, 27, 31, 36, 39, 85",4015396479,197,5337,4015211579,130,8,4015211583,194,bvy7d4r2ve9f5x1xyv0tx5cr9,4015211575,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4015211581,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504527227,2,32,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2023-02-05T15:32:43.876Z,2023-03-06T11:33:59Z,4015421113,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504527181,2,32,1,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2023-02-05T15:32:43.876Z,2023-02-05T15:32:44Z,4015420913,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504527337,3,1,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,49.9,50.1,2023-02-05T15:32:43.877Z,2023-02-08T06:24:03Z,4015421665,141,50.1,4015421667,212,3.0,4015421671,213,3.1,4015421663,140,47.0,4019566519,178,,4015421673,279,S,4015421661,56,Back,,,,7r96u3b7t46s0kg5t5qew3tnt,Juninho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504527361,4,1,1,0,2,alyavx3ad35bp1xuwmqk7sgev,1,53,43.3,2023-02-05T15:32:46.826Z,2023-02-08T06:24:08Z,4015421849,213,4.2,4015421831,56,Back,4015421847,212,27.7,4015421841,141,7.7,4015421837,140,40.2,4019566577,178,,,,,,,,2b4soa2ddbbmdwm0ur760jh05,João Teixeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504527367,5,1,1,0,6,alyavx3ad35bp1xuwmqk7sgev,0,40.2,7.3,2023-02-05T15:32:50.624Z,2023-02-08T06:24:15Z,4019566643,178,,4015421891,212,30.9,4015421893,213,0.7,4015421889,141,35.9,4015421887,140,63.1,4015421883,155,,4015421885,56,Center,,,,59ly8uun0sl324s7rtlmp6ac,H. Sylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504527411,3,1,1,0,8,7kfx3xpj2c2wxinsyi16i9gaz,1,32.7,64.3,2023-02-05T15:32:51.945Z,2023-02-08T06:24:21Z,4015422115,213,5.6,4015422105,3,,4015422109,140,46.4,4015422107,56,Back,4015422113,212,18.7,4015422111,141,46.7,4019566679,388,,,,,8qn1z72et0w6bqw9mstopb7px,João Afonso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504527433,4,49,1,0,9,7kfx3xpj2c2wxinsyi16i9gaz,1,46.7,47.3,2023-02-05T15:32:53.764Z,2023-02-08T06:24:28Z,,,,,,,,,,,,,,,,,,,,,,,,,3bysj69bufnbqx70q6ufzat49,Bruno Xadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504527479,5,1,1,0,9,7kfx3xpj2c2wxinsyi16i9gaz,1,46.7,47.3,2023-02-05T15:32:53.779Z,2023-02-08T06:24:34Z,4015422493,213,0.9,4015422489,141,66.3,4015422487,140,56.1,4015422491,212,16.3,4019566763,178,,4015422485,56,Center,,,,,,,3bysj69bufnbqx70q6ufzat49,Bruno Xadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
