id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/8/value,qualifier/10/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value
2521790517,1,34,16,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2023-03-18T17:07:38.789Z,2023-03-18T18:08:33Z,4106602791,194,8zt0zlypar7m1eqj4zu8ul695,4106602773,30,"12uvfzb3xe7bk4h6xl6c8cet, djb8j3hb7mnnghg9jmd15w0r9, ds66cc3zwxbyl5zfzag5422g9, 7nrjutc015x9nupdcl4hj3l5h, 8zt0zlypar7m1eqj4zu8ul695, 43mnaysq76cz587wxk8w3job9, 9l70xwbhc0xr57iifzyxzot7t, 1doj252anzqdzn5fknqr5i31l, 3vln1sp3b13v1yhcsd0vl3c2x, 3w3z6g8x70ii3pltaxyxbycwl, dh3ddfghtgeb2iu2608y96i5m, 5dfjrbb8xobsxuujy1xrsgedx, c2hmvhnurdg1vw49j45dw2jca, c0pat4dqmsc4teand5ampsdlh, 4effb0zguv2lqtv2vl9lqb696, 1nqpxso2a9qw8w8g6u4sb60ut, eswp4t4r8ktirsnkodz26gyui, 79ir6aubulzanvonfbgngk5hx, avrafbh1kctz4io6h1fthedih, 3mp7wghcalu9g3wxbqb9eqga",4106602787,130,8,4106602789,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106602779,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4106602793,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106787949,197,390,4106602783,59,"16, 28, 6, 5, 13, 44, 2, 23, 19, 10, 11, 4, 7, 8, 9, 14, 18, 20, 25, 92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521791083,1,34,16,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2023-03-18T17:08:40.284Z,2023-03-20T14:19:02Z,4106605999,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106606001,194,3zkqv88qpc3tm22pex5qfillh,4106605991,30,"1k5y6mool4qz2xtg6mp892vh1, 3zndvhinobvclra6m0y47drrp, 3zkqv88qpc3tm22pex5qfillh, 8dyozmfhm4x9hwqqpa6hcri6t, fwnnz9wriid0xznpbpdy82s4, 19mq6gsvnfvnzugpbfwniqj1l, ey0bk9dlqjwsc1aserql73aei, egf4oc47whxf2hmrjjddvtxbd, 7d8acg1r083veuigl34kojnbp, 78ug8x7pkjt88u5dx151v32z9, 8kns1kywrlakjwll1cxs19r3e, atcgj9k5ghx0ekwyky31l4pud, d4zft3r7ot8q6dqqhqugbba0a, 2grwfg8j3gpdthz5n5dn6wb56, 6hhxcbz0w98s2ucyjq4v3o9p0, 32y6mygyypg6jhzge0vqjx79, 7jso6ijfblfqjfvfh09wt5g5, c9rqgser2j8a6w7xfj3vmkzfu, 4ocmdia4dhnz2jdxr3n8sf8r8, 53y263xxfdf1itytiqhg3v6c5",4106605997,130,4,4106792473,197,16342,4106605993,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4106606003,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106605995,59,"28, 15, 5, 26, 3, 25, 55, 6, 30, 10, 7, 9, 11, 16, 20, 21, 22, 23, 70, 98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521830159,2,32,1,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2023-03-18T18:01:28.360Z,2023-03-20T12:42:31Z,4106808249,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521830177,2,32,1,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2023-03-18T18:01:28.360Z,2023-03-18T18:01:30Z,4106808343,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521830211,3,1,1,0,0,dich5v7sw466smbqap0d9rbyj,1,50,50,2023-03-18T18:01:28.460Z,2023-03-18T18:02:47Z,4106808477,279,S,4106808467,56,Back,4106808471,141,67.2,4106808469,140,27.6,4106808475,213,2.7,4106808473,212,26.3,,,,,,,9l70xwbhc0xr57iifzyxzot7t,M. Sylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521830311,4,1,1,0,3,dich5v7sw466smbqap0d9rbyj,1,28.7,63.9,2023-03-18T18:01:31.722Z,2023-03-18T18:01:36Z,4106808945,213,4.7,4106808939,140,28.6,4106808941,141,33.2,4106808937,56,Back,4106808943,212,20.9,,,,,,,,,,43mnaysq76cz587wxk8w3job9,N. Galović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521830339,5,1,1,0,8,dich5v7sw466smbqap0d9rbyj,0,41.7,14.5,2023-03-18T18:01:36.562Z,2023-03-18T18:01:38Z,4106809089,141,11.5,4106809093,213,6.2,4106809087,140,61.4,4106809085,56,Right,4106809091,212,20.8,,,,,,,,,,8zt0zlypar7m1eqj4zu8ul695,João Basso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521830377,3,8,1,0,11,491xixnlsp75o7cr3w2gc1o0z,1,41.1,71.1,2023-03-18T18:01:39.713Z,2023-03-20T14:19:24Z,4106809343,56,Back,4112993679,383,,,,,,,,,,,,,,,,,,,,egf4oc47whxf2hmrjjddvtxbd,J. Holsgrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521830381,4,49,1,0,12,491xixnlsp75o7cr3w2gc1o0z,1,54.4,76.1,2023-03-18T18:01:40.592Z,2023-03-18T18:01:40Z,,,,,,,,,,,,,,,,,,,,,,,,,8kns1kywrlakjwll1cxs19r3e,N. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521830409,5,43,1,0,13,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2023-03-18T18:01:41.688Z,2023-03-18T18:08:38Z,4106809495,286,0,4106849949,144,50,4106809493,56,Center,,,,,,,,,,,,,,,,8kns1kywrlakjwll1cxs19r3e,N. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
