id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/12/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/14/value,qualifier/16/value,assist
2448098811,1,34,16,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2022-08-19T18:23:19.639Z,2022-08-19T19:20:52Z,3716944767,30,"1ocxh5s9uo0s8ag79j7iv6acp, 3gelookco8f9ft0guaec03t3o, 3o3pp38h4ww0btuxzna0mhtcl, 5bl0qe7l7juksox3s4u76hxat, 2jskw42u7twkcsxa15hcysiy1, dzq4gg917idfq1rhng1coi5uc, 74hu9pcq0b1z36871v3inexyi, 1e12w0zsray39tnhemg3jy5t5, 1xxhkr7nex5mjc9hrxm100lih, 51edb4gy0w4q1wns87xehn2dx, dqpofsnyszazhkp0t7gtlfi3u, e4x6fx7njwfevkwf1t0ocyq51, b02ounhiuxi8s4z3aoac83evo, 195o7hchielt14ic49r3k06sq, ssluj1c3ft94nkfs58dc8cq2, b4a2wu8fdbrh5sirpv34hoewa, ctkp6xkdg68xonlfkjwe580oa, 1l0sfejnziz4ur5prgb0tp2j8, c9juqy1fmkna7jcozyeg0weeh, 4mvqt04u92wsm1p5ja8fpilii",3717126067,197,11679,3716944787,194,3o3pp38h4ww0btuxzna0mhtcl,3716944775,59,"99, 62, 31, 95, 23, 3, 21, 32, 11, 10, 7, 13, 5, 8, 17, 22, 25, 29, 50, 78",3716944783,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3716944791,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3716944779,130,8,3716944771,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448099901,1,34,16,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2022-08-19T18:25:01.375Z,2022-08-19T19:28:46Z,3716950499,30,"ckog922pr9vqy2ry4m7o5ag2d, degqtleco9n5tlt0yz3q5t9ii, dy434rgboexxvq6tgr8gwef9x, 36bi849x9anyfayunuudgcdbe, 75znincjirp1z8bcw9nhztxat, 803s6ja43m4i9jhl97jd37s2x, 9sfjkb99h1b1obdmedrecag9h, e6ztipndwfp33c6j7yebsyx91, 433k61rvy0ay7lcsyxd918r8p, 1u12u8adgqxh2aaobf9xdo91x, djqbki8jap3rp8l0izzly9tzo, apjgf0d7fwwdsb06vdlsjyc45, 5881z0950eh6003uukdwkuql0, 8uxdtdynfnmlx0ro5iounze1, 55r9zkckjjq4txriw3jhguwnp, 4agmh5fbf826bjrxtg3mw5at, cvqqwbdd3dttekkcooh7i80h6, 1g46yyjzlu0vqpk3w51scv1ed, 9kvoxdbnb5kt2dzy7kr0s7v11, 2rw2a005v9ehuopm1hf87uvah",3716950507,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3717121113,197,377,3716950511,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3716950501,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3716950509,194,9sfjkb99h1b1obdmedrecag9h,3716950503,59,"18, 20, 24, 3, 33, 42, 8, 6, 19, 14, 77, 27, 1, 4, 9, 10, 13, 17, 21, 93",3716950505,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448135491,2,32,1,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2022-08-19T19:16:14.385Z,2022-09-11T06:47:26Z,3717141963,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448135483,2,32,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2022-08-19T19:16:14.385Z,2022-08-19T19:16:27Z,3717141937,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448135613,3,1,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,50,50,2022-08-19T19:16:14.679Z,2022-09-11T07:51:54Z,3717142583,141,49.3,3717156113,210,15,3717142585,212,8.4,3772489695,178,,3717142581,140,42.0,3717142579,56,Back,3717142589,279,S,3717142587,213,3.2,djqbki8jap3rp8l0izzly9tzo,Fábio Ronaldo,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448135619,4,15,1,0,2,cgvbluoerzbzcr7aaxge3wkcv,1,42,49.3,2022-08-19T19:16:16.439Z,2022-09-11T07:51:54Z,3717142615,56,Back,3772489761,178,,3717156115,76,,3717142613,19,,3717156125,103,19.0,3717198331,233,4,3717156123,102,54.2,3717156127,215,,9sfjkb99h1b1obdmedrecag9h,Vitor Gomes,,3717156131,147,52.0,3717156117,29,3717155811,20,3717156129,146,96.7,3717142611,22,3717156119,55,3,,,,,,,,,,,,,,,,,,,,,
2448135707,4,10,1,0,4,22mo7qbsnyi8wtucpvhgvhw2q,1,3,45.9,2022-08-19T19:16:19.309Z,2022-09-11T07:51:59Z,3718980237,377,,3717143073,178,,3717143075,182,,3717143071,177,,3717198421,233,4,3717143077,56,Back,,,,,,,1ocxh5s9uo0s8ag79j7iv6acp,Daniel Figueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448135703,3,52,1,0,5,22mo7qbsnyi8wtucpvhgvhw2q,1,7.5,41.8,2022-08-19T19:16:20.384Z,2022-09-11T07:52:08Z,3772489897,178,,3718980593,377,,,,,,,,,,,,,,,,,,,,1ocxh5s9uo0s8ag79j7iv6acp,Daniel Figueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448135765,5,1,1,0,8,22mo7qbsnyi8wtucpvhgvhw2q,1,14.4,53.6,2022-08-19T19:16:22.964Z,2022-09-11T07:52:15Z,3717143439,212,17.4,3717143431,123,,3717143441,213,0.5,3717143435,140,28.9,3717143433,56,Back,3717143437,141,66.1,3772489973,178,,,,,1ocxh5s9uo0s8ag79j7iv6acp,Daniel Figueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448135811,6,2,1,0,16,22mo7qbsnyi8wtucpvhgvhw2q,1,29.9,70.5,2022-08-19T19:16:30.900Z,2022-09-11T07:52:22Z,3717144431,7,dqpofsnyszazhkp0t7gtlfi3u,3772490091,178,,3717143733,140,67.4,3717143735,141,71.7,3717143741,1,,3717143731,56,Center,,,,,,,dzq4gg917idfq1rhng1coi5uc,Bernardo Vital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
