id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/14/value,qualifier/12/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2510028025,1,34,16,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2023-02-19T17:02:16.620Z,2023-02-19T18:14:07Z,4044384331,194,5l9ilx0kwbny81lykqksoz9w5,4044384327,130,2,4044384323,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4044384317,30,"5nlzolv5bg03eiopba58rs251, 1wtikted5kmtz3bpu17enlvc9, c8s3kzk7jpdpp5ctzqkzh9vit, 5r7q0eg6pmoq0safxa9tnm5l, 51rs6ozeux61yyjfk9ci86311, 8t404ou7dw8vprk9h7jjuqjt, y6esn24vphnrw3y50poje21h, 8gkc9l566rjg7nifxwsq5vdud, e5xv1rmy69kwuxjxin653ojqh, 43xutn1unln5o3gwx3cl4lo0l, 5l9ilx0kwbny81lykqksoz9w5, 2psarhoauswcdof4nb22sw7ah, 33qmom9yrc1ft1cte9qju1djp, c3pxiexbciif7uu845ivx5hhx, 23d0t7gqlra3jkskn18bh752i, dstxo7i9rklcwq64pik7jdgyc, elgb3y6p91z049awc7u549785, csvbc0k1f54418nn8pjhg8ull, 5kcytruttikppbpkeg9rhd4gl, 5bo84b7398nyv87ztwd8wxh3p",4044384325,59,"1, 2, 6, 19, 15, 3, 27, 8, 9, 23, 21, 4, 10, 12, 14, 17, 22, 26, 45, 88",4044384333,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044598273,197,372,4044384329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510030087,1,34,16,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2023-02-19T17:05:29.043Z,2023-02-19T18:05:53Z,4044395595,130,7,4044395599,194,8zt0zlypar7m1eqj4zu8ul695,4044395591,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4044395601,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044395589,30,"25n2vrjnz5qsm5pigyn3ps8vd, bdgqvvkpadpthmlm40wa6dcyx, ds66cc3zwxbyl5zfzag5422g9, 7nrjutc015x9nupdcl4hj3l5h, 8zt0zlypar7m1eqj4zu8ul695, 43mnaysq76cz587wxk8w3job9, 3w3z6g8x70ii3pltaxyxbycwl, 9l70xwbhc0xr57iifzyxzot7t, bzt6oj1d4d2x3qez55hlvzpwp, 1doj252anzqdzn5fknqr5i31l, dh3ddfghtgeb2iu2608y96i5m, 12uvfzb3xe7bk4h6xl6c8cet, 1ni0afs55daxlb5ocaqb2o8vd, c0pat4dqmsc4teand5ampsdlh, 4effb0zguv2lqtv2vl9lqb696, 1nqpxso2a9qw8w8g6u4sb60ut, 1swp008ttj3pd57fz5uw8mctm, eswp4t4r8ktirsnkodz26gyui, 3vln1sp3b13v1yhcsd0vl3c2x, 79ir6aubulzanvonfbgngk5hx",4044589737,197,390,4044395597,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044395593,59,"12, 21, 6, 5, 13, 44, 10, 2, 15, 23, 11, 16, 3, 8, 9, 14, 17, 18, 19, 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510065853,2,32,1,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2023-02-19T18:02:40.702Z,2023-02-19T18:02:42Z,4044600503,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510065839,2,32,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2023-02-19T18:02:40.702Z,2023-02-22T04:35:47Z,4044600423,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510065861,3,1,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,50,50,2023-02-19T18:02:40.762Z,2023-02-22T05:14:18Z,4048788129,178,,4044600567,279,S,4044600563,212,11.8,4044600559,140,38.8,4044600565,213,3.1,4044600557,56,Back,4044600561,141,50.7,,,,e5xv1rmy69kwuxjxin653ojqh,Abel Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510065891,4,1,1,0,1,26t6lvlpql4w5wu1ih73qpy36,1,38.8,50.7,2023-02-19T18:02:42.452Z,2023-02-22T05:14:21Z,4044600775,140,30.7,4044600779,212,16.9,4044600781,213,2.1,4048788195,178,,4044600773,56,Back,4044600777,141,72.2,,,,,,,8gkc9l566rjg7nifxwsq5vdud,Ali Musrati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510065931,5,1,1,0,5,26t6lvlpql4w5wu1ih73qpy36,1,42,66.9,2023-02-19T18:02:46.565Z,2023-02-22T05:14:25Z,4044601071,213,0.4,4044601063,56,Left,4044601067,141,86.4,4048788247,178,,4044601073,1,,4044601069,212,35.8,4044601061,155,,4044601065,140,73.7,8t404ou7dw8vprk9h7jjuqjt,Vítor Tormena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510065935,6,44,1,0,8,26t6lvlpql4w5wu1ih73qpy36,1,72.8,84.2,2023-02-19T18:02:48.900Z,2023-02-22T09:13:59Z,4044601101,56,Left,4044601125,233,3,4044601103,286,,,,,,,,,,,,,,,,,43xutn1unln5o3gwx3cl4lo0l,S. Banza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510065915,3,44,1,0,8,dich5v7sw466smbqap0d9rbyj,0,27.2,15.8,2023-02-19T18:02:48.901Z,2023-02-22T05:14:28Z,4044601135,233,6,4044600969,56,Back,4044600971,285,,,,,,,,,,,,,,,,,bdgqvvkpadpthmlm40wa6dcyx,B. Milovanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510065949,7,1,1,0,8,26t6lvlpql4w5wu1ih73qpy36,1,73.7,86.3,2023-02-19T18:02:48.990Z,2023-02-22T09:13:59Z,4044601165,212,12.9,4044601149,3,,4044601157,140,77.0,4044601153,56,Center,4048788337,388,,4044601169,213,5.0,4044601163,141,68.1,,,,43xutn1unln5o3gwx3cl4lo0l,S. Banza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
