id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/13/value,qualifier/17/value,assist,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2515969091,1,34,16,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2023-03-05T14:40:12.223Z,2023-03-05T14:40:12Z,4075758223,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4075758227,130,8,4075758231,194,1ldbn0jnfzcvj7edwlq1z4q8l,4075758225,59,"42, 15, 19, 21, 72, 26, 77, 25, 9, 10, 20, 11, 14, 2, 4, 7, 8, 12, 13, 17",4075758235,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075758221,30,"664x98r3mbynnh19u1cx984q, 4aubucuhe6ic3osisrw73xe51, asoisrxtnm0zynx35ueum4v6d, c01muomxuk015zrf9n21ztq7d, as0t8xi6k6nl4l06g23u3jcru, 1ldbn0jnfzcvj7edwlq1z4q8l, ebaganzllbxfacvobgmsu1045, 3ipb4zd3vz7dpnkyeiw22tal1, 1zf9egrh7cjofd7td62oc5tk9, rzxtat0t3okt8tikf5mvdxm2, 8qxoj7nyhu2prjl3bjfqi2ui1, c3byjg1gw75b6wz0wz0bjwij9, cdrgzx1ujljsitv7hl0je3alm, 5drwrn9zmqeyo7h5zhy28mb8q, 8jncnpkifnmg84s5qysuk4y96, 1f57m5jalwzn2xwr3xqtjiy8l, 6nrvjozwk5or2v7dxkqbf9j9x, 2983qoliizrxvsi9sb9c5wwoa, 4cbaoo2irqtme9goxuz6s3ey2, 5awvo9xetmgwxmqfisawqz90q",4075758229,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075758233,197,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515970355,1,34,16,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2023-03-05T14:41:06.051Z,2023-03-05T15:27:08Z,4075765011,59,"31, 2, 94, 8, 5, 15, 29, 21, 9, 23, 7, 3, 6, 10, 12, 17, 27, 30, 36, 38",4076042185,197,5642,4075765009,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4075765019,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075765013,130,8,4075765007,30,"4nl5hapemrmmuh1r8afne8b85, 8q4m06v3yfsq2iza942ezaxud, 8jcuunhako2i9ynmp8v3w2eax, 549guee46difwv85rq18p7f1l, bvy7d4r2ve9f5x1xyv0tx5cr9, 5n3pl3j98lkmzzus1b095bkd1, 90moydtk6dv07bfaqki5s6ymt, 8qn1z72et0w6bqw9mstopb7px, 4rfcpo4l9f8x1m0rlnwloefl6, 3bysj69bufnbqx70q6ufzat49, 57xeumfhz5h30yn1168rgljah, a00q0qj479gzj5hymx4ix5lp0, 1c8ki3i0dz0axlnd0vauzw9d6, 8sg65mj881mnfd9wgtew01s5x, cqfw0fsbxyjb7mduk2hk27e1h, 5ikeslw81x2em97k79crmhh0q, 6i4i4rqqcvxa7rsysriqxlxat, 3uma2r2ks9a44deiwpncec8np, 388ux45xau80x9rom4s2bapgq, bn1rwgy1yhd0ov3u4pu2lb6ga",4075765017,194,bvy7d4r2ve9f5x1xyv0tx5cr9,4075765015,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027299,2,32,1,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2023-03-05T15:30:32.846Z,2023-03-07T18:27:40Z,4076065109,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027273,2,32,1,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2023-03-05T15:30:32.846Z,2023-03-05T15:30:33Z,4076064971,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027321,3,1,1,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,49.9,50,2023-03-05T15:30:32.859Z,2023-03-08T03:18:13Z,4076065239,56,Back,4076065249,279,S,4076065241,140,28.3,4081685999,178,,4076065245,212,24.2,4076065243,141,37.6,4076065247,213,3.5,,,,4rfcpo4l9f8x1m0rlnwloefl6,Pablo Moreno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027379,4,1,1,0,2,7kfx3xpj2c2wxinsyi16i9gaz,1,28.3,37.6,2023-03-05T15:30:35.631Z,2023-03-08T03:18:47Z,4076065603,140,37.1,4076065607,212,20.9,4081686251,178,,4076065605,141,10.1,4076065601,56,Back,4076065609,213,5.2,,,,,,,bvy7d4r2ve9f5x1xyv0tx5cr9,Zainadine Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027395,5,1,1,0,5,7kfx3xpj2c2wxinsyi16i9gaz,0,42.2,5.8,2023-03-05T15:30:37.853Z,2023-03-08T03:18:51Z,4076067745,140,44.4,4076067747,141,4.8,4076067817,236,,4076067751,213,6.0,4076067823,286,,4076065687,56,Back,4081686275,178,,4076067819,233,3,8q4m06v3yfsq2iza942ezaxud,Cláudio Winck,4076067749,212,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027419,3,74,1,0,5,bwt8yfk8rkcwiwyr0mopd7wqd,1,58.4,95.2,2023-03-05T15:30:37.915Z,2023-03-08T03:18:54Z,4076067853,233,5,4076065795,56,Left,4076065797,285,,4081686327,178,,,,,,,,,,,,,,8qxoj7nyhu2prjl3bjfqi2ui1,J. Boselli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027427,4,5,1,0,5,bwt8yfk8rkcwiwyr0mopd7wqd,0,54.8,101.6,2023-03-05T15:30:38.646Z,2023-03-08T03:18:58Z,4076065855,56,Left,4076066447,233,6,4076065857,347,,,,,,,,,,,,,,,,,8qxoj7nyhu2prjl3bjfqi2ui1,J. Boselli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027521,6,5,1,0,5,7kfx3xpj2c2wxinsyi16i9gaz,1,45.2,-1.6,2023-03-05T15:30:38.646Z,2023-03-08T03:18:57Z,4076066317,56,Back,4076066319,347,,4076066365,233,4,,,,,,,,,,,,,,,,8q4m06v3yfsq2iza942ezaxud,Cláudio Winck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027589,7,1,1,0,13,7kfx3xpj2c2wxinsyi16i9gaz,1,50.9,0,2023-03-05T15:30:46.075Z,2023-03-08T03:19:02Z,4076066621,141,4.1,4076066619,140,65.9,4076066623,212,16.2,4076066617,56,Right,4076066627,213,0.2,4076066615,107,,,,,,,,8q4m06v3yfsq2iza942ezaxud,Cláudio Winck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027611,8,1,1,0,15,7kfx3xpj2c2wxinsyi16i9gaz,1,65.9,4.1,2023-03-05T15:30:48.360Z,2023-03-08T03:19:06Z,4076066741,212,10.1,4076066739,141,15.8,4081686483,178,,4076066743,213,2.2,4076066737,140,60.0,4076066735,56,Right,,,,,,,90moydtk6dv07bfaqki5s6ymt,B. Riascos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027641,9,1,1,0,16,7kfx3xpj2c2wxinsyi16i9gaz,1,60,15.8,2023-03-05T15:30:49.690Z,2023-03-08T03:19:10Z,4076066861,140,56.7,4076066865,212,8.5,4076066859,56,Right,4076066867,213,4.3,4081686531,178,,4076066863,141,4.4,,,,,,,3bysj69bufnbqx70q6ufzat49,Bruno Xadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027705,10,1,1,0,17,7kfx3xpj2c2wxinsyi16i9gaz,1,56.7,4.4,2023-03-05T15:30:50.468Z,2023-03-08T03:19:14Z,4076067205,213,1.3,4081686577,178,,4076067199,140,59.8,4076067203,212,10.7,4076067197,56,Right,4076067201,141,19.4,,,,,,,8q4m06v3yfsq2iza942ezaxud,Cláudio Winck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027729,11,1,1,0,19,7kfx3xpj2c2wxinsyi16i9gaz,1,59.8,5.4,2023-03-05T15:30:51.897Z,2023-03-08T03:19:19Z,4076067357,56,Back,4076067361,141,6.9,4076067359,140,37.6,4081686607,178,,4076067365,213,3.1,4076067363,212,23.3,,,,,,,3bysj69bufnbqx70q6ufzat49,Bruno Xadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027773,12,1,1,0,21,7kfx3xpj2c2wxinsyi16i9gaz,1,35.2,27.9,2023-03-05T15:30:53.848Z,2023-03-08T03:19:23Z,4076067609,56,Back,4076067611,140,32.8,4076067615,212,31.1,4081686631,178,,4076067613,141,73.5,4076067617,213,1.7,,,,,,,bvy7d4r2ve9f5x1xyv0tx5cr9,Zainadine Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027829,13,1,1,0,25,7kfx3xpj2c2wxinsyi16i9gaz,1,32.8,73.5,2023-03-05T15:30:58.059Z,2023-03-08T03:19:33Z,4076067905,141,95.7,4076067909,213,1.1,4081686741,178,,4076067901,56,Back,4076067907,212,17.0,4076067903,140,40.2,,,,,,,5n3pl3j98lkmzzus1b095bkd1,Renê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027883,14,1,1,0,27,7kfx3xpj2c2wxinsyi16i9gaz,1,40.4,93.6,2023-03-05T15:31:00.282Z,2023-03-08T03:19:37Z,4081686757,178,,4076068231,140,35.2,4076068235,212,9.2,4076068233,141,82.7,4076068229,56,Back,4076068237,213,4.1,,,,,,,8jcuunhako2i9ynmp8v3w2eax,Vitor Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027915,15,1,1,0,28,7kfx3xpj2c2wxinsyi16i9gaz,1,35.2,82.7,2023-03-05T15:31:01.820Z,2023-03-08T03:19:42Z,4076068477,141,72.1,4076068481,213,3.6,4081686801,178,,4076068473,56,Back,4076068475,140,21.6,4076068479,212,16.0,,,,,,,549guee46difwv85rq18p7f1l,Val,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516027955,16,1,1,0,32,7kfx3xpj2c2wxinsyi16i9gaz,1,21.6,72.1,2023-03-05T15:31:05.481Z,2023-03-08T03:19:46Z,4076068661,140,25.2,4076068665,212,28.0,4076068659,56,Back,4076068667,213,4.8,4081686819,178,,4076068663,141,31.3,,,,,,,5n3pl3j98lkmzzus1b095bkd1,Renê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516028013,17,1,1,0,35,7kfx3xpj2c2wxinsyi16i9gaz,1,26,29.7,2023-03-05T15:31:08.649Z,2023-03-08T03:19:50Z,4076068985,140,62.6,4081686839,178,,4076068983,56,Right,4076068987,141,3.2,4076068991,213,5.8,4076068989,212,42.4,4076068993,1,,,,,bvy7d4r2ve9f5x1xyv0tx5cr9,Zainadine Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516028063,5,45,1,0,41,bwt8yfk8rkcwiwyr0mopd7wqd,0,11.9,89.8,2023-03-05T15:31:14.658Z,2023-03-08T03:19:58Z,4076069313,285,,4076069311,56,Back,4076069645,233,18,,,,,,,,,,,,,,,,asoisrxtnm0zynx35ueum4v6d,Adrián Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516028111,18,3,1,0,41,7kfx3xpj2c2wxinsyi16i9gaz,1,88.1,10.2,2023-03-05T15:31:14.658Z,2023-03-08T03:19:58Z,4076069561,56,Right,4081686889,178,,4080463769,465,,4076069601,233,5,4076069563,286,,,,,,,,,,,8q4m06v3yfsq2iza942ezaxud,Cláudio Winck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
