id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,keyPass,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/15/value,qualifier/14/value,qualifier/17/value
2481948719,1,34,16,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2022-11-05T17:06:58.657Z,2022-11-05T19:07:14Z,3896626653,197,367,3896626651,194,37usxvspofewb3djlg67lp1hx,3896626649,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896626645,59,"99, 17, 22, 8, 2, 5, 25, 11, 9, 30, 46, 4, 13, 14, 16, 19, 23, 28, 29, 70",3896626647,130,3,3896626641,30,"d79vlrccz170hzdh35nhsf1ed, 5m1fht9uevn186asz8awhxjah, av5ng2yhu8q1lqacekmxci0ut, el6dn7kq3815p2zd4rppzzw7p, 3enoici51osego5k1w41fuaqd, 37usxvspofewb3djlg67lp1hx, 8y0e1y90ih393h7zv7srfot79, a6r2hqalh9ydoy2a8uv9rztux, 97vuoqg0x9nx56dmd9u5e12hh, 2wl0uylmkzi2ls7v4amgaa1yi, cpmfjroqtibaahb1dr66pl2i1, 9iqmeo87l56hr3gymmxgkxysq, 2j8v4lkqeg1bcqp77ezseo8vd, xbk4zraauvq1cj1w5yz08kb9, 5966ij9cde66bhi1g39kxia51, f3zl8ymo5ttze20sffzk044q1, dowh6oc93ggduous7ligguqne, 8ffuqi4wbdmvnxsy2nhi566s5, 1nd8l0ofw9x779c0ufwbbo4ph, cdir3jevzi4o8edgtfwu6jfca",3896626643,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3896626655,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481949915,1,34,16,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2022-11-05T17:08:32.831Z,2022-11-05T18:14:15Z,3896633203,197,12635,3896633191,30,"921pmr49x4ijt9tnww0d2sixh, 3zndvhinobvclra6m0y47drrp, 3zkqv88qpc3tm22pex5qfillh, 74mjp6xo2ejesuoylzw955y39, 7pordwinyzf3wxn2jlu62yndh, fwnnz9wriid0xznpbpdy82s4, 2grwfg8j3gpdthz5n5dn6wb56, 8dyozmfhm4x9hwqqpa6hcri6t, 78ug8x7pkjt88u5dx151v32z9, 3yenbonc310rzql4ey73v7bsa, atcgj9k5ghx0ekwyky31l4pud, bid3fvgjmfnik2pegy9av3tux, 4qo7eu3xwhkpssbuyk4n70fe1, 8kns1kywrlakjwll1cxs19r3e, 3g3dypdszvxq1tntx0l1lu2qy, 2fb4hr89a6zcwz14grb362az8, dtkxyjne2wd3rtsg74i9lc6qc, 1arszie3v8bks90bcetskhwfe, 32y6mygyypg6jhzge0vqjx79, 2m69fipbiuwtg7sfvmx99lw16",3896633201,194,3zkqv88qpc3tm22pex5qfillh,3896633193,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3896633205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896633197,130,13,3896633195,59,"1, 15, 5, 34, 32, 3, 16, 26, 10, 19, 9, 14, 4, 7, 8, 11, 13, 17, 21, 24",3896633199,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481991285,2,32,1,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2022-11-05T18:03:24.091Z,2022-11-05T18:03:24Z,3896846799,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481991311,2,32,1,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2022-11-05T18:03:24.091Z,2022-11-07T20:21:54Z,3896846977,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481991335,3,1,1,0,0,491xixnlsp75o7cr3w2gc1o0z,1,49.9,50.1,2022-11-05T18:03:24.122Z,2022-11-07T20:32:36Z,3896847109,141,48.1,3896847105,56,Back,3896847107,140,27.0,3896847113,213,3.2,3896847111,212,24.1,3896847115,279,S,3902822911,178,,,,,78ug8x7pkjt88u5dx151v32z9,N. Gaitán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481991349,4,1,1,0,2,491xixnlsp75o7cr3w2gc1o0z,1,26.8,47.6,2022-11-05T18:03:26.631Z,2022-11-07T20:32:46Z,3902823567,178,,3896847191,212,20.6,3896847185,56,Back,3896847193,213,4.8,3896847189,141,17.6,3896847187,140,29.2,,,,,,,7pordwinyzf3wxn2jlu62yndh,Flávio Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481991379,5,1,1,0,4,491xixnlsp75o7cr3w2gc1o0z,1,29.2,17.6,2022-11-05T18:03:28.449Z,2022-11-07T20:32:52Z,3896847401,213,5.4,3896847397,141,3.1,3896847399,212,13.1,3896847395,140,37.4,3902823877,178,,3896847393,56,Back,,,,,,,fwnnz9wriid0xznpbpdy82s4,Nuno Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481991399,6,1,1,0,7,491xixnlsp75o7cr3w2gc1o0z,0,39.8,2.8,2022-11-05T18:03:31.618Z,2022-11-07T20:32:56Z,3896847481,140,75.2,3896847483,141,10.0,3896847477,155,,3896847479,56,Right,3896847487,213,0.1,3902823995,178,,3896847485,212,37.5,3896847489,1,,3zndvhinobvclra6m0y47drrp,J. Delgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481991421,3,1,1,0,9,66bsnl0zjb7l5akwo00h0y5me,0,25.4,84.9,2022-11-05T18:03:33.659Z,2022-11-07T20:33:02Z,3896847625,212,15.7,3896847627,213,0.8,3902824181,388,,3896847619,56,Back,3896847617,3,,3896847623,141,100.0,3896847621,140,35.6,,,,37usxvspofewb3djlg67lp1hx,Iván Marcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481991423,4,5,1,0,11,66bsnl0zjb7l5akwo00h0y5me,0,36.4,101.6,2022-11-05T18:03:35.860Z,2022-11-07T20:33:05Z,3896847759,233,7,3896847635,347,,3896847633,56,Back,,,,,,,,,,,,,,,,37usxvspofewb3djlg67lp1hx,Iván Marcano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481991443,7,5,1,0,11,491xixnlsp75o7cr3w2gc1o0z,1,63.6,-1.6,2022-11-05T18:03:35.860Z,2022-11-07T20:33:04Z,3896847681,56,Right,3896847755,233,4,3896847685,347,,,,,,,,,,,,,,,,,3zndvhinobvclra6m0y47drrp,J. Delgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481991575,8,1,1,0,20,491xixnlsp75o7cr3w2gc1o0z,1,65.1,0,2022-11-05T18:03:44.764Z,2022-11-07T20:33:07Z,3896848373,212,8.9,3896848371,141,7.0,3896848367,56,Right,3896848365,107,,3896848369,140,71.7,3896848375,213,0.7,,,,,,,3zndvhinobvclra6m0y47drrp,J. Delgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481991595,9,1,1,0,21,491xixnlsp75o7cr3w2gc1o0z,1,71.2,6.5,2022-11-05T18:03:45.917Z,2022-11-07T20:33:12Z,3896848491,213,5.4,3896848483,140,73.2,3902824561,178,,3896848481,56,Right,3896848487,212,3.4,3896848485,141,2.5,,,,,,,78ug8x7pkjt88u5dx151v32z9,N. Gaitán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481991599,10,61,1,0,22,491xixnlsp75o7cr3w2gc1o0z,0,73.2,2.5,2022-11-05T18:03:46.699Z,2022-11-07T20:33:17Z,3896848511,56,Right,3902824745,178,,,,,,,,,,,,,,,,,,,,3zndvhinobvclra6m0y47drrp,J. Delgado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
