id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/18/value
2446132611,1,34,16,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2022-08-14T13:22:18.635Z,2022-08-14T14:33:30Z,3706464721,59,"1, 79, 25, 20, 26, 2, 24, 42, 11, 77, 7, 16, 18, 27, 55, 59, 62, 73, 80, 99",3706464725,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706464729,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706464727,194,ekjpc2tvdk5jtiamtufdqkr85,3706702907,197,1519,3706464717,30,"ekjpc2tvdk5jtiamtufdqkr85, 4a4kjygjq5el2ylh7k660lul0, 4prhgvywwhkr9v5dr21ubb84p, ap2l08x0nj8xqvvrfp796rmj9, c406oul95r3jvmbebcge5oz4l, 3ebyf23azgbktpf7dgwlphkvd, 47wasen155qbiu6pmyp3dowr9, eyllkbdemtx2seh48r9l3czbp, rm1d0hp2iwsne1hbfgq0oa21, 5bpx24iyhlarqkmg09pm27lgq, 5za437wrlqizff74n6uqodpzp, 1a1cur7ima2n6hxas3fqlplhw, 90ojk78yhwtwbnz0k5w1ow6hh, bcjc4ole1m65l48zpcptweh62, 7ik7fxl2qle5gwfrraseisf84, 6ylhhspjzxqrbqj4yq35hwkr8, 6jjrhjrb23r0xqjnn75hgnjf8, 2lf9z8t0gt5mwi46w7esxg3dg, 9avib48nsrfs3bif03so582z8, 8lv60zbly3xz43g9hm2s7oqcq",3706464719,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3706464723,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446139739,1,34,16,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2022-08-14T13:31:17.533Z,2022-08-14T14:35:13Z,3706499223,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706703015,197,13168,3706499217,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3706499219,59,"99, 95, 16, 80, 4, 17, 37, 8, 9, 19, 7, 1, 3, 14, 15, 20, 21, 41, 43, 49",3706499215,30,"90v8e01hdffgqom4pwhjl0mvp, 4bsxzg78o3q9ot7bdngx9k5at, 5zbaigi2kpo930z50irfq11p1, d7k81mlt4vh9lex8fd10tigh5, aw1gqkqpznn5ku7ca9hy2skix, 9yzlho51tjytlzkdb6y20ozc9, 17zcm8ikgfdl5o4c7o5yhulpm, 61g2iu3hmixel62zp2yp29tqt, 35y61220qzlyedki00vfmioyx, 28029kae9ievarvyirn1cboix, 36zf6j90b94qls6y50c1xgi51, 8lksmpg3qh7q3m54gwwrj7xlh, e7daok5mn6xq7q5sfi5r13105, 9zeyku7qe40gcnb9rtiveduc5, 3xps5hhvsiyviq8wswnzt22ju, 5k74ofoqel095frhszvdmxbhm, caczqvr2l880frsd32nbjorxm, 9u5562r61pguxf8w9y310veuh, 7tih9jkxsbmeycu610gshs0h6, 2r6ma23qtyq2l18m21eksjp7u",3706499225,194,61g2iu3hmixel62zp2yp29tqt,3706499227,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706499221,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446180239,2,32,1,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2022-08-14T14:31:48.300Z,2022-08-17T04:55:35Z,3706709335,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446180223,2,32,1,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2022-08-14T14:31:48.300Z,2022-08-14T14:31:48Z,3706709259,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446180285,3,1,1,0,0,cmbqc74mshg77ra7mywec2a6b,1,50.3,50.2,2022-08-14T14:31:48.336Z,2022-08-17T08:41:13Z,3706709631,141,51.9,3706709629,140,42.4,3706709627,56,Back,3706709635,213,3.0,3706709637,279,S,3706709633,212,8.4,3712575279,178,,,,,28029kae9ievarvyirn1cboix,Bruno Almeida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446180313,4,1,1,0,2,cmbqc74mshg77ra7mywec2a6b,1,44.8,51.9,2022-08-14T14:31:50.716Z,2022-08-17T08:41:17Z,3706709817,155,,3706709819,56,Left,3706709823,141,97.9,3712575351,178,,3706709821,140,66.8,3706709829,213,0.9,3706709825,212,38.9,3706709831,1,,61g2iu3hmixel62zp2yp29tqt,Anderson Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446197959,169,44,1,0,5,cmbqc74mshg77ra7mywec2a6b,1,69.8,97.4,2022-08-14T14:31:53.385Z,2022-08-17T11:02:09Z,3706805965,286,,3706805963,56,Left,3706808437,233,178,,,,,,,,,,,,,,,,5zbaigi2kpo930z50irfq11p1,Paulo Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446198019,178,44,1,0,5,3b4nxgvmwzstmoq6borytkwx1,0,30.2,2.6,2022-08-14T14:31:53.386Z,2022-08-17T08:41:24Z,3706806269,285,,3706806267,56,Back,3706808455,233,169,,,,,,,,,,,,,,,,4a4kjygjq5el2ylh7k660lul0,Pedro Malheiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446180331,5,1,1,0,5,cmbqc74mshg77ra7mywec2a6b,1,66.8,97.9,2022-08-14T14:31:53.480Z,2022-08-17T11:02:10Z,3706709927,140,71.3,3706709929,141,80.1,3706709925,56,Left,3706709931,212,13.0,3712575503,388,,3706709923,3,,3706709933,213,5.1,,,,5zbaigi2kpo930z50irfq11p1,Paulo Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446180339,6,61,1,0,6,cmbqc74mshg77ra7mywec2a6b,0,71.3,80.1,2022-08-14T14:31:54.796Z,2022-08-17T08:41:46Z,3712575757,21,,3712575625,178,,3706709967,56,Left,,,,,,,,,,,,,,,,35y61220qzlyedki00vfmioyx,K. Tagawa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
