id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/11/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2445464347,1,34,16,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2022-08-13T15:50:15.476Z,2022-08-13T16:57:47Z,3703136075,197,368,3702906567,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702906571,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702906569,194,x32fbvwwxkda9ruezw67b3dh,3702906563,59,"99, 2, 3, 61, 30, 91, 17, 13, 88, 27, 20, 5, 6, 9, 22, 28, 33, 39, 55, 77",3702906559,30,"7jtc6yk5xu4cm1an97wrgozbp, 7qwzed85qna21zisvvatrjlxx, 12f4mz064elnxecq2srl7r6j9, 5t952swvuoed4pdwgbi4yjhex, x32fbvwwxkda9ruezw67b3dh, bocgbpxctelmsucqoba2dujca, e81dfbtza1g8v3lozf39x3f85, 1zxwich342p8fholev7ddkwh6, 9v4l7ic3ve6d22c0gs9p1oe3u, 37ao6cj3w5pd5v5ap79fqlxw5, fvuj5umkjxxb1btu6004xjh1, 78fx1xqqtcqm2g4h1dj8beml1, 9j0v9bomstpbku7nnmqp8n7c9, 32eyq4xvy8s1ng11jnavvh32t, yzee990gbkpl00qdgr6h3r2t, 5i8dbjuewybsfgyym63clfw0l, bxcpii8qeyw2duignml45sc15, 8uj1pf52hctbd2uxjz4s4tnxm, ey0bk9dlqjwsc1aserql73aei, b2f67gkfb59hda2vka59e7qol",3702906561,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3702906565,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445467959,1,34,16,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2022-08-13T15:52:35.893Z,2022-08-13T17:23:14Z,3703133633,197,7108,3702925769,130,11,3702925763,30,"4k2wic25asdlmuqr17e3s6nkl, 28lucwbes9q95s1j4mgy2s50q, 58r7rr6rqtji5m0bkdxmwqqui, dqpkkgodtwn11fgpq2c3tlqz9, 6wjwijfj7i2vvlsxzyzfb2cwl, dcj62hda8r17fx396ks6w79p1, bxbvbqfhiv1hivt3ttxum1uy1, 64upo0p7ealjcpfkldjiqlvit, cwd95dwww2bs1d9wzjpw3ydx, 2ban1f798o92hq593c8a0nv11, 53unfq55ouhqni5jbl07fyqc5, 1vw6okufgzi8d2rx2yx3vuhux, 6uubxxvwp558g19wxmprfqtw5, 9cju5a96bsq9fqhbl5ub6nisp, 7btjqixepiu3ykopyvg3k6itx, 1rl52q09tgbcuzw9q192ay9ec, ag5ozuf1o3ixkdrdb39g9dasp, 4jqmdmc0za8pdpz9ne875uzmx, 613xzggyqa0ugkmu2u6oxkmp5, edk9jemtelz51uoob4quyd4kq",3702925765,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3702925767,59,"33, 42, 5, 19, 13, 3, 14, 8, 11, 27, 7, 2, 6, 10, 16, 44, 68, 70, 88, 99",3702925773,194,6wjwijfj7i2vvlsxzyzfb2cwl,3702925771,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3702925775,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445515031,2,32,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2022-08-13T17:04:58.425Z,2022-08-15T02:16:41Z,3703167601,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445515015,2,32,1,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2022-08-13T17:04:58.425Z,2022-08-13T17:04:58Z,3703167505,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445515077,3,1,1,0,0,9ldqu49smv1xg2va0n2cy28zl,1,49.9,50.3,2022-08-13T17:04:58.534Z,2022-08-15T02:42:50Z,3703167867,213,2.8,3708859229,178,,3703167859,56,Back,3703167861,140,31.4,3703167865,212,20.5,3703167863,141,59.9,3703167869,279,S,,,,9v4l7ic3ve6d22c0gs9p1oe3u,Gonçalo Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445515093,4,1,1,0,2,9ldqu49smv1xg2va0n2cy28zl,1,31.4,61.4,2022-08-13T17:05:00.810Z,2022-08-15T02:42:55Z,3708859325,178,,3703167959,140,37.3,3703167965,213,1.2,3703167961,141,88.4,3703167957,56,Back,3703167963,212,19.4,,,,,,,bocgbpxctelmsucqoba2dujca,Morato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445515123,5,1,1,0,5,9ldqu49smv1xg2va0n2cy28zl,1,37,85.6,2022-08-13T17:05:03.512Z,2022-08-15T02:42:58Z,3703168097,212,10.2,3703168099,213,4.7,3703168095,141,70.6,3703168091,56,Back,3708859421,178,,3703168093,140,36.6,,,,,,,12f4mz064elnxecq2srl7r6j9,Álex Grimaldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445515147,6,1,1,0,6,9ldqu49smv1xg2va0n2cy28zl,1,35.4,69.7,2022-08-13T17:05:05.018Z,2022-08-15T02:43:00Z,3703168219,212,11.3,3703168215,140,25.2,3703168213,56,Back,3703168221,213,3.5,3703168217,141,64.2,3708859479,178,,,,,,,,1zxwich342p8fholev7ddkwh6,E. Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445515229,7,1,1,0,8,9ldqu49smv1xg2va0n2cy28zl,1,25.2,64.2,2022-08-13T17:05:06.499Z,2022-08-15T02:43:03Z,3703168673,140,31.6,3703168675,141,71.1,3708859553,178,,3703168667,56,Back,3703168679,213,0.6,3703168677,212,8.2,,,,,,,bocgbpxctelmsucqoba2dujca,Morato,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445515247,8,1,1,0,13,9ldqu49smv1xg2va0n2cy28zl,0,33.3,51.3,2022-08-13T17:05:11.816Z,2022-08-15T02:43:10Z,3703168793,213,4.9,3703168791,212,28.2,3703168787,141,10.6,3708859699,178,,3703168783,140,38.5,3703168779,56,Back,,,,,,,1zxwich342p8fholev7ddkwh6,E. Fernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
