id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/9/value,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,qualifier/17/value,qualifier/18/value
2538328781,1,34,16,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2023-04-23T18:42:15.802Z,2023-04-23T19:27:01Z,4215236347,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4215236355,194,8zt0zlypar7m1eqj4zu8ul695,4215236345,30,"25n2vrjnz5qsm5pigyn3ps8vd, djb8j3hb7mnnghg9jmd15w0r9, ds66cc3zwxbyl5zfzag5422g9, 1nqpxso2a9qw8w8g6u4sb60ut, 8zt0zlypar7m1eqj4zu8ul695, 43mnaysq76cz587wxk8w3job9, 3w3z6g8x70ii3pltaxyxbycwl, 7nrjutc015x9nupdcl4hj3l5h, 3vln1sp3b13v1yhcsd0vl3c2x, dh3ddfghtgeb2iu2608y96i5m, 9l70xwbhc0xr57iifzyxzot7t, 1ni0afs55daxlb5ocaqb2o8vd, c2hmvhnurdg1vw49j45dw2jca, c0pat4dqmsc4teand5ampsdlh, 4effb0zguv2lqtv2vl9lqb696, 12uvfzb3xe7bk4h6xl6c8cet, 1swp008ttj3pd57fz5uw8mctm, eswp4t4r8ktirsnkodz26gyui, bdgqvvkpadpthmlm40wa6dcyx, 1doj252anzqdzn5fknqr5i31l",4215236349,59,"12, 28, 6, 14, 13, 44, 10, 5, 19, 11, 2, 3, 7, 8, 9, 16, 17, 18, 21, 23",4215236357,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4215405707,197,390,4215236351,130,4,4215236353,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538329957,1,34,16,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2023-04-23T18:44:02.503Z,2023-04-23T19:29:07Z,4215242811,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4215242821,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4215242809,30,"9uc54rlxmahbfppv97zi81yhh, 7m2za4jynw9fdc2ax1455ibpx, chy52wzncc8ulmer9z2rebit, de1nmkgahbsrky75itebiitp1, 2amti8wga8jpons4mizksjd1x, 8f8lbg182g5jwnqbj1zgjbljp, eblsjvbkd7vws1qpx7td1eacp, 3ynj76lod24r597rmhshxczpx, 2u7fm04v2xzqso4rubkrvjcru, 575pl0igxsevhmf6nfmjwwyxh, hrr3761wvgn1ayhsrrz4rf11, 10mmhviatbpx75fslh68s25lh, 4wces11j8ejvbpz1zqd94b7fu, 380ejwyblelr0ef3um2cwv3ai, 22ctb2x9iztmzylscpwyqtrhm, 9xk50bv3qlja26r1ecary1y3t, 9pi6sf9sdni4dn6db7rej0r85, alz3emnuh5bnaa64oia9pgsq2, 8bcfmmsjnman2nsp2t9rsrvxm, 8ilf7i6y4c9ezpgddh5h3ohlg",4215242813,59,"97, 14, 24, 8, 3, 5, 19, 6, 9, 20, 10, 4, 13, 16, 17, 22, 23, 34, 82, 90",4215242815,130,8,4215242819,194,chy52wzncc8ulmer9z2rebit,4215413735,197,18052,4215242817,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538361595,2,32,1,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2023-04-23T19:30:19.217Z,2023-04-24T17:58:40Z,4215419081,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538361609,2,32,1,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2023-04-23T19:30:19.217Z,2023-04-23T19:30:21Z,4215419143,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538361649,3,1,1,0,1,dich5v7sw466smbqap0d9rbyj,1,50,49.8,2023-04-23T19:30:20.317Z,2023-04-23T20:20:57Z,4215419387,141,55.5,4215419389,212,16.8,4215419385,140,34.4,4215419383,56,Back,4215419391,213,2.9,4215419393,279,S,,,,,,,9l70xwbhc0xr57iifzyxzot7t,M. Sylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538361671,4,1,1,0,3,dich5v7sw466smbqap0d9rbyj,0,35.5,55.5,2023-04-23T19:30:23.124Z,2023-04-23T19:30:24Z,4215419497,141,26.7,4215419505,1,,4215419487,155,,4215419493,140,70.1,4215419503,213,5.8,4215419491,56,Center,4215419501,212,41.3,,,,7nrjutc015x9nupdcl4hj3l5h,David Simão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538361695,3,1,1,0,6,7fn0aazbc8nx0u040aulozds1,0,27.7,80.3,2023-04-23T19:30:25.830Z,2023-04-23T19:30:27Z,4215419619,56,Back,4215419633,212,21.6,4215419615,3,,4215419627,141,81.5,4215419637,213,0.0,4215419623,140,48.3,,,,,,,chy52wzncc8ulmer9z2rebit,Kiki Afonso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538361763,5,1,1,0,9,dich5v7sw466smbqap0d9rbyj,1,56.1,24.9,2023-04-23T19:30:28.244Z,2023-04-23T19:30:36Z,4215419963,141,19.0,4215419961,140,64.1,4215419959,56,Right,4215419967,213,5.8,4215419965,212,9.3,,,,,,,,,,1nqpxso2a9qw8w8g6u4sb60ut,Oriol Busquets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538361767,6,61,1,0,10,dich5v7sw466smbqap0d9rbyj,0,64.1,19,2023-04-23T19:30:29.742Z,2023-04-23T19:39:19Z,4215419989,56,Right,,,,,,,,,,,,,,,,,,,,,,dh3ddfghtgeb2iu2608y96i5m,Antony,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538361759,4,49,1,0,10,7fn0aazbc8nx0u040aulozds1,1,45,84.5,2023-04-23T19:30:30.069Z,2023-04-23T19:30:31Z,,,,,,,,,,,,,,,,,,,,,,,,,hrr3761wvgn1ayhsrrz4rf11,Kiko Bondoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
