id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/15/value,assist,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2502661497,6,4,1,0,11,491xixnlsp75o7cr3w2gc1o0z,0,67.8,74.2,2023-01-31T19:01:19.788Z,2023-02-02T09:42:27Z,4007770767,178,,4005647491,152,,4005647495,286,,4006530915,295,,4005647511,233,5,4005647487,13,,4005647489,56,Center,,,,egf4oc47whxf2hmrjjddvtxbd,J. Holsgrove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661519,6,1,1,0,16,bwt8yfk8rkcwiwyr0mopd7wqd,1,33.9,32,2023-01-31T19:01:25.208Z,2023-02-02T09:42:31Z,4005647603,56,Back,4005647599,5,,4006531867,189,,4007770881,178,,4005647609,212,10.9,4005647607,141,29.2,4005647601,152,,4005647605,140,23.7,6nrvjozwk5or2v7dxkqbf9j9x,G. Aburjania,4005647611,213,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661521,7,1,1,0,19,bwt8yfk8rkcwiwyr0mopd7wqd,1,24.2,32.6,2023-01-31T19:01:27.677Z,2023-02-02T09:42:34Z,4007770975,178,,4005647625,140,24.5,4005647627,141,64.4,4005647623,56,Back,4005647631,213,1.6,4005647629,212,21.6,,,,,,,8jncnpkifnmg84s5qysuk4y96,Manuel Lopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661527,8,1,1,0,23,bwt8yfk8rkcwiwyr0mopd7wqd,1,26.1,68.1,2023-01-31T19:01:31.941Z,2023-02-02T09:42:38Z,4007771071,178,,4005647643,56,Back,4005647651,213,1.3,4005647645,140,31.0,4005647647,141,94.2,4005647649,212,18.5,,,,,,,as0t8xi6k6nl4l06g23u3jcru,Tomás Araújo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661541,9,1,1,0,25,bwt8yfk8rkcwiwyr0mopd7wqd,1,31,93.9,2023-01-31T19:01:34.004Z,2023-02-02T09:42:40Z,4005647713,212,9.5,4005647715,213,3.9,4005647711,141,83.9,4007771111,178,,4005647707,56,Back,4005647709,140,24.7,,,,,,,asoisrxtnm0zynx35ueum4v6d,Adrián Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661557,10,1,1,0,32,bwt8yfk8rkcwiwyr0mopd7wqd,1,28.4,74.6,2023-01-31T19:01:40.329Z,2023-02-02T09:42:43Z,4005647763,140,18.4,4005647761,56,Back,4005647765,141,51.5,4005647767,212,18.9,4007771189,178,,4005647769,213,4.1,,,,,,,as0t8xi6k6nl4l06g23u3jcru,Tomás Araújo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661569,11,1,1,0,38,bwt8yfk8rkcwiwyr0mopd7wqd,1,23.3,49,2023-01-31T19:01:47.007Z,2023-02-02T09:42:45Z,4005647811,140,22.5,4005647815,212,17.1,4005647817,213,4.7,4007771221,178,,4005647809,56,Back,4005647813,141,23.9,,,,,,,30bhky4x90yqfyzhsawfz6pcl,S. Kritsyuk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661579,12,1,1,0,42,bwt8yfk8rkcwiwyr0mopd7wqd,1,27.8,25.4,2023-01-31T19:01:50.777Z,2023-02-02T09:42:50Z,4005647863,213,1.6,4005647855,56,Back,4005647857,140,27.3,4005647859,141,63.5,4005647861,212,25.9,4007771363,178,,,,,,,,8jncnpkifnmg84s5qysuk4y96,Manuel Lopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661589,13,1,1,0,46,bwt8yfk8rkcwiwyr0mopd7wqd,1,36.9,65,2023-01-31T19:01:55.112Z,2023-02-02T09:42:53Z,4005647913,141,58.5,4005647915,212,4.7,4005647911,140,38.3,4007771479,178,,4005647909,56,Back,4005647917,213,5.0,,,,,,,as0t8xi6k6nl4l06g23u3jcru,Tomás Araújo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502661597,14,1,1,0,47,bwt8yfk8rkcwiwyr0mopd7wqd,1,37.3,58.8,2023-01-31T19:01:56.001Z,2023-02-02T09:42:58Z,4005647951,212,18.3,4005647945,56,Back,4005647949,141,50.3,4005647947,140,20.8,4007771609,178,,4005647953,213,3.5,,,,,,,c01muomxuk015zrf9n21ztq7d,Vitor Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
