id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/9/value,qualifier/12/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2456036737,5,5,1,0,16,co1i764h6b02husae71w6scs8,1,44,100.8,2022-09-04T19:32:27.057Z,2022-09-07T09:37:48Z,3759178041,347,,3759178043,233,7,3759178039,56,Back,,,,,,,,,,,,,,,,f29gq7ixyjd9m22yhmb7c7oq1,M. Seck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456036735,7,5,1,0,16,5c0sf1eaipcxvdw9o22of2jdp,0,56,-0.8,2022-09-04T19:32:27.057Z,2022-09-07T09:37:49Z,3759178067,233,5,3759178027,56,Right,3759178029,347,,,,,,,,,,,,,,,,,1zteujk5u3rpr028priato4bt,Riccieli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456036805,6,1,1,0,22,co1i764h6b02husae71w6scs8,1,42.4,100,2022-09-04T19:32:32.950Z,2022-09-07T09:37:55Z,3759178447,212,8.9,3759178449,213,4.5,3759178441,140,41.0,3759178443,141,87.8,3759178439,56,Back,3759178437,107,,,,,,,,f29gq7ixyjd9m22yhmb7c7oq1,M. Seck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456036855,7,1,1,0,23,co1i764h6b02husae71w6scs8,0,41,87.8,2022-09-04T19:32:33.922Z,2022-09-07T09:38:05Z,3759178705,213,6.0,3759178695,157,,3759178701,141,66.7,3759178703,212,48.9,3759178697,56,Center,3759178699,140,85.5,3759178707,1,,3763749365,178,,3vwbsaoy8f2vc4kkad4ipv3kl,Pedro Sá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456036863,8,49,1,0,27,5c0sf1eaipcxvdw9o22of2jdp,1,11.2,33.7,2022-09-04T19:32:38.484Z,2022-09-07T09:38:17Z,,,,,,,,,,,,,,,,,,,,,,,,,4ofpb9y2fqqr3d5cdfbl05c6h,E. Mihaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456036907,9,1,1,0,29,5c0sf1eaipcxvdw9o22of2jdp,0,12.2,20.6,2022-09-04T19:32:40.493Z,2022-09-07T09:38:23Z,3759178953,157,,3759178963,213,5.9,3759178961,212,36.8,3763749789,178,,3759178955,56,Back,3759178965,1,,3759178957,140,44.1,3759178959,141,0.0,4ofpb9y2fqqr3d5cdfbl05c6h,E. Mihaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456036933,8,5,1,0,31,co1i764h6b02husae71w6scs8,1,58.3,101.5,2022-09-04T19:32:42.622Z,2022-09-07T09:38:32Z,3759179087,56,Left,3759179089,347,,3759179123,233,10,,,,,,,,,,,,,,,,3vwbsaoy8f2vc4kkad4ipv3kl,Pedro Sá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456036913,10,5,1,0,31,5c0sf1eaipcxvdw9o22of2jdp,0,41.7,-1.5,2022-09-04T19:32:42.622Z,2022-09-07T09:38:32Z,3759178983,56,Back,3759178985,347,,3759179131,233,8,,,,,,,,,,,,,,,,4ofpb9y2fqqr3d5cdfbl05c6h,E. Mihaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037033,9,1,1,0,36,co1i764h6b02husae71w6scs8,1,60.8,100,2022-09-04T19:32:46.847Z,2022-09-07T09:38:44Z,3759179631,107,,3759179633,56,Center,3759179635,140,75.4,3759179639,212,23.4,3759179637,141,75.1,3759179641,213,5.4,3759179643,1,,,,,f29gq7ixyjd9m22yhmb7c7oq1,M. Seck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456037075,10,1,1,0,39,co1i764h6b02husae71w6scs8,1,74,76,2022-09-04T19:32:50.501Z,2022-09-07T09:40:31Z,3759179901,56,Center,3759179911,213,4.6,3763750445,178,,3759179905,140,73.4,3759179907,141,67.6,3759179909,212,5.7,,,,,,,7apd6saozsmkhkm7ew06a5a6t,B. Róchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
