id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2461308235,9,1,1,0,19,66bsnl0zjb7l5akwo00h0y5me,1,27.1,39.5,2022-09-17T17:01:25.006Z,2022-09-20T07:09:31Z,3787169805,213,4.1,3787169797,56,Back,3787169803,212,11.1,3794398541,178,,3787169799,140,20.8,3787169801,141,26.4,,,,,,,cpmfjroqtibaahb1dr66pl2i1,S. Eustáquio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461308321,10,1,1,0,21,66bsnl0zjb7l5akwo00h0y5me,1,21.3,31,2022-09-17T17:01:27.309Z,2022-09-20T07:09:36Z,3794398591,178,,3787170121,141,54.9,3787170123,212,21.9,3787170125,213,2.3,3787170119,140,7.3,3787170117,56,Back,,,,,,,3enoici51osego5k1w41fuaqd,Fábio Cardoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461308355,11,1,1,0,24,66bsnl0zjb7l5akwo00h0y5me,0,8.6,54.5,2022-09-17T17:01:30.255Z,2022-09-20T07:09:43Z,3787170309,213,1.2,3787170307,212,34.9,3787170311,1,,3787170303,140,21.3,3794398705,178,,3787170305,141,100.0,3787170301,56,Back,3787170299,155,,d79vlrccz170hzdh35nhsf1ed,Diogo Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461308371,3,5,1,0,26,22mo7qbsnyi8wtucpvhgvhw2q,1,79.6,-2,2022-09-17T17:01:32.836Z,2022-09-20T07:09:45Z,3787170459,233,12,3787170395,56,Right,3787170399,347,,,,,,,,,,,,,,,,,74hu9pcq0b1z36871v3inexyi,Tiago Gouveia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461308363,12,5,1,0,26,66bsnl0zjb7l5akwo00h0y5me,0,20.4,102,2022-09-17T17:01:32.836Z,2022-09-20T07:09:45Z,3787170463,233,3,3787170357,347,,3787170355,56,Back,,,,,,,,,,,,,,,,d79vlrccz170hzdh35nhsf1ed,Diogo Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461308589,4,1,1,0,39,22mo7qbsnyi8wtucpvhgvhw2q,1,81.9,0,2022-09-17T17:01:45.552Z,2022-09-20T07:09:50Z,3787171499,107,,3787171503,140,80.5,3787171505,141,23.7,3787171501,56,Center,3787171507,212,17.3,3787171509,213,1.7,,,,,,,3gelookco8f9ft0guaec03t3o,Tiago Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2462668061,1103,43,1,0,42,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2022-09-17T17:01:47.949Z,2022-09-20T07:55:38Z,3794449727,144,82,3794449709,178,0,,,,,,,,,,,,,,,,,,,51edb4gy0w4q1wns87xehn2dx,Francisco Geraldes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461308605,5,1,1,0,42,22mo7qbsnyi8wtucpvhgvhw2q,1,81.2,25.4,2022-09-17T17:01:47.998Z,2022-09-20T07:09:57Z,3787171613,212,5.1,3787171615,213,0.6,3787171611,141,29.5,3794399035,178,,3787171609,140,85.3,3787171607,56,Center,,,,,,,51edb4gy0w4q1wns87xehn2dx,Francisco Geraldes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461308609,6,61,1,0,43,22mo7qbsnyi8wtucpvhgvhw2q,0,84,32.2,2022-09-17T17:01:49.477Z,2022-09-20T07:10:06Z,3787171619,56,Center,3794399239,178,,,,,,,,,,,,,,,,,,,,3sdtccxqlc28tszv5vrnibckq,Erison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461308653,13,43,1,0,43,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2022-09-17T17:01:49.865Z,2022-09-17T17:50:52Z,3787171829,56,Back,3787445741,144,7,3787171873,233,6,3787171831,285,0,,,,,,,,,,,,,9iqmeo87l56hr3gymmxgkxysq,David Carmo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461357995,491,61,1,0,44,66bsnl0zjb7l5akwo00h0y5me,1,25.6,55.5,2022-09-17T17:01:50.125Z,2022-09-20T07:10:35Z,3794399419,178,,3787440127,56,Back,,,,,,,,,,,,,,,,,,,4j6h9mgau5uaxlm589qlc6rjd,André Franco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461308659,14,49,1,0,44,66bsnl0zjb7l5akwo00h0y5me,1,26.4,47.8,2022-09-17T17:01:50.279Z,2022-09-20T07:10:50Z,,,,,,,,,,,,,,,,,,,,,,,,,el6dn7kq3815p2zd4rppzzw7p,M. Uribe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461308735,15,1,1,0,46,66bsnl0zjb7l5akwo00h0y5me,1,21.2,54.6,2022-09-17T17:01:52.345Z,2022-09-20T07:10:56Z,3787172127,213,4.7,3787172117,140,21.4,3787172125,212,15.6,3787172115,56,Back,3794400167,178,,3787172121,141,31.6,,,,,,,el6dn7kq3815p2zd4rppzzw7p,M. Uribe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
