id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value
2533619193,1,34,16,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2023-04-15T13:50:08.459Z,2023-04-15T14:40:58Z,4190227721,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4190227723,59,"31, 27, 94, 8, 5, 3, 23, 21, 29, 7, 17, 2, 4, 6, 9, 11, 12, 16, 30, 57",4190227727,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190227725,130,8,4190227731,197,385,4190227729,194,bvy7d4r2ve9f5x1xyv0tx5cr9,4190227719,30,"4nl5hapemrmmuh1r8afne8b85, 6i4i4rqqcvxa7rsysriqxlxat, 8jcuunhako2i9ynmp8v3w2eax, 549guee46difwv85rq18p7f1l, bvy7d4r2ve9f5x1xyv0tx5cr9, a00q0qj479gzj5hymx4ix5lp0, 3bysj69bufnbqx70q6ufzat49, 8qn1z72et0w6bqw9mstopb7px, 90moydtk6dv07bfaqki5s6ymt, 57xeumfhz5h30yn1168rgljah, 5ikeslw81x2em97k79crmhh0q, 8q4m06v3yfsq2iza942ezaxud, 8czsihbd6817k4uzvwenqvxex, 1c8ki3i0dz0axlnd0vauzw9d6, 4rfcpo4l9f8x1m0rlnwloefl6, 757f9x11lzcug3d6sn39d85wp, cqfw0fsbxyjb7mduk2hk27e1h, 922dtb3ppvsgvzysfjwg86jmx, 3uma2r2ks9a44deiwpncec8np, 8fzbg2qdd8d00nwn1kinqr71m",4190227733,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533620763,1,34,16,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2023-04-15T13:51:43.775Z,2023-04-15T14:36:51Z,4190234865,197,12635,4190234857,59,"98, 15, 5, 26, 23, 25, 55, 6, 11, 10, 7, 3, 9, 17, 18, 21, 22, 24, 27, 30",4190234853,30,"53y263xxfdf1itytiqhg3v6c5, 3zndvhinobvclra6m0y47drrp, 3zkqv88qpc3tm22pex5qfillh, 8dyozmfhm4x9hwqqpa6hcri6t, c9rqgser2j8a6w7xfj3vmkzfu, 19mq6gsvnfvnzugpbfwniqj1l, ey0bk9dlqjwsc1aserql73aei, egf4oc47whxf2hmrjjddvtxbd, d4zft3r7ot8q6dqqhqugbba0a, 78ug8x7pkjt88u5dx151v32z9, 8kns1kywrlakjwll1cxs19r3e, fwnnz9wriid0xznpbpdy82s4, atcgj9k5ghx0ekwyky31l4pud, 1arszie3v8bks90bcetskhwfe, 28h8k0bv45oiw9k64dd5mdawa, 32y6mygyypg6jhzge0vqjx79, 7jso6ijfblfqjfvfh09wt5g5, 2m69fipbiuwtg7sfvmx99lw16, 2zfiz20hqyc5oitn15rf9t239, 7d8acg1r083veuigl34kojnbp",4190234861,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190234859,130,4,4190234867,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4190234863,194,3zkqv88qpc3tm22pex5qfillh,4190234855,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533700473,2,32,1,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2023-04-15T14:35:11.631Z,2023-04-15T14:35:13Z,4190651409,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533700415,2,32,1,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2023-04-15T14:35:11.631Z,2023-04-15T14:35:11Z,4190651121,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533700529,3,1,1,0,0,491xixnlsp75o7cr3w2gc1o0z,1,50.1,50,2023-04-15T14:35:11.731Z,2023-04-15T14:35:15Z,4190651647,56,Back,4190651659,279,S,4190651655,213,3.6,4190651653,212,20.3,4190651649,140,32.5,4190651651,141,37.7,,,,,,,ey0bk9dlqjwsc1aserql73aei,Paulo Bernardo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533700667,4,1,1,0,3,491xixnlsp75o7cr3w2gc1o0z,1,32.4,37.9,2023-04-15T14:35:14.974Z,2023-04-15T14:35:18Z,4190652319,141,84.5,4190652315,56,Left,4190652325,1,,4190652323,213,0.7,4190652321,212,48.8,4190652313,155,,4190652317,140,67.8,,,,c9rqgser2j8a6w7xfj3vmkzfu,E. Ferigra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533700731,5,1,1,0,7,491xixnlsp75o7cr3w2gc1o0z,1,67.5,84.8,2023-04-15T14:35:18.749Z,2023-04-15T14:35:20Z,4190652683,56,Center,4190652687,141,77.5,4190652691,213,5.7,4190652681,168,,4190652689,212,8.9,4190652679,3,,4190652685,140,74.5,,,,d4zft3r7ot8q6dqqhqugbba0a,Fábio Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533700741,6,61,1,0,9,491xixnlsp75o7cr3w2gc1o0z,0,74.4,77.6,2023-04-15T14:35:20.749Z,2023-04-15T14:35:21Z,4190652733,56,Center,,,,,,,,,,,,,,,,,,,,,,8kns1kywrlakjwll1cxs19r3e,N. Thomas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533700791,3,49,1,0,10,7kfx3xpj2c2wxinsyi16i9gaz,1,30.6,18.9,2023-04-15T14:35:22.127Z,2023-04-15T14:35:22Z,,,,,,,,,,,,,,,,,,,,,,,,,8qn1z72et0w6bqw9mstopb7px,João Afonso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533700805,4,1,1,0,10,7kfx3xpj2c2wxinsyi16i9gaz,0,29.6,20.9,2023-04-15T14:35:22.470Z,2023-04-15T14:37:09Z,4190657311,212,20.1,4190653063,56,Back,4190657307,140,48.1,4190657309,141,28.3,4190657313,213,0.3,4190657305,155,,,,,,,,8qn1z72et0w6bqw9mstopb7px,João Afonso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
