id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/9/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/14/value,qualifier/16/value,qualifier/17/value
2469049633,1,34,16,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2022-10-08T16:09:32.856Z,2022-10-08T17:16:04Z,3828347805,130,8,3828347801,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3828347807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3828347803,59,"99, 2, 23, 13, 66, 30, 20, 8, 88, 93, 17, 3, 6, 7, 18, 25, 27, 33, 61, 77",3828347799,30,"7jtc6yk5xu4cm1an97wrgozbp, 7qwzed85qna21zisvvatrjlxx, 18mddnpa54ygoaefaj0c5obf9, 1zxwich342p8fholev7ddkwh6, 2p86mzr8qnu9iy01fusvovf56, x32fbvwwxkda9ruezw67b3dh, fvuj5umkjxxb1btu6004xjh1, 4dh4ws8ehn6uywozt6ygczs2d, 9v4l7ic3ve6d22c0gs9p1oe3u, 36fznb9hzqvn6lnlla7f3ycwl, e81dfbtza1g8v3lozf39x3f85, 12f4mz064elnxecq2srl7r6j9, 9j0v9bomstpbku7nnmqp8n7c9, 7pi4j76iy3cfh0bfkxf9x8ell, 1dbqn5cjyvqlpylc1jazos3it, a5kkysp7c5f577ji17q5v2k0l, 37ao6cj3w5pd5v5ap79fqlxw5, bxcpii8qeyw2duignml45sc15, 5t952swvuoed4pdwgbi4yjhex, b2f67gkfb59hda2vka59e7qol",3828539021,197,368,3828347809,194,x32fbvwwxkda9ruezw67b3dh,3828347811,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469054303,1,34,16,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2022-10-08T16:15:40.417Z,2022-10-08T17:02:02Z,3828539037,197,377,3828373089,59,"18, 20, 24, 4, 33, 23, 15, 6, 77, 19, 30, 1, 3, 8, 9, 10, 17, 21, 27, 93",3828373093,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3828373097,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3828373095,194,e6ztipndwfp33c6j7yebsyx91,3828373091,130,12,3828373085,30,"ckog922pr9vqy2ry4m7o5ag2d, degqtleco9n5tlt0yz3q5t9ii, dy434rgboexxvq6tgr8gwef9x, 8uxdtdynfnmlx0ro5iounze1, 75znincjirp1z8bcw9nhztxat, 110maz3wmyhfk670un6ieloet, c38u6t2mr5f441tcuxlwpulpm, e6ztipndwfp33c6j7yebsyx91, djqbki8jap3rp8l0izzly9tzo, 433k61rvy0ay7lcsyxd918r8p, 912y0yoa524suow0wvpbtwq1h, 5881z0950eh6003uukdwkuql0, 36bi849x9anyfayunuudgcdbe, 9sfjkb99h1b1obdmedrecag9h, 55r9zkckjjq4txriw3jhguwnp, 4agmh5fbf826bjrxtg3mw5at, 1g46yyjzlu0vqpk3w51scv1ed, 9kvoxdbnb5kt2dzy7kr0s7v11, apjgf0d7fwwdsb06vdlsjyc45, 2rw2a005v9ehuopm1hf87uvah",3828373087,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469088237,2,32,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2022-10-08T17:01:26.193Z,2022-10-08T17:01:26Z,3828550433,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469088277,2,32,1,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2022-10-08T17:01:26.193Z,2022-10-10T12:54:08Z,3828550563,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469088301,3,1,1,0,1,cgvbluoerzbzcr7aaxge3wkcv,1,49.9,49.9,2022-10-08T17:01:27.293Z,2022-10-10T15:48:00Z,3828550699,279,S,3828550695,212,5.6,3828550691,140,44.8,3828550693,141,52.4,3828550697,213,2.8,3828550689,56,Back,,,,,,,433k61rvy0ay7lcsyxd918r8p,A. Yakubu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469088355,4,1,1,0,2,cgvbluoerzbzcr7aaxge3wkcv,1,44.8,52.4,2022-10-08T17:01:28.343Z,2022-10-08T17:50:43Z,3828550985,213,0.9,3828550983,212,35.7,3828550979,141,94.7,3828550989,1,,3828550975,56,Left,3828550973,155,,3828550977,140,65.0,,,,912y0yoa524suow0wvpbtwq1h,A. Samaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469143335,358,1,1,0,3,cgvbluoerzbzcr7aaxge3wkcv,0,63.6,96,2022-10-08T17:01:29.193Z,2022-10-08T17:50:50Z,3828845167,141,86.9,3828845163,56,Left,3828845171,213,5.6,3828845161,3,,3828845165,140,71.0,3828845169,212,9.9,,,,,,,dy434rgboexxvq6tgr8gwef9x,Pedro Amaral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469088387,3,1,1,0,5,9ldqu49smv1xg2va0n2cy28zl,0,21.4,9.3,2022-10-08T17:01:31.258Z,2022-10-10T12:54:57Z,3828551133,141,9.3,3828551137,213,0.0,3828551129,140,22.2,3828551135,212,0.8,3828551127,56,Back,,,,,,,,,,2p86mzr8qnu9iy01fusvovf56,António Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469142807,357,61,1,0,6,cgvbluoerzbzcr7aaxge3wkcv,1,73.9,90.6,2022-10-08T17:01:32.193Z,2022-10-10T12:54:58Z,3828842315,56,Left,,,,,,,,,,,,,,,,,,,,,,djqbki8jap3rp8l0izzly9tzo,Fábio Ronaldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2469088367,5,43,1,0,7,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2022-10-08T17:01:33.688Z,2022-10-08T17:51:54Z,3828849735,144,1,3828551039,212,6.7,3828551033,56,Left,3828551037,141,86.1,3828551035,140,68.1,3828551041,213,5.2,,,,,,,dy434rgboexxvq6tgr8gwef9x,Pedro Amaral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
