id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist
2468806687,1,34,16,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2022-10-08T13:39:41.955Z,2022-10-08T14:25:55Z,3827059179,194,a9htjxrpgqlcv577x4kvlkh5h,3827422545,197,12815,3827059181,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3827059177,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3827059169,30,"342kh2ue733edf9q7s0a2edat, 10k53pv13mw9hzllv70umgzbp, a9ozu4hjaylfr4299ceryskid, 3fo37mb4cp6lb0e86hhiyvu8l, a9htjxrpgqlcv577x4kvlkh5h, 6hnzgiw8h1itz9l2j3sb6oeeh, d9i8y5vlymc2yggwxrax8wcbu, 8jfjglichcg0py57hhri5v0fd, c270jephiphzfpig96q3jyz11, 6x3qvqsp90kjsps3e4wx0oxqt, eee0bq4dkdn91l81e8cf1zxpm, 1ovfx9uqyflqar5cu0uishsyx, cuc7gtr9q0465wxmzgq834ag9, a7twqgp3fp43y1aoybfe2i8d1, 83ekq1r2omnsazmp41pio8s89, 6cx5c6bzp1hq6c1vui53mxzx0, cayu6id8xmj67n29s2x3bsbxm, 1xxhkr7nex5mjc9hrxm100lih, a1ahtfrvwqyva1m1q7fjew6ei, 7mg9ycwc9ay4fdedl0dpp5nca",3827059173,59,"1, 47, 11, 2, 4, 3, 5, 15, 20, 10, 28, 6, 12, 16, 17, 18, 25, 33, 63, 71",3827059175,130,17,3827059171,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468809397,1,34,16,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2022-10-08T13:42:25.364Z,2022-10-08T14:36:36Z,3827072615,59,"12, 95, 10, 32, 43, 20, 49, 35, 89, 8, 80, 1, 7, 9, 15, 19, 21, 22, 37, 39",3827072623,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3827072613,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3827439575,197,5027,3827072621,194,61g2iu3hmixel62zp2yp29tqt,3827072611,30,"byk4cll4gdgp2n5ocxrb5j1t5, 4bsxzg78o3q9ot7bdngx9k5at, c7vhfnn9bft0xk3lcx7komfze, fkx4v1ux771bqn2g9bn3340k, 7tih9jkxsbmeycu610gshs0h6, 5k74ofoqel095frhszvdmxbhm, 2r6ma23qtyq2l18m21eksjp7u, 649anpduq5pwrqbek73wr8n6y, ytgqjgx6su1i7xjwdae6wiz8, 61g2iu3hmixel62zp2yp29tqt, d7k81mlt4vh9lex8fd10tigh5, 8lksmpg3qh7q3m54gwwrj7xlh, 36zf6j90b94qls6y50c1xgi51, 35y61220qzlyedki00vfmioyx, 3xps5hhvsiyviq8wswnzt22ju, 28029kae9ievarvyirn1cboix, caczqvr2l880frsd32nbjorxm, es75u7djersp0p9nefh0wx756, 17zcm8ikgfdl5o4c7o5yhulpm, 4flr4t07s463ioooy31ov8fs9",3827072619,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3827072617,130,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468883419,2,32,1,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2022-10-08T14:29:40.237Z,2022-10-10T18:21:51Z,3827462415,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468883391,2,32,1,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2022-10-08T14:29:40.237Z,2022-10-08T14:29:40Z,3827462267,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468883461,3,1,1,0,0,7catg5lpivcmpf4xhggh6d8rk,1,49.9,49.8,2022-10-08T14:29:40.761Z,2022-10-10T18:26:29Z,3827462663,141,50.3,3827462659,140,34.8,3827462673,213,3.1,3835439765,178,,3827462653,56,Back,3827462667,212,15.9,3827462679,279,S,,,,c270jephiphzfpig96q3jyz11,Paulinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468883557,4,1,1,0,2,7catg5lpivcmpf4xhggh6d8rk,1,34.7,50.9,2022-10-08T14:29:42.880Z,2022-10-10T18:26:45Z,3827463169,213,1.6,3835440193,178,,3827463167,212,14.3,3827463165,141,71.9,3827463163,140,34.4,3827463161,56,Back,,,,,,,a9htjxrpgqlcv577x4kvlkh5h,S. Coates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468883705,5,1,1,0,6,7catg5lpivcmpf4xhggh6d8rk,1,37.6,75.5,2022-10-08T14:29:47.072Z,2022-10-10T18:26:51Z,3827464009,212,12.5,3827464007,141,57.1,3827464005,140,36.9,3827464003,56,Back,3827464011,213,4.7,3835440271,178,,,,,,,,3fo37mb4cp6lb0e86hhiyvu8l,Matheus Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468883779,6,1,1,0,11,7catg5lpivcmpf4xhggh6d8rk,1,47.1,48.9,2022-10-08T14:29:51.888Z,2022-10-10T18:26:55Z,3827464385,140,47.3,3827464391,213,1.6,3827464383,56,Back,3827464389,212,14.5,3835440355,178,,3827464387,141,70.2,,,,,,,a9htjxrpgqlcv577x4kvlkh5h,S. Coates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468883857,7,1,1,0,14,7catg5lpivcmpf4xhggh6d8rk,1,48.1,71.5,2022-10-08T14:29:54.341Z,2022-10-10T18:27:10Z,3827464799,140,59.5,3827464801,141,95.6,3827464803,212,20.3,3835440871,178,,3827464805,213,0.9,3827464797,56,Left,,,,,,,3fo37mb4cp6lb0e86hhiyvu8l,Matheus Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468883953,8,1,1,0,16,7catg5lpivcmpf4xhggh6d8rk,1,59.3,94.6,2022-10-08T14:29:56.630Z,2022-10-10T18:27:18Z,3827465267,56,Left,3827465269,140,52.8,3827465277,212,8.6,3827465281,213,3.8,3827465273,141,87.0,3835441103,178,,,,,,,,a9ozu4hjaylfr4299ceryskid,Nuno Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468884049,9,1,1,0,18,7catg5lpivcmpf4xhggh6d8rk,1,46.1,84.8,2022-10-08T14:29:59Z,2022-10-10T18:27:22Z,3827465839,141,62.3,3827465837,140,42.0,3835441241,178,,3827465835,56,Back,3827465843,213,4.4,3827465841,212,15.9,,,,,,,3fo37mb4cp6lb0e86hhiyvu8l,Matheus Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468884203,10,1,1,0,21,7catg5lpivcmpf4xhggh6d8rk,1,47.4,55.5,2022-10-08T14:30:02.208Z,2022-10-10T18:27:31Z,3827466641,213,4.7,3827466633,140,47.2,3835441603,178,,3827466635,141,26.4,3827466637,212,19.8,3827466627,56,Back,,,,,,,a9htjxrpgqlcv577x4kvlkh5h,S. Coates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468884309,11,1,1,0,26,7catg5lpivcmpf4xhggh6d8rk,1,50.4,25.5,2022-10-08T14:30:06.414Z,2022-10-10T18:27:37Z,3827467171,140,45.6,3827467173,141,63.0,3835441855,178,,3827467175,212,26.0,3827467169,56,Back,3827467177,213,1.8,,,,,,,6hnzgiw8h1itz9l2j3sb6oeeh,J. St. Juste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468884421,12,1,1,0,29,7catg5lpivcmpf4xhggh6d8rk,1,58.8,73,2022-10-08T14:30:09.903Z,2022-10-10T18:27:43Z,3827467843,141,96.0,3827467845,212,20.0,3827467841,140,70.7,3827467839,56,Left,3835442055,178,,3827467847,213,0.9,,,,,,,3fo37mb4cp6lb0e86hhiyvu8l,Matheus Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468884493,13,1,1,0,33,7catg5lpivcmpf4xhggh6d8rk,0,76.1,95.9,2022-10-08T14:30:13.913Z,2022-10-10T18:27:47Z,3827468245,140,87.0,3827468251,213,5.0,3835442173,178,,3827468241,155,,3827468239,2,,3827468249,212,35.8,3827468243,56,Center,3835230971,72,,a9ozu4hjaylfr4299ceryskid,Nuno Santos,3827468253,1,3835230969,224,3827468247,141,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468884893,4,12,1,0,34,cmbqc74mshg77ra7mywec2a6b,1,9.9,62,2022-10-08T14:30:15.227Z,2022-10-10T18:29:02Z,3827470307,56,Back,3835444193,178,,3827470309,140,27.8,3835444195,21,,3827470311,141,55.1,3827470315,213,6.0,3827470313,212,19.4,,,,fkx4v1ux771bqn2g9bn3340k,MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
