id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2484953341,1,34,16,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2022-11-12T19:42:18.068Z,2022-11-12T20:33:41Z,3912332639,59,"99, 11, 22, 46, 2, 5, 25, 8, 9, 30, 13, 3, 14, 16, 17, 18, 19, 28, 29, 70",3912332641,130,2,3912332643,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3912488387,197,17704,3912332635,30,"d79vlrccz170hzdh35nhsf1ed, a6r2hqalh9ydoy2a8uv9rztux, av5ng2yhu8q1lqacekmxci0ut, cpmfjroqtibaahb1dr66pl2i1, 3enoici51osego5k1w41fuaqd, 37usxvspofewb3djlg67lp1hx, 8y0e1y90ih393h7zv7srfot79, el6dn7kq3815p2zd4rppzzw7p, 97vuoqg0x9nx56dmd9u5e12hh, 2wl0uylmkzi2ls7v4amgaa1yi, 2j8v4lkqeg1bcqp77ezseo8vd, 58i5y98ceb55anpucpru7skb9, xbk4zraauvq1cj1w5yz08kb9, 5966ij9cde66bhi1g39kxia51, 5m1fht9uevn186asz8awhxjah, aavcrjkupdm4kglaae4fiqzmd, f3zl8ymo5ttze20sffzk044q1, 8ffuqi4wbdmvnxsy2nhi566s5, 1nd8l0ofw9x779c0ufwbbo4ph, cdir3jevzi4o8edgtfwu6jfca",3912332647,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3912332645,194,37usxvspofewb3djlg67lp1hx,3912332637,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484956423,1,34,16,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2022-11-12T19:46:19.545Z,2022-11-12T21:04:14Z,3912349115,59,"1, 79, 19, 70, 23, 2, 21, 42, 11, 18, 13, 4, 6, 7, 8, 9, 10, 12, 20, 26",3912349117,130,11,3912349121,194,ekjpc2tvdk5jtiamtufdqkr85,3912349123,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3912349119,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3912349111,30,"ekjpc2tvdk5jtiamtufdqkr85, 4a4kjygjq5el2ylh7k660lul0, 4ax49niuix9tiqdv05y3vbdn9, 7aak50ydu8nrfxd9qndeygnpw, 3weuuu2vlyod9x7gnk2v9r1ed, 3ebyf23azgbktpf7dgwlphkvd, 57pi7l4h7g2jydmkc5vl6vkr9, eyllkbdemtx2seh48r9l3czbp, rm1d0hp2iwsne1hbfgq0oa21, 90ojk78yhwtwbnz0k5w1ow6hh, 96tuk7bpr043jh2obpegcgd4a, 6n9p8xqhlgz0qfi39rojaxst0, 6w3iuh0f11tbwr037i7qb031m, 5za437wrlqizff74n6uqodpzp, aissbbcnwyr06fhgfamxo9j2t, 3batawbh7y4sjkeo4hn34svzd, 6s3dyzmxof6gtc9whatcgiz56, 6a34imgccsbw4zysasuziuad, ap2l08x0nj8xqvvrfp796rmj9, c406oul95r3jvmbebcge5oz4l",3912349113,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3912477983,197,1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484981761,2,32,1,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2022-11-12T20:34:59.319Z,2022-11-14T23:46:44Z,3912497409,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484981757,3,32,1,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2022-11-12T20:34:59.319Z,2022-11-12T20:34:59Z,3912497389,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484981795,4,1,1,0,0,66bsnl0zjb7l5akwo00h0y5me,1,50.1,49.7,2022-11-12T20:34:59.376Z,2022-11-15T09:10:39Z,3912497585,212,16.0,3917439781,178,,3912497587,213,3.0,3912497581,140,35.0,3912497583,141,53.1,3912497589,279,S,3912497579,56,Back,,,,97vuoqg0x9nx56dmd9u5e12hh,M. Taremi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484981797,5,1,1,0,1,66bsnl0zjb7l5akwo00h0y5me,1,34.9,52.7,2022-11-12T20:35:00.830Z,2022-11-15T09:10:44Z,3912497597,141,50.3,3912497601,213,6.2,3912497595,140,50.7,3912497593,56,Center,3917439859,178,,3912497599,212,16.7,,,,,,,8y0e1y90ih393h7zv7srfot79,Otávio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484981813,6,1,1,0,2,66bsnl0zjb7l5akwo00h0y5me,1,50.9,50.4,2022-11-12T20:35:01.767Z,2022-11-15T09:10:48Z,3917439935,178,,3912497673,213,2.2,3912497671,212,16.9,3912497667,140,40.9,3912497665,56,Back,3912497669,141,69.9,,,,,,,97vuoqg0x9nx56dmd9u5e12hh,M. Taremi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484981845,7,1,1,0,4,66bsnl0zjb7l5akwo00h0y5me,1,40.9,69.9,2022-11-12T20:35:04.003Z,2022-11-15T09:10:56Z,3912497817,141,86.6,3912497815,140,35.0,3912497819,212,12.9,3912497813,56,Back,3912497821,213,2.1,3917440031,178,,,,,,,,cpmfjroqtibaahb1dr66pl2i1,S. Eustáquio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484981855,8,1,1,0,7,66bsnl0zjb7l5akwo00h0y5me,1,35,86.6,2022-11-12T20:35:06.489Z,2022-11-15T09:10:59Z,3912497863,140,35.0,3912497861,56,Back,3912497869,213,4.7,3912497867,212,25.4,3917440101,178,,3912497865,141,49.3,,,,,,,av5ng2yhu8q1lqacekmxci0ut,Wendell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484981879,9,1,1,0,9,66bsnl0zjb7l5akwo00h0y5me,1,35.1,49.1,2022-11-12T20:35:08.594Z,2022-11-15T09:11:02Z,3912497995,56,Back,3912497997,140,31.8,3912498001,212,23.5,3912498003,213,4.6,3912497999,141,14.9,3917440157,178,,,,,,,,8y0e1y90ih393h7zv7srfot79,Otávio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
