id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2458729117,1,34,16,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2022-09-11T14:01:33.916Z,2022-09-11T14:31:49Z,3773576859,197,12635,3773447721,194,3zkqv88qpc3tm22pex5qfillh,3773447713,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3773447715,59,"98, 15, 5, 26, 3, 23, 22, 16, 17, 11, 9, 14, 6, 7, 8, 19, 20, 24, 32, 41",3773447717,130,4,3773447711,30,"53y263xxfdf1itytiqhg3v6c5, 3zndvhinobvclra6m0y47drrp, 3zkqv88qpc3tm22pex5qfillh, 8dyozmfhm4x9hwqqpa6hcri6t, fwnnz9wriid0xznpbpdy82s4, c9rqgser2j8a6w7xfj3vmkzfu, 7jso6ijfblfqjfvfh09wt5g5, 2grwfg8j3gpdthz5n5dn6wb56, 1arszie3v8bks90bcetskhwfe, 2fb4hr89a6zcwz14grb362az8, atcgj9k5ghx0ekwyky31l4pud, bid3fvgjmfnik2pegy9av3tux, egf4oc47whxf2hmrjjddvtxbd, 8kns1kywrlakjwll1cxs19r3e, 3g3dypdszvxq1tntx0l1lu2qy, 3yenbonc310rzql4ey73v7bsa, 6hhxcbz0w98s2ucyjq4v3o9p0, 2m69fipbiuwtg7sfvmx99lw16, 7pordwinyzf3wxn2jlu62yndh, dc5mkjm8cfhhsq4nbbbk8vlec",3773447723,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773447719,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458730009,1,34,16,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2022-09-11T14:02:54.702Z,2022-09-11T14:29:28Z,3773451849,130,17,3773451851,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773581145,197,7108,3773451853,194,6wjwijfj7i2vvlsxzyzfb2cwl,3773451855,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3773451843,30,"4k2wic25asdlmuqr17e3s6nkl, 28lucwbes9q95s1j4mgy2s50q, 58r7rr6rqtji5m0bkdxmwqqui, d92r3s9hlaq3k56b503ovjfmd, 6wjwijfj7i2vvlsxzyzfb2cwl, 3uvek737jr8909is4vi1d9nxm, 2ban1f798o92hq593c8a0nv11, 613xzggyqa0ugkmu2u6oxkmp5, cwd95dwww2bs1d9wzjpw3ydx, bxbvbqfhiv1hivt3ttxum1uy1, 53unfq55ouhqni5jbl07fyqc5, 1vw6okufgzi8d2rx2yx3vuhux, 64upo0p7ealjcpfkldjiqlvit, 7btjqixepiu3ykopyvg3k6itx, 3sxd2j3a9d2bukfeu5y9824tl, dqpkkgodtwn11fgpq2c3tlqz9, 3qqh9uurvqkg6aljwwjyxp8mh, ag5ozuf1o3ixkdrdb39g9dasp, 4jqmdmc0za8pdpz9ne875uzmx, edk9jemtelz51uoob4quyd4kq",3773451847,59,"33, 42, 5, 15, 13, 4, 27, 88, 11, 14, 7, 2, 8, 16, 17, 19, 23, 68, 70, 99",3773451845,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458757055,2,32,1,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2022-09-11T14:32:34.532Z,2022-09-13T05:42:01Z,3773594461,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458757065,2,32,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2022-09-11T14:32:34.532Z,2022-09-11T14:32:37Z,3773594519,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458757069,3,1,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,50.3,49.9,2022-09-11T14:32:34.557Z,2022-09-13T11:05:58Z,3773594557,140,24.9,3773594555,56,Back,3773594561,212,28.7,3777305311,178,,3773594565,279,S,3773594559,141,65.3,3773594563,213,2.8,,,,cwd95dwww2bs1d9wzjpw3ydx,Rafael Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458757101,4,1,1,0,2,ewsf6evtguu9j7k6js4tlgl89,1,23.5,58.5,2022-09-11T14:32:36.936Z,2022-09-13T11:06:01Z,3773594731,212,16.0,3773594727,140,25.9,3773594725,56,Back,3773594729,141,81.7,3777305451,178,,3773594733,213,1.4,,,,,,,6wjwijfj7i2vvlsxzyzfb2cwl,Vasco Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458757115,5,1,1,0,4,ewsf6evtguu9j7k6js4tlgl89,1,28.1,81.5,2022-09-11T14:32:39.040Z,2022-09-13T11:06:05Z,3773594819,212,12.2,3773594813,56,Back,3773594821,213,0.9,3777305555,178,,3773594815,140,35.1,3773594817,141,95.9,,,,,,,d92r3s9hlaq3k56b503ovjfmd,Fernando Varela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458757169,6,1,1,0,6,ewsf6evtguu9j7k6js4tlgl89,1,35.1,95.9,2022-09-11T14:32:41.383Z,2022-09-13T11:06:11Z,3777305681,178,,3773595135,213,3.6,3773595133,212,14.9,3773595121,56,Back,3773595127,140,22.6,3773595131,141,85.6,,,,,,,58r7rr6rqtji5m0bkdxmwqqui,Leonardo Lelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458757217,7,1,1,0,10,ewsf6evtguu9j7k6js4tlgl89,1,23,74.8,2022-09-11T14:32:45.464Z,2022-09-13T11:06:18Z,3773595431,213,4.6,3773595427,141,49.6,3773595425,140,21.3,3773595423,56,Back,3777305839,178,,3773595429,212,17.2,,,,,,,d92r3s9hlaq3k56b503ovjfmd,Fernando Varela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458757293,8,2,1,0,15,ewsf6evtguu9j7k6js4tlgl89,1,23.6,34.7,2022-09-11T14:32:49.557Z,2022-09-13T11:06:23Z,3777306011,178,,3773595785,141,14.7,3773595783,140,70.4,3773595777,7,bxbvbqfhiv1hivt3ttxum1uy1,3773595781,56,Right,3773595779,1,,,,,,,,6wjwijfj7i2vvlsxzyzfb2cwl,Vasco Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
