id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2521936179,1,34,16,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2023-03-18T19:53:16.145Z,2023-03-18T20:32:22Z,4107383877,30,"1ocxh5s9uo0s8ag79j7iv6acp, 3gelookco8f9ft0guaec03t3o, 3o3pp38h4ww0btuxzna0mhtcl, dyeuxixz75ematbmtiwzcvhzp, 9ylq7ia76wd7pxq3ax9qo8w5x, 2jskw42u7twkcsxa15hcysiy1, a5djhs58ls97llpu6i80dak15, atkoaobhylui34grbharm41xx, 31i957f27zym4aj6xdjxu7nit, 513jimgihzk9w1kuad57jrnxl, 74hu9pcq0b1z36871v3inexyi, dzq4gg917idfq1rhng1coi5uc, dqpofsnyszazhkp0t7gtlfi3u, 1jvpqpf5rak11gh8gilldpgtm, e4x6fx7njwfevkwf1t0ocyq51, cdkxx5845lj8spbg3ha7m1xm2, ctkp6xkdg68xonlfkjwe580oa, c9juqy1fmkna7jcozyeg0weeh, 4mvqt04u92wsm1p5ja8fpilii, 5bl0qe7l7juksox3s4u76hxat",4107383881,59,"99, 62, 31, 20, 34, 23, 28, 5, 11, 27, 21, 3, 7, 9, 13, 22, 25, 50, 78, 95",4107383887,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4107383883,130,8,4107479983,197,11680,4107383879,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4107383885,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4107496599,194,3o3pp38h4ww0btuxzna0mhtcl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521936199,1,34,16,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2023-03-18T19:53:19.800Z,2023-03-18T20:36:36Z,4107480121,197,16917,4107383999,59,"1, 3, 5, 10, 26, 19, 73, 21, 20, 8, 16, 2, 7, 12, 14, 17, 30, 44, 47, 95",4107383995,30,"1tkq6knbo350vy0o8aieijmxh, 2nod7tpovdjb85efh2sogijth, cmxmyld8l4gjy03zxskyxf5gq, 2b4soa2ddbbmdwm0ur760jh05, 8hyaww1d0p9871u8o8zk8f9at, z6po5y26nap863d68tcekhqt, 361pxz5e33ydl2c3t63a9kzc9, 1rdadi8uuu161wj8o7gbcn8wl, 7r96u3b7t46s0kg5t5qew3tnt, 3845lzar855rp3zp4stgmgul1, 1w926qtyntprx5ommoaa5nhed, 59ly8uun0sl324s7rtlmp6ac, bfy36wqp37utkkbl13k7s99m1, c9lykzcr3q7hr50ui74iqastm, 3vqaqxwvifjooxls26kxe1ecp, 47z2phkn1i9z8p32zqlu53j6x, avugx69mdi4p8c25p9fetmq22, 530nhsyjmbwcpb8536pgwbld5, 63u6t8h9cls93p7oglb8l242c, awu6zsiy6l8e3p1athc733jkl",4107384005,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4107480119,194,2b4soa2ddbbmdwm0ur760jh05,4107383997,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4107384001,130,8,4107384003,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521957101,2,32,1,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2023-03-18T20:31:31.163Z,2023-03-20T12:19:43Z,4107495109,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521957109,2,32,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2023-03-18T20:31:31.163Z,2023-03-18T20:31:34Z,4107495125,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521957111,3,1,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,49.9,50,2023-03-18T20:31:31.263Z,2023-03-18T20:31:40Z,4107495153,279,S,4107495151,213,2.7,4107495143,56,Back,4107495147,141,58.8,4107495145,140,37.8,4107495149,212,14.0,,,,,,,3845lzar855rp3zp4stgmgul1,João Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521957135,4,1,1,0,2,alyavx3ad35bp1xuwmqk7sgev,1,37.7,58.8,2023-03-18T20:31:33.472Z,2023-03-18T20:32:05Z,4107495275,140,44.9,4107495279,212,8.4,4107495273,56,Back,4107495277,141,53.3,4107495281,213,5.8,,,,,,,,,,1rdadi8uuu161wj8o7gbcn8wl,Guima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521957143,5,61,1,0,3,alyavx3ad35bp1xuwmqk7sgev,0,44.9,53.3,2023-03-18T20:31:35.040Z,2023-03-18T20:31:42Z,4107495313,56,Back,,,,,,,,,,,,,,,,,,,,,,3845lzar855rp3zp4stgmgul1,João Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521957157,4,49,1,0,4,22mo7qbsnyi8wtucpvhgvhw2q,1,50.7,51,2023-03-18T20:31:35.669Z,2023-03-20T15:51:31Z,,,,,,,,,,,,,,,,,,,,,,,,,dyeuxixz75ematbmtiwzcvhzp,João Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521957153,3,50,1,0,5,22mo7qbsnyi8wtucpvhgvhw2q,1,54.6,52.9,2023-03-18T20:31:36.743Z,2023-03-18T20:31:39Z,4107495381,286,,4107495379,56,Center,4107495447,233,6,,,,,,,,,,,,,,,,dyeuxixz75ematbmtiwzcvhzp,João Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521957165,6,7,1,0,5,alyavx3ad35bp1xuwmqk7sgev,1,45.4,47.1,2023-03-18T20:31:36.744Z,2023-03-20T15:51:59Z,4107495441,233,3,4107495425,285,,4113107425,384,,4107495423,56,Back,,,,,,,,,,,,,361pxz5e33ydl2c3t63a9kzc9,Bernardo Sousa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
