id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/14/value,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,qualifier/13/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2497878387,1,34,16,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2023-01-15T19:33:41.043Z,2023-01-15T20:50:01Z,3980615205,59,"99, 23, 22, 8, 2, 5, 25, 16, 29, 9, 13, 3, 7, 11, 14, 17, 19, 20, 46, 70",3980615207,130,8,3980615215,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3980615211,194,37usxvspofewb3djlg67lp1hx,3980615203,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3980615209,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3980615213,197,367,3980615201,30,"d79vlrccz170hzdh35nhsf1ed, dowh6oc93ggduous7ligguqne, av5ng2yhu8q1lqacekmxci0ut, el6dn7kq3815p2zd4rppzzw7p, 3enoici51osego5k1w41fuaqd, 37usxvspofewb3djlg67lp1hx, 8y0e1y90ih393h7zv7srfot79, 5966ij9cde66bhi1g39kxia51, 1nd8l0ofw9x779c0ufwbbo4ph, 97vuoqg0x9nx56dmd9u5e12hh, 2j8v4lkqeg1bcqp77ezseo8vd, 58i5y98ceb55anpucpru7skb9, 8ut3v3ezaj8th41g2kqhhhd9m, a6r2hqalh9ydoy2a8uv9rztux, xbk4zraauvq1cj1w5yz08kb9, 5m1fht9uevn186asz8awhxjah, f3zl8ymo5ttze20sffzk044q1, 4j6h9mgau5uaxlm589qlc6rjd, cpmfjroqtibaahb1dr66pl2i1, cdir3jevzi4o8edgtfwu6jfca",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497879047,1,34,16,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2023-01-15T19:36:22.136Z,2023-01-15T20:36:55Z,3980618663,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3980618661,30,"6ddxujeb3873j5evwiz8n4wt0, ck3l6a262hves3v6nywarx9pm, d98j4asio4xrxcwmfg1ak95yi, 1u9sn1cu0pq16mina2q6d6dwp, 1zteujk5u3rpr028priato4bt, 4ofpb9y2fqqr3d5cdfbl05c6h, bvlwv6fwawqnv446zj516y4no, 48li2iey0m9b8h8cvs6py2iy2, dkijqjb6nubobtobl4s2v8xxx, dh4byuuh5mlyp147iq8cyunkl, arpoe2kjx9pbacgpuv17yl33d, 9g834yhraytmjoxb15098ey95, 9hqhder3adhjjovepuv4yst79, zj7p9urhzbk3naybai223js9, bxfalki1fmd687uj0b8e0m0np, 7y5oyflivt56zuwoyzs2q20ru, mf471kdl6wed3z8wlaazk82x, 76w964mdux2s3max2nlih6az8, e0k7beubxdswouhw13td0nlk9, 6vvg5on86k2ldhs4pn2kua0vd",3980618669,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3980618665,59,"31, 6, 74, 97, 15, 4, 77, 12, 17, 7, 10, 23, 1, 2, 5, 14, 18, 20, 28, 32",3980618673,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3980690701,197,6994,3980618671,194,1zteujk5u3rpr028priato4bt,3980618667,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497892727,2,32,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2023-01-15T20:31:28.361Z,2023-01-15T20:31:28Z,3980697127,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497892733,2,32,1,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2023-01-15T20:31:28.361Z,2023-01-17T18:05:00Z,3980697137,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497892747,3,1,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,50,50,2023-01-15T20:31:28.556Z,2023-01-18T00:46:34Z,3980697231,213,4.0,3980697229,212,3.1,3980697223,56,Back,3980697233,279,S,3980697227,141,46.6,3982597531,178,,3980697225,140,48.1,,,,dkijqjb6nubobtobl4s2v8xxx,Rui Fonte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497892759,4,1,1,0,1,5c0sf1eaipcxvdw9o22of2jdp,1,47.9,46.6,2023-01-15T20:31:29.969Z,2023-01-18T00:46:45Z,3980697335,213,4.1,3980697333,212,25.7,3980697327,56,Back,3980697331,141,16.7,3980697329,140,32.9,3982597621,178,,,,,,,,dh4byuuh5mlyp147iq8cyunkl,Ivo Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497892773,5,1,1,0,5,5c0sf1eaipcxvdw9o22of2jdp,1,33,19.1,2023-01-15T20:31:33.371Z,2023-01-18T00:46:48Z,3980697421,212,37.1,3980697415,56,Back,3982597661,178,,3980697417,140,15.2,3980697423,213,2.1,3980697419,141,66.2,3980697425,1,,,,,1zteujk5u3rpr028priato4bt,Riccieli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497892787,6,1,1,0,8,5c0sf1eaipcxvdw9o22of2jdp,1,15.2,66.2,2023-01-15T20:31:36.919Z,2023-01-18T00:46:51Z,3980697515,212,20.3,3982597683,178,,3980697517,213,1.2,3980697513,141,93.6,3980697509,56,Back,3980697511,140,22.8,,,,,,,4ofpb9y2fqqr3d5cdfbl05c6h,E. Mihaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497892793,7,1,1,0,10,5c0sf1eaipcxvdw9o22of2jdp,1,21.4,93.6,2023-01-15T20:31:38.722Z,2023-01-18T00:46:55Z,3982597713,178,,3980697573,141,97.3,3980697571,140,39.5,3980697575,212,19.2,3980697569,56,Back,3980697577,213,0.1,,,,,,,1u9sn1cu0pq16mina2q6d6dwp,S. Colombatto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497892797,8,61,1,0,11,5c0sf1eaipcxvdw9o22of2jdp,0,30.2,95,2023-01-15T20:31:39.860Z,2023-01-18T00:46:59Z,3982597733,178,,3980700075,56,Back,,,,,,,,,,,,,,,,,,,d98j4asio4xrxcwmfg1ak95yi,Francisco Moura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
