id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/11/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2511576215,1,34,16,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2023-02-24T19:07:26.668Z,2023-02-24T20:11:12Z,4052686849,197,6595,4052589335,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052589323,30,"6ddxujeb3873j5evwiz8n4wt0, ck3l6a262hves3v6nywarx9pm, d98j4asio4xrxcwmfg1ak95yi, 1u9sn1cu0pq16mina2q6d6dwp, 1zteujk5u3rpr028priato4bt, 4ofpb9y2fqqr3d5cdfbl05c6h, 9g834yhraytmjoxb15098ey95, e0k7beubxdswouhw13td0nlk9, 4owddsmmbkkv0vbcj0fz0hlud, dh4byuuh5mlyp147iq8cyunkl, arpoe2kjx9pbacgpuv17yl33d, 9hqhder3adhjjovepuv4yst79, bxfalki1fmd687uj0b8e0m0np, 6jkfecnicg5ilzy44x7ld7u1h, 9wek84cn7z0ou46623nlo876y, 48li2iey0m9b8h8cvs6py2iy2, mf471kdl6wed3z8wlaazk82x, 76w964mdux2s3max2nlih6az8, 6vvg5on86k2ldhs4pn2kua0vd, bvlwv6fwawqnv446zj516y4no",4052589325,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4052589333,194,1zteujk5u3rpr028priato4bt,4052589327,59,"31, 6, 74, 97, 15, 4, 23, 28, 70, 7, 10, 1, 5, 8, 9, 12, 18, 20, 32, 77",4052589331,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052589329,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511579805,1,34,16,0,0,co1i764h6b02husae71w6scs8,1,0,0,2023-02-24T19:11:05.418Z,2023-02-24T20:21:54Z,4052607939,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052889685,197,3750,4052607943,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4052607937,130,10,4052607931,30,"cpf5wp34pu80qzvcwakjhh905, 6gmfcfqd1o54zyepd9587nlqt, cgtz4fa0mz9poi4ju8bjtbwiy, 33j75k7nnzjit08r24zk00yy1, 3hzw7c4kkol5okl9imvc70ij9, 10va1tucy0kb83wllaudp7e95, b7ri94n62dr73s1hb10br7lrd, 3vwbsaoy8f2vc4kkad4ipv3kl, 1zokl2zp7gtwlmj37kps6lnmx, 7apd6saozsmkhkm7ew06a5a6t, 293inynsy3ai0aawkdzpl7cnp, r34leywn2c5158ldxrcde5l, 7rfeo8qrjotskdx5e6bwk53h1, db6kkpr65v0zlrlx1cr5almcq, 9lwpckbeu2ymqlmq6288bdjvt, f29gq7ixyjd9m22yhmb7c7oq1, 5j9k3rz7a8z7zx91hxetr6v6y, 52407m29h74ziyt19jty0od7t, dvxwdpad8a1iatnwcpqvy3m5l, awicgdcslcljo1mbmvochqlwq",4052607935,59,"32, 18, 22, 23, 4, 44, 25, 21, 70, 35, 8, 1, 15, 3, 6, 14, 17, 24, 38, 99",4052607941,194,3vwbsaoy8f2vc4kkad4ipv3kl,4052607933,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511635179,2,32,1,0,0,co1i764h6b02husae71w6scs8,1,0,0,2023-02-24T20:16:31Z,2023-02-24T20:16:33Z,4052904279,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511635161,2,32,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2023-02-24T20:16:31Z,2023-02-26T17:14:13Z,4052904217,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511635235,3,1,1,0,0,co1i764h6b02husae71w6scs8,1,50,50,2023-02-24T20:16:31.170Z,2023-02-26T17:48:52Z,4052904583,279,S,4052904575,140,34.8,4060068919,178,,4052904579,212,16.1,4052904581,213,3.0,4052904571,56,Back,4052904577,141,52.7,,,,1zokl2zp7gtwlmj37kps6lnmx,Rui Gomes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511635323,4,1,1,0,2,co1i764h6b02husae71w6scs8,1,34.3,44.5,2023-02-24T20:16:33.202Z,2023-02-26T17:48:56Z,4052905073,213,4.5,4052905065,56,Back,4052905071,212,25.3,4052905067,140,29.5,4052905069,141,8.1,4060069239,178,,,,,,,,3vwbsaoy8f2vc4kkad4ipv3kl,Pedro Sá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511635361,5,1,1,0,5,co1i764h6b02husae71w6scs8,1,28.9,8.8,2023-02-24T20:16:36.305Z,2023-02-26T17:49:12Z,4052905237,141,24.0,4052905239,212,11.1,4060070403,178,,4052905235,140,25.1,4052905241,213,1.9,4052905233,56,Back,,,,,,,10va1tucy0kb83wllaudp7e95,Pedrão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511635423,6,1,1,0,8,co1i764h6b02husae71w6scs8,1,26.3,24,2023-02-24T20:16:39.644Z,2023-02-26T17:49:15Z,4052905611,155,,4052905617,141,28.2,4052905619,212,43.0,4052905623,1,,4060070605,178,,4052905621,213,0.1,4052905613,56,Center,4052905615,140,67.2,3hzw7c4kkol5okl9imvc70ij9,Lucas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511635429,7,44,1,0,11,co1i764h6b02husae71w6scs8,1,65.9,23.4,2023-02-24T20:16:42.423Z,2023-02-26T19:57:21Z,4052905641,286,,4052905639,56,Center,4052905691,233,3,,,,,,,,,,,,,,,,7apd6saozsmkhkm7ew06a5a6t,B. Róchez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511635401,3,44,1,0,11,5c0sf1eaipcxvdw9o22of2jdp,0,34.1,76.6,2023-02-24T20:16:42.424Z,2023-02-26T17:49:21Z,4052905469,56,Back,4052905471,285,,4052905719,233,7,,,,,,,,,,,,,,,,4ofpb9y2fqqr3d5cdfbl05c6h,E. Mihaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
