id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/13/value,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2456350847,1,34,16,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2022-09-05T17:17:33.299Z,2022-09-05T18:07:06Z,3760935559,197,1519,3760822153,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760822141,30,"6a34imgccsbw4zysasuziuad, 4a4kjygjq5el2ylh7k660lul0, 7aak50ydu8nrfxd9qndeygnpw, c406oul95r3jvmbebcge5oz4l, 3weuuu2vlyod9x7gnk2v9r1ed, 3ebyf23azgbktpf7dgwlphkvd, 47wasen155qbiu6pmyp3dowr9, eyllkbdemtx2seh48r9l3czbp, 3batawbh7y4sjkeo4hn34svzd, aissbbcnwyr06fhgfamxo9j2t, 5za437wrlqizff74n6uqodpzp, 6w3iuh0f11tbwr037i7qb031m, 6n9p8xqhlgz0qfi39rojaxst0, 96tuk7bpr043jh2obpegcgd4a, 57pi7l4h7g2jydmkc5vl6vkr9, 90ojk78yhwtwbnz0k5w1ow6hh, 4ax49niuix9tiqdv05y3vbdn9, 6ylhhspjzxqrbqj4yq35hwkr8, 5bpx24iyhlarqkmg09pm27lgq, 8lv60zbly3xz43g9hm2s7oqcq",3760822145,59,"12, 79, 70, 26, 23, 2, 24, 42, 9, 8, 7, 6, 4, 13, 21, 18, 19, 59, 77, 99",3760822149,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760822147,130,13,3760822151,194,47wasen155qbiu6pmyp3dowr9,3760822143,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456353243,1,34,16,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2022-09-05T17:22:16.009Z,2022-09-05T20:21:23Z,3760835255,30,"53y263xxfdf1itytiqhg3v6c5, 3zndvhinobvclra6m0y47drrp, 3zkqv88qpc3tm22pex5qfillh, 8dyozmfhm4x9hwqqpa6hcri6t, fwnnz9wriid0xznpbpdy82s4, c9rqgser2j8a6w7xfj3vmkzfu, 8kns1kywrlakjwll1cxs19r3e, egf4oc47whxf2hmrjjddvtxbd, 3yenbonc310rzql4ey73v7bsa, 2grwfg8j3gpdthz5n5dn6wb56, atcgj9k5ghx0ekwyky31l4pud, bid3fvgjmfnik2pegy9av3tux, 3g3dypdszvxq1tntx0l1lu2qy, 2fb4hr89a6zcwz14grb362az8, dtkxyjne2wd3rtsg74i9lc6qc, 6hhxcbz0w98s2ucyjq4v3o9p0, 2m69fipbiuwtg7sfvmx99lw16, a71vugy7m06i8dcllmolni85x, 7pordwinyzf3wxn2jlu62yndh, dc5mkjm8cfhhsq4nbbbk8vlec",3760835259,59,"98, 15, 5, 26, 3, 23, 7, 6, 19, 16, 9, 14, 8, 11, 13, 20, 24, 29, 32, 41",3760835261,130,7,3760835265,194,3zkqv88qpc3tm22pex5qfillh,3760835257,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3760918829,197,12635,3760835267,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3760835263,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456367849,2,32,1,0,0,3b4nxgvmwzstmoq6borytkwx1,1,0,0,2022-09-05T17:59:45.408Z,2022-09-07T19:05:28Z,3760920027,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456367851,2,32,1,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2022-09-05T17:59:45.408Z,2022-09-05T17:59:46Z,3760920039,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456367853,3,1,1,0,0,3b4nxgvmwzstmoq6borytkwx1,1,50,50,2022-09-05T17:59:45.902Z,2022-09-08T12:57:40Z,3765136601,178,,3760920089,56,Back,3760920095,212,24.7,3760920091,140,31.2,3760920099,279,S,3760920097,213,2.5,3760920093,141,71.8,,,,47wasen155qbiu6pmyp3dowr9,S. Pérez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456367857,4,1,1,0,3,3b4nxgvmwzstmoq6borytkwx1,0,31.2,71.8,2022-09-05T17:59:48.534Z,2022-09-08T07:58:14Z,3760920127,155,,3760920137,213,5.7,3760920133,141,13.4,3760920139,1,,3760920135,212,74.6,3760920131,140,91.3,3760920129,56,Right,3765136663,178,,c406oul95r3jvmbebcge5oz4l,R. Abascal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456367863,3,49,1,0,8,491xixnlsp75o7cr3w2gc1o0z,1,8.1,89.1,2022-09-05T17:59:53.822Z,2022-09-08T08:13:17Z,,,,,,,,,,,,,,,,,,,,,,,,,3zkqv88qpc3tm22pex5qfillh,Antunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456367865,4,1,1,0,8,491xixnlsp75o7cr3w2gc1o0z,0,8.1,89.1,2022-09-05T17:59:53.851Z,2022-09-08T08:13:21Z,3760920173,213,0.1,3760920167,140,14.3,3760920163,157,,3760920169,141,90.3,3765142859,178,,3760920171,212,6.6,3760920175,1,,3760920165,56,Back,3zkqv88qpc3tm22pex5qfillh,Antunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456367867,5,61,1,0,8,3b4nxgvmwzstmoq6borytkwx1,1,84.7,18.9,2022-09-05T17:59:53.966Z,2022-09-08T08:13:28Z,3765142931,21,,3765142933,178,,3760920191,56,Right,,,,,,,,,,,,,,,,3batawbh7y4sjkeo4hn34svzd,R. Boženík,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2456367869,5,44,1,0,11,491xixnlsp75o7cr3w2gc1o0z,1,14.7,85.7,2022-09-05T17:59:56.480Z,2022-09-08T09:33:12Z,3760920197,56,Back,3760920219,233,6,3760920199,285,,,,,,,,,,,,,,,,,3zkqv88qpc3tm22pex5qfillh,Antunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
