id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/13/value,keyPass,qualifier/15/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist
2502039491,1,34,16,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2023-01-29T14:22:38.412Z,2023-01-29T15:40:39Z,4002354033,194,chy52wzncc8ulmer9z2rebit,4002354035,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002354029,130,8,4002354031,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002354023,30,"9uc54rlxmahbfppv97zi81yhh, 7m2za4jynw9fdc2ax1455ibpx, chy52wzncc8ulmer9z2rebit, de1nmkgahbsrky75itebiitp1, 2amti8wga8jpons4mizksjd1x, 8f8lbg182g5jwnqbj1zgjbljp, hrr3761wvgn1ayhsrrz4rf11, 3ynj76lod24r597rmhshxczpx, 2u7fm04v2xzqso4rubkrvjcru, 575pl0igxsevhmf6nfmjwwyxh, bljvhirrui29i12tysjdtmnd, 22ctb2x9iztmzylscpwyqtrhm, 10mmhviatbpx75fslh68s25lh, dn4o1wa7ia54rpytm5fikbsh5, 4wces11j8ejvbpz1zqd94b7fu, 380ejwyblelr0ef3um2cwv3ai, eblsjvbkd7vws1qpx7td1eacp, 9xk50bv3qlja26r1ecary1y3t, 9pi6sf9sdni4dn6db7rej0r85, 8bcfmmsjnman2nsp2t9rsrvxm",4002354027,59,"97, 14, 24, 8, 3, 5, 10, 6, 9, 20, 79, 17, 4, 11, 13, 16, 19, 22, 23, 82",4002354025,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4002722599,197,3241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502044539,1,34,16,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2023-01-29T14:28:25.432Z,2023-01-29T16:35:44Z,4002380139,130,18,4002380145,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002380143,194,e6ztipndwfp33c6j7yebsyx91,4002725013,197,377,4002380135,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4002380137,59,"18, 20, 77, 4, 33, 23, 30, 6, 21, 19, 95, 1, 9, 11, 15, 22, 27, 16, 42, 93",4002380133,30,"ckog922pr9vqy2ry4m7o5ag2d, degqtleco9n5tlt0yz3q5t9ii, djqbki8jap3rp8l0izzly9tzo, 8uxdtdynfnmlx0ro5iounze1, 75znincjirp1z8bcw9nhztxat, 110maz3wmyhfk670un6ieloet, 912y0yoa524suow0wvpbtwq1h, e6ztipndwfp33c6j7yebsyx91, 9kvoxdbnb5kt2dzy7kr0s7v11, 433k61rvy0ay7lcsyxd918r8p, 6fvujizi2c81rxbbble21p32t, 5881z0950eh6003uukdwkuql0, 55r9zkckjjq4txriw3jhguwnp, 2u5a79zhvgasvp6yinny8kr2s, c38u6t2mr5f441tcuxlwpulpm, 79mo2l821d5zq6dyrg9qkpf4l, apjgf0d7fwwdsb06vdlsjyc45, 8lahho5viagd48ufvp582453p, 803s6ja43m4i9jhl97jd37s2x, 2rw2a005v9ehuopm1hf87uvah",4002380141,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502100379,2,32,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2023-01-29T15:31:32.717Z,2023-01-29T15:31:32Z,4002677459,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502100393,2,32,1,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2023-01-29T15:31:32.717Z,2023-02-01T01:47:59Z,4002677531,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502100451,3,1,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,50,50,2023-01-29T15:31:32.752Z,2023-02-01T05:11:00Z,4002677881,213,3.4,4002677879,212,5.1,4002677873,56,Back,4002677883,279,S,4006234209,178,,4002677875,140,45.3,4002677877,141,48.2,,,,433k61rvy0ay7lcsyxd918r8p,A. Yakubu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502100493,4,1,1,0,1,cgvbluoerzbzcr7aaxge3wkcv,1,45.3,48.2,2023-01-29T15:31:34.368Z,2023-02-01T05:11:04Z,4002678103,213,2.4,4002678099,141,67.8,4002678101,212,18.9,4002678095,56,Back,4006234237,178,,4002678097,140,32.5,,,,,,,912y0yoa524suow0wvpbtwq1h,A. Samaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502100521,5,1,1,0,5,cgvbluoerzbzcr7aaxge3wkcv,1,31,63,2023-01-29T15:31:38.643Z,2023-02-01T05:11:09Z,4002678219,212,23.3,4002678221,213,4.7,4002678217,141,28.8,4002678215,140,30.9,4002678213,56,Back,4006234281,178,,,,,,,,8uxdtdynfnmlx0ro5iounze1,Patrick William,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502100543,6,1,1,0,9,cgvbluoerzbzcr7aaxge3wkcv,1,30.9,28.8,2023-01-29T15:31:41.749Z,2023-02-01T05:11:11Z,4002678367,213,1.9,4002678365,212,16.7,4002678363,141,51.9,4006234301,178,,4002678359,56,Back,4002678361,140,25.4,,,,,,,110maz3wmyhfk670un6ieloet,Josué Sá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502100641,7,1,1,0,14,cgvbluoerzbzcr7aaxge3wkcv,0,27.9,54.8,2023-01-29T15:31:46.744Z,2023-02-01T05:11:14Z,4002678845,141,100.0,4002678847,212,31.7,4006234335,178,,4002678843,140,26.6,4002678849,213,1.6,4002678841,56,Back,,,,,,,75znincjirp1z8bcw9nhztxat,Aderllan Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502100725,3,5,1,0,17,7fn0aazbc8nx0u040aulozds1,1,71.2,-0.7,2023-01-29T15:31:49.811Z,2023-02-01T05:11:20Z,4002679277,56,Right,4002679279,347,,4002679309,233,9,,,,,,,,,,,,,,,,hrr3761wvgn1ayhsrrz4rf11,Kiko Bondoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
