id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist
2465500635,1,34,16,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2022-10-01T13:25:29.066Z,2022-10-01T14:28:25Z,3809401651,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3809401661,194,chy52wzncc8ulmer9z2rebit,3809401655,130,4,3809401657,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809911163,197,3241,3809401649,30,"9uc54rlxmahbfppv97zi81yhh, 8bcfmmsjnman2nsp2t9rsrvxm, chy52wzncc8ulmer9z2rebit, 3ynj76lod24r597rmhshxczpx, 8f8lbg182g5jwnqbj1zgjbljp, 10mmhviatbpx75fslh68s25lh, eblsjvbkd7vws1qpx7td1eacp, 575pl0igxsevhmf6nfmjwwyxh, dn4o1wa7ia54rpytm5fikbsh5, hrr3761wvgn1ayhsrrz4rf11, bljvhirrui29i12tysjdtmnd, 19op8n866vmntrkobatq2u5ex, de1nmkgahbsrky75itebiitp1, 2u7fm04v2xzqso4rubkrvjcru, 2gek3shxyc91h8bth9q8opyei, 9xk50bv3qlja26r1ecary1y3t, 9pi6sf9sdni4dn6db7rej0r85, 16mci88sfp5ijpwf661mes8yy, 77e2c0nv7hbmmo2uppdx4i7zd, cqr72apm30de51gndxlejegic",3809401663,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809401653,59,"97, 82, 24, 6, 5, 4, 19, 20, 11, 10, 79, 7, 8, 9, 17, 22, 23, 25, 29, 31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465503789,1,34,16,0,0,co1i764h6b02husae71w6scs8,1,0,0,2022-10-01T13:30:03.048Z,2022-10-01T14:49:13Z,3809418885,130,8,3809418879,30,"cpf5wp34pu80qzvcwakjhh905, 6gmfcfqd1o54zyepd9587nlqt, 2kvb94ocyvs7x1sbq73rr22nd, 9lwpckbeu2ymqlmq6288bdjvt, 10va1tucy0kb83wllaudp7e95, cgtz4fa0mz9poi4ju8bjtbwiy, 1c0ymbcylpp4ty7n34inspffu, dvxwdpad8a1iatnwcpqvy3m5l, 7apd6saozsmkhkm7ew06a5a6t, 9788pzgd21d94wye06ryneoyd, 1zokl2zp7gtwlmj37kps6lnmx, eaf4b3le808xp7j4rejomxf55, db6kkpr65v0zlrlx1cr5almcq, 5j9k3rz7a8z7zx91hxetr6v6y, 52407m29h74ziyt19jty0od7t, 3q1nhus52rnkt6nwvqmpb1ct0, 7su7fdl13e1v7rvbcdr9n95ux, 9fmhfunfd0d4ca0addj6vtdk9, 3e7svf1sj8ec14we8d8zm273e, awicgdcslcljo1mbmvochqlwq",3809418891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809418881,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3809418889,194,6gmfcfqd1o54zyepd9587nlqt,3809418883,59,"32, 18, 19, 6, 44, 22, 20, 38, 35, 8, 70, 1, 3, 17, 24, 27, 77, 78, 85, 99",3809934103,197,3750,3809418887,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465605229,2,32,1,0,0,co1i764h6b02husae71w6scs8,1,0,0,2022-10-01T14:31:16.271Z,2022-10-01T14:31:18Z,3809944311,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465605143,2,32,1,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2022-10-01T14:31:16.271Z,2022-10-04T02:18:39Z,3809943855,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465605269,3,1,1,0,1,7fn0aazbc8nx0u040aulozds1,1,49.9,49.7,2022-10-01T14:31:17.484Z,2022-10-04T05:22:27Z,3809944465,212,18.4,3809944461,140,35.1,3809944463,141,64.3,3809944469,279,S,3809944459,56,Back,3818076149,178,,3809944467,213,2.6,,,,575pl0igxsevhmf6nfmjwwyxh,Samú,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465605347,4,1,1,0,2,7fn0aazbc8nx0u040aulozds1,0,34.4,60.9,2022-10-01T14:31:19.264Z,2022-10-04T05:22:33Z,3809944855,140,82.5,3809944845,157,,3809944851,56,Center,3809944873,1,,3809944871,213,5.9,3809944863,141,33.0,3809944867,212,54.0,3818076219,178,,chy52wzncc8ulmer9z2rebit,Kiki Afonso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465605423,3,1,1,0,6,co1i764h6b02husae71w6scs8,1,23.1,69,2022-10-01T14:31:22.315Z,2022-10-04T05:22:43Z,3809945299,56,Back,3809945303,141,58.5,3809945307,213,5.8,3818076315,388,,3809945297,3,,3809945305,212,15.1,3809945301,140,35.8,,,,cgtz4fa0mz9poi4ju8bjtbwiy,Filipe Relvas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465605431,4,49,1,0,6,co1i764h6b02husae71w6scs8,1,35.9,58.4,2022-10-01T14:31:23.183Z,2022-10-04T05:22:49Z,,,,,,,,,,,,,,,,,,,,,,,,,9788pzgd21d94wye06ryneoyd,Ewerton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465605461,5,1,1,0,7,co1i764h6b02husae71w6scs8,0,35.9,58.4,2022-10-01T14:31:23.312Z,2022-10-04T05:23:00Z,3809945523,212,18.7,3817236795,155,,3818076501,178,,3809945525,213,0.4,3809945519,140,52.6,3809945517,56,Center,3809945521,141,68.1,,,,9788pzgd21d94wye06ryneoyd,Ewerton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465605563,5,1,1,0,9,7fn0aazbc8nx0u040aulozds1,0,36.3,35,2022-10-01T14:31:25.744Z,2022-10-04T05:23:05Z,3809946053,213,0.3,3809946047,140,79.7,3809946043,157,,3809946049,141,56.4,3818076573,178,,3809946055,1,,3809946045,56,Center,3809946051,212,47.8,8f8lbg182g5jwnqbj1zgjbljp,Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
