id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,assist
2538177257,1,34,16,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2023-04-23T16:01:26.415Z,2023-04-23T17:02:02Z,4214751077,197,5027,4214407021,194,4bsxzg78o3q9ot7bdngx9k5at,4214407025,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4214407013,59,"12, 95, 16, 6, 2, 4, 21, 20, 39, 11, 10, 9, 19, 22, 31, 32, 40, 44, 49, 74",4214407009,30,"byk4cll4gdgp2n5ocxrb5j1t5, 4bsxzg78o3q9ot7bdngx9k5at, 5zbaigi2kpo930z50irfq11p1, 9kn7hs1nbc0rcismky05z6zmx, 3qbeypoqvj93wzbbqd1upx7f9, aw1gqkqpznn5ku7ca9hy2skix, caczqvr2l880frsd32nbjorxm, 5k74ofoqel095frhszvdmxbhm, 4flr4t07s463ioooy31ov8fs9, 4h2rr9ltxtw6w2hgzm0tu5jo5, c7vhfnn9bft0xk3lcx7komfze, 35y61220qzlyedki00vfmioyx, 28029kae9ievarvyirn1cboix, es75u7djersp0p9nefh0wx756, 66jgw85uti6qsgxmlkzz2726t, fkx4v1ux771bqn2g9bn3340k, 5u3nf7qbreypvi8rut8n8smhh, l8ewedihgtz1oz6ikm333mz8, 2r6ma23qtyq2l18m21eksjp7u, 257e4odsfzeqbdyhbqtpokbth",4214407017,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4214407011,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4214407015,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538183065,1,34,16,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2023-04-23T16:06:56.605Z,2023-04-23T16:56:04Z,4214438833,194,2b4soa2ddbbmdwm0ur760jh05,4214438823,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4214438829,130,8,4214438819,30,"1tkq6knbo350vy0o8aieijmxh, 2nod7tpovdjb85efh2sogijth, cmxmyld8l4gjy03zxskyxf5gq, 2b4soa2ddbbmdwm0ur760jh05, 8hyaww1d0p9871u8o8zk8f9at, z6po5y26nap863d68tcekhqt, 9m66crpktao9g80wc8zi9y5ex, 1rdadi8uuu161wj8o7gbcn8wl, 7r96u3b7t46s0kg5t5qew3tnt, 3845lzar855rp3zp4stgmgul1, 361pxz5e33ydl2c3t63a9kzc9, bfy36wqp37utkkbl13k7s99m1, c9lykzcr3q7hr50ui74iqastm, 3vqaqxwvifjooxls26kxe1ecp, 47z2phkn1i9z8p32zqlu53j6x, 1bpopqr7cuikh6s6sk4ij31ed, chwv6iayowufvu6hb1fg6ydwp, 530nhsyjmbwcpb8536pgwbld5, 7137owa2iq6cpmdiwi6uldh3p, awu6zsiy6l8e3p1athc733jkl",4214732673,197,16917,4214438825,59,"1, 3, 5, 10, 26, 19, 77, 21, 20, 8, 73, 7, 12, 14, 17, 23, 31, 44, 83, 95",4214438835,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4214438831,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538240027,2,32,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2023-04-23T16:59:55.183Z,2023-04-23T16:59:55Z,4214750097,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538240043,3,32,1,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2023-04-23T16:59:55.183Z,2023-04-25T14:35:28Z,4214750193,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538240089,3,1,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,50,50.2,2023-04-23T16:59:55.283Z,2023-04-23T17:28:07Z,4214750431,56,Back,4214750435,140,46.7,4214750449,279,S,4214750443,212,3.9,4214750445,213,3.6,4214750439,141,47.5,,,,,,,7r96u3b7t46s0kg5t5qew3tnt,Juninho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538240095,4,1,1,0,2,alyavx3ad35bp1xuwmqk7sgev,0,46.7,47.5,2023-04-23T16:59:57.507Z,2023-04-25T14:37:39Z,4214750477,140,64.8,4214750471,155,,4214750475,56,Right,4214750483,213,5.3,4214750481,212,34.0,4214750485,1,,4214750479,141,6.1,,,,2b4soa2ddbbmdwm0ur760jh05,João Teixeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538240097,4,8,1,0,3,cmbqc74mshg77ra7mywec2a6b,1,38.6,88.7,2023-04-23T16:59:59.077Z,2023-04-25T14:37:44Z,4214750541,15,,4219595225,384,,4214750499,56,Back,,,,,,,,,,,,,,,,5zbaigi2kpo930z50irfq11p1,Paulo Henrique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538240235,5,1,1,0,8,alyavx3ad35bp1xuwmqk7sgev,1,56.9,45,2023-04-23T17:00:03.339Z,2023-04-23T17:00:10Z,4214751259,140,51.9,4214751263,212,29.6,4214751261,141,87.8,4214751265,213,1.7,4214751257,56,Left,,,,,,,,,,3845lzar855rp3zp4stgmgul1,João Mendes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538240255,5,45,1,0,15,cmbqc74mshg77ra7mywec2a6b,0,34.4,27.2,2023-04-23T17:00:10.219Z,2023-04-23T17:25:32Z,4214751365,285,,4214751361,56,Back,4214751501,233,6,,,,,,,,,,,,,,,,4flr4t07s463ioooy31ov8fs9,Matheus Babi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2538240263,6,3,1,0,15,alyavx3ad35bp1xuwmqk7sgev,1,65.6,72.8,2023-04-23T17:00:10.219Z,2023-04-25T14:37:59Z,4214751417,56,Center,4219595289,465,,4214751453,233,5,4214751419,286,,,,,,,,,,,,,,cmxmyld8l4gjy03zxskyxf5gq,Bruno Langa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
