id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/14/value,keyPass,qualifier/11/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/16/value
2452538445,1,34,16,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-08-28T16:16:28.676Z,2022-08-28T17:16:40Z,3740498821,130,8,3740498819,59,"12, 21, 6, 5, 13, 64, 7, 14, 19, 10, 8, 1, 2, 9, 11, 17, 20, 23, 43, 44",3740498825,194,8zt0zlypar7m1eqj4zu8ul695,3740498817,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740498823,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740694219,197,390,3740498827,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740498815,30,"25n2vrjnz5qsm5pigyn3ps8vd, bdgqvvkpadpthmlm40wa6dcyx, ds66cc3zwxbyl5zfzag5422g9, 7nrjutc015x9nupdcl4hj3l5h, 8zt0zlypar7m1eqj4zu8ul695, 2jl9lfqd2q74iwamx7g0xva50, clnli7y2s88p16yqtrbsb99sl, 1nqpxso2a9qw8w8g6u4sb60ut, 3vln1sp3b13v1yhcsd0vl3c2x, 3w3z6g8x70ii3pltaxyxbycwl, c0pat4dqmsc4teand5ampsdlh, c7wta7tm5rfielv4211c253v9, 9l70xwbhc0xr57iifzyxzot7t, 4effb0zguv2lqtv2vl9lqb696, dh3ddfghtgeb2iu2608y96i5m, 1swp008ttj3pd57fz5uw8mctm, 79ir6aubulzanvonfbgngk5hx, 1doj252anzqdzn5fknqr5i31l, evdhe2j9k1smuk1ul7woo3h0p, 43mnaysq76cz587wxk8w3job9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452539055,1,34,16,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2022-08-28T16:17:02.657Z,2022-08-28T16:55:14Z,3740502267,130,2,3740502273,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740502269,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740502263,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740694503,197,372,3740502271,194,5l9ilx0kwbny81lykqksoz9w5,3740502265,59,"1, 70, 6, 8, 3, 4, 45, 10, 99, 23, 21, 7, 9, 12, 14, 15, 18, 29, 76, 88",3740502261,30,"5nlzolv5bg03eiopba58rs251, dq41kziilg4jki9erxel9d3ze, c8s3kzk7jpdpp5ctzqkzh9vit, 8gkc9l566rjg7nifxwsq5vdud, 8t404ou7dw8vprk9h7jjuqjt, 2psarhoauswcdof4nb22sw7ah, 5kcytruttikppbpkeg9rhd4gl, 33qmom9yrc1ft1cte9qju1djp, cnriqwh17pqgz7p2gt74uar6c, 43xutn1unln5o3gwx3cl4lo0l, 5l9ilx0kwbny81lykqksoz9w5, 2apqk2zobhs8ypnaw0bzkch9m, e5xv1rmy69kwuxjxin653ojqh, c3pxiexbciif7uu845ivx5hhx, 23d0t7gqlra3jkskn18bh752i, 51rs6ozeux61yyjfk9ci86311, 2irms3moqosywa14re7n2awh5, 5p4q1zolt4e4h07jzknksyzv8, 3cgw9le7p3c1jiayb7m8frxpm, 5bo84b7398nyv87ztwd8wxh3p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452577773,2,32,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2022-08-28T17:00:16.484Z,2022-08-28T17:00:16Z,3740714693,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452577781,2,32,1,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-08-28T17:00:16.484Z,2022-08-30T19:41:49Z,3740714733,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452577793,3,1,1,0,0,dich5v7sw466smbqap0d9rbyj,1,50.6,49.9,2022-08-28T17:00:16.561Z,2022-08-31T05:03:38Z,3740714801,212,7.2,3740714805,279,S,3740714795,56,Back,3746496459,178,,3740714803,213,3.1,3740714799,141,50.1,3740714797,140,43.7,,,,3vln1sp3b13v1yhcsd0vl3c2x,Rafa Mújica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452577827,4,1,1,0,1,dich5v7sw466smbqap0d9rbyj,1,37.6,48.2,2022-08-28T17:00:17.967Z,2022-08-31T05:03:40Z,3740714967,56,Back,3740714973,212,16.3,3740714969,140,25.9,3746496493,178,,3740714975,213,3.9,3740714971,141,32.5,,,,,,,3w3z6g8x70ii3pltaxyxbycwl,A. Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452577863,5,1,1,0,3,dich5v7sw466smbqap0d9rbyj,1,26.3,32.7,2022-08-28T17:00:19.815Z,2022-08-31T05:03:44Z,3740715161,213,4.8,3746496559,178,,3740715153,56,Back,3740715159,212,17.9,3740715157,141,6.4,3740715155,140,27.4,,,,,,,1nqpxso2a9qw8w8g6u4sb60ut,Oriol Busquets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452577875,6,1,1,0,5,dich5v7sw466smbqap0d9rbyj,0,30.9,5.9,2022-08-28T17:00:21.933Z,2022-08-31T05:03:50Z,3740715231,140,71.5,3740715235,212,45.1,3740715227,155,,3740715229,56,Center,3740715233,141,27.7,3746496651,178,,3740715237,213,0.3,3740715239,1,,bdgqvvkpadpthmlm40wa6dcyx,B. Milovanov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452577913,3,1,1,0,8,26t6lvlpql4w5wu1ih73qpy36,1,30.1,74.9,2022-08-28T17:00:24.967Z,2022-08-31T05:03:55Z,3740715401,3,,3740715405,140,31.1,3740715411,213,4.9,3740715403,56,Back,3740715407,141,67.8,3746496717,388,,3740715409,212,4.9,,,,2psarhoauswcdof4nb22sw7ah,S. Niakaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452577917,4,49,1,0,10,26t6lvlpql4w5wu1ih73qpy36,1,31,67.4,2022-08-28T17:00:26.600Z,2022-08-31T05:03:58Z,,,,,,,,,,,,,,,,,,,,,,,,,8t404ou7dw8vprk9h7jjuqjt,Vítor Tormena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
