id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,assist,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,keyPass,qualifier/14/value,qualifier/18/value,qualifier/17/value
2509352359,1,34,16,0,0,co1i764h6b02husae71w6scs8,1,0,0,2023-02-18T16:58:24.670Z,2023-02-20T18:10:36Z,4040837611,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4040837607,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4041044033,197,3749,4040837601,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4040837605,130,10,4040837599,30,"cpf5wp34pu80qzvcwakjhh905, 6gmfcfqd1o54zyepd9587nlqt, f29gq7ixyjd9m22yhmb7c7oq1, cgtz4fa0mz9poi4ju8bjtbwiy, 3hzw7c4kkol5okl9imvc70ij9, 33j75k7nnzjit08r24zk00yy1, db6kkpr65v0zlrlx1cr5almcq, b7ri94n62dr73s1hb10br7lrd, 82fjdh9q4378gd1g9l1bimrx1, awicgdcslcljo1mbmvochqlwq, 52407m29h74ziyt19jty0od7t, bpxafwc30rerxmgju6rcau8kp, r34leywn2c5158ldxrcde5l, agjhj0e3l9ofh1xchvyq2yt7u, 7rfeo8qrjotskdx5e6bwk53h1, 293inynsy3ai0aawkdzpl7cnp, 5j9k3rz7a8z7zx91hxetr6v6y, 3vwbsaoy8f2vc4kkad4ipv3kl, 7apd6saozsmkhkm7ew06a5a6t, 1zokl2zp7gtwlmj37kps6lnmx",4040837609,194,6gmfcfqd1o54zyepd9587nlqt,4040837603,59,"32, 18, 14, 22, 4, 23, 3, 25, 93, 99, 24, 53, 1, 5, 15, 8, 17, 21, 35, 70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509354605,1,34,16,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2023-02-18T17:02:17.955Z,2023-02-20T18:52:00Z,4040849731,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4040849735,130,4,4040849737,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4040849741,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4040849733,59,"30, 2, 94, 15, 5, 3, 8, 23, 9, 29, 7, 38, 57, 4, 10, 11, 21, 27, 31, 45",4040849729,30,"3uma2r2ks9a44deiwpncec8np, 8q4m06v3yfsq2iza942ezaxud, 8jcuunhako2i9ynmp8v3w2eax, 5n3pl3j98lkmzzus1b095bkd1, bvy7d4r2ve9f5x1xyv0tx5cr9, a00q0qj479gzj5hymx4ix5lp0, 549guee46difwv85rq18p7f1l, 3bysj69bufnbqx70q6ufzat49, 4rfcpo4l9f8x1m0rlnwloefl6, 90moydtk6dv07bfaqki5s6ymt, 57xeumfhz5h30yn1168rgljah, bn1rwgy1yhd0ov3u4pu2lb6ga, 8fzbg2qdd8d00nwn1kinqr71m, 8czsihbd6817k4uzvwenqvxex, 8sg65mj881mnfd9wgtew01s5x, 757f9x11lzcug3d6sn39d85wp, 8qn1z72et0w6bqw9mstopb7px, 6i4i4rqqcvxa7rsysriqxlxat, 4nl5hapemrmmuh1r8afne8b85, 68o93orxpx4ehs4dsa57521g5",4040849739,194,bvy7d4r2ve9f5x1xyv0tx5cr9,4041049349,197,5337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509392461,2,32,1,0,0,co1i764h6b02husae71w6scs8,1,0,0,2023-02-18T18:01:44.562Z,2023-02-20T19:16:25Z,4041048601,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509392469,3,32,1,0,0,7kfx3xpj2c2wxinsyi16i9gaz,1,0,0,2023-02-18T18:01:44.562Z,2023-02-18T18:01:45Z,4041048643,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509392501,3,1,1,0,0,co1i764h6b02husae71w6scs8,1,50.1,50,2023-02-18T18:01:44.614Z,2023-02-21T11:05:35Z,4041048821,140,35.2,4041048827,213,3.4,4041048825,212,16.2,4041048829,279,S,4047421571,178,,4041048819,56,Back,4041048823,141,43.9,,,,82fjdh9q4378gd1g9l1bimrx1,Welinton Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509392541,4,1,1,0,1,co1i764h6b02husae71w6scs8,1,35,43.4,2023-02-18T18:01:46.481Z,2023-02-21T11:05:46Z,4041049103,140,22.8,4047421711,178,,4041049109,213,2.1,4041049107,212,23.9,4041049101,56,Back,4041049105,141,73.0,,,,,,,b7ri94n62dr73s1hb10br7lrd,Lucas Ventura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509392589,5,1,1,0,4,co1i764h6b02husae71w6scs8,1,21.5,72.3,2023-02-18T18:01:49.024Z,2023-02-21T11:05:55Z,4041049391,213,4.1,4041049389,212,18.9,4047421729,178,,4041049383,56,Back,4041049387,141,48.8,4041049385,140,11.9,,,,,,,cgtz4fa0mz9poi4ju8bjtbwiy,Filipe Relvas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509392667,6,1,1,0,6,co1i764h6b02husae71w6scs8,0,11.9,48.8,2023-02-18T18:01:50.668Z,2023-02-21T11:06:02Z,4041049875,56,Back,4041049877,140,47.4,4041049879,141,40.6,4041049883,213,6.1,4047422017,178,,4041049881,212,37.7,4041049885,1,,4041049873,157,,cpf5wp34pu80qzvcwakjhh905,K. Nakamura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509392749,4,4,1,0,9,7kfx3xpj2c2wxinsyi16i9gaz,1,53,59,2023-02-18T18:01:53.901Z,2023-02-21T11:06:07Z,4041050273,13,,4041050281,152,,4041050295,233,7,4041050283,286,,4041050279,56,Center,4041050275,294,,,,,,,,a00q0qj479gzj5hymx4ix5lp0,M. Mosquera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509392669,7,4,1,0,9,co1i764h6b02husae71w6scs8,0,47,41,2023-02-18T18:01:53.902Z,2023-02-21T11:06:07Z,4041049897,13,,4047422183,178,,4041049903,152,,4041049899,294,,4041049905,285,,4041049901,56,Back,4041050345,233,4,,,,awicgdcslcljo1mbmvochqlwq,Yago Cariello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
