id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,keyPass,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist,qualifier/21/id,qualifier/21/qualifierId
2507163233,1,34,16,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2023-02-12T17:08:52.896Z,2023-02-12T18:08:31Z,4029406225,197,17704,4029228481,59,"99, 23, 12, 8, 3, 5, 20, 16, 11, 9, 13, 4, 14, 17, 18, 19, 29, 46, 70, 87",4029228491,194,58i5y98ceb55anpucpru7skb9,4029228489,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4029228477,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4029228473,30,"d79vlrccz170hzdh35nhsf1ed, dowh6oc93ggduous7ligguqne, 19s3ei718jouszy30uxli8xd5, el6dn7kq3815p2zd4rppzzw7p, 58i5y98ceb55anpucpru7skb9, 37usxvspofewb3djlg67lp1hx, 4j6h9mgau5uaxlm589qlc6rjd, 5966ij9cde66bhi1g39kxia51, a6r2hqalh9ydoy2a8uv9rztux, 97vuoqg0x9nx56dmd9u5e12hh, 2j8v4lkqeg1bcqp77ezseo8vd, 9iqmeo87l56hr3gymmxgkxysq, xbk4zraauvq1cj1w5yz08kb9, 5m1fht9uevn186asz8awhxjah, aavcrjkupdm4kglaae4fiqzmd, f3zl8ymo5ttze20sffzk044q1, 1nd8l0ofw9x779c0ufwbbo4ph, cpmfjroqtibaahb1dr66pl2i1, cdir3jevzi4o8edgtfwu6jfca, 6mujhf0gz4dviowpil1bsyk4q",4029228493,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4029228485,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507164707,1,34,16,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2023-02-12T17:10:31.500Z,2023-02-12T17:50:37Z,4029235785,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4029235777,30,"342kh2ue733edf9q7s0a2edat, 3e8mxxfs5q7gt4lg2beqpkwyd, 6cx5c6bzp1hq6c1vui53mxzx0, 3fo37mb4cp6lb0e86hhiyvu8l, a9htjxrpgqlcv577x4kvlkh5h, cayu6id8xmj67n29s2x3bsbxm, 8jfjglichcg0py57hhri5v0fd, eee0bq4dkdn91l81e8cf1zxpm, 2m5jzeksbet8ltn3shk2exox6, 6x3qvqsp90kjsps3e4wx0oxqt, 83ekq1r2omnsazmp41pio8s89, 38339rg6eqprxc0w976gozjmc, 6hnzgiw8h1itz9l2j3sb6oeeh, a9ozu4hjaylfr4299ceryskid, cuc7gtr9q0465wxmzgq834ag9, c270jephiphzfpig96q3jyz11, 9qp4xdwqq8odu20tto0zztz4k, 1xxhkr7nex5mjc9hrxm100lih, 10k53pv13mw9hzllv70umgzbp, d6tc895jr5kkxotydz2jcjx1w",4029235787,194,a9htjxrpgqlcv577x4kvlkh5h,4029235783,130,17,4029383917,197,12815,4029235779,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4029235789,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4029235781,59,"1, 19, 18, 2, 4, 25, 15, 28, 79, 10, 17, 26, 3, 11, 12, 20, 32, 33, 47, 82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507198087,2,32,1,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2023-02-12T18:02:37.344Z,2023-02-15T00:31:03Z,4029416123,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507198083,2,32,1,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2023-02-12T18:02:37.344Z,2023-02-12T18:02:37Z,4029416097,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507198109,3,1,1,0,0,66bsnl0zjb7l5akwo00h0y5me,1,50.2,49.7,2023-02-12T18:02:37.405Z,2023-02-15T07:04:59Z,4029416229,56,Back,4029416243,279,S,4029416231,140,36.6,4029416239,212,14.6,4033273951,178,,4029416233,141,45.4,4029416241,213,3.3,,,,97vuoqg0x9nx56dmd9u5e12hh,M. Taremi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507198147,4,1,1,0,2,66bsnl0zjb7l5akwo00h0y5me,1,37.2,45.4,2023-02-12T18:02:39.719Z,2023-02-15T07:05:05Z,4029416475,212,44.7,4029416477,213,0.5,4029416473,141,77.1,4029416469,56,Center,4029416479,1,,4029416471,140,74.5,4029416465,155,,4033274035,178,,el6dn7kq3815p2zd4rppzzw7p,M. Uribe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507198153,5,44,1,0,5,66bsnl0zjb7l5akwo00h0y5me,1,68.8,74.8,2023-02-12T18:02:42.584Z,2023-02-15T08:46:28Z,4029416491,56,Center,4029416493,286,,4029416499,233,3,,,,,,,,,,,,,,,,5966ij9cde66bhi1g39kxia51,M. Grujić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507198129,3,44,1,0,5,7catg5lpivcmpf4xhggh6d8rk,0,31.2,25.2,2023-02-12T18:02:42.585Z,2023-02-15T07:05:09Z,4029416515,233,5,4029416365,285,,4029416363,56,Back,,,,,,,,,,,,,,,,cayu6id8xmj67n29s2x3bsbxm,Gonçalo Inácio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507198161,6,1,1,0,5,66bsnl0zjb7l5akwo00h0y5me,1,73,74.1,2023-02-12T18:02:42.640Z,2023-02-15T08:46:28Z,4029416523,56,Center,4029416527,141,63.8,4029416525,140,76.2,4033274113,388,,4029416521,3,,4029416529,212,7.8,4029416531,213,5.2,,,,5966ij9cde66bhi1g39kxia51,M. Grujić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507198165,7,1,1,0,8,66bsnl0zjb7l5akwo00h0y5me,0,75.6,62,2023-02-12T18:02:45.619Z,2023-02-15T07:05:19Z,4029416537,56,Center,4029416541,141,61.1,4029416543,212,6.2,4029416639,4,,4029416539,140,81.5,4029416545,213,6.2,4033274137,178,,,,,97vuoqg0x9nx56dmd9u5e12hh,M. Taremi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507198163,4,8,1,0,8,7catg5lpivcmpf4xhggh6d8rk,1,19,46.3,2023-02-12T18:02:46.097Z,2023-02-15T07:05:25Z,4032210677,383,,4033274185,178,,4029416535,56,Back,,,,,,,,,,,,,,,,a9htjxrpgqlcv577x4kvlkh5h,S. Coates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507198167,5,49,1,0,9,7catg5lpivcmpf4xhggh6d8rk,1,19,46.3,2023-02-12T18:02:46.824Z,2023-02-15T07:05:35Z,,,,,,,,,,,,,,,,,,,,,,,,,a9htjxrpgqlcv577x4kvlkh5h,S. Coates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507198183,6,1,1,0,9,7catg5lpivcmpf4xhggh6d8rk,1,19,46.3,2023-02-12T18:02:46.933Z,2023-02-15T07:05:38Z,4029416671,212,10.9,4029416667,140,19.3,4029416665,56,Back,4029416673,213,1.5,4033274339,178,,4029416669,141,62.3,,,,,,,a9htjxrpgqlcv577x4kvlkh5h,S. Coates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507198211,7,1,1,0,11,7catg5lpivcmpf4xhggh6d8rk,0,20.2,65.7,2023-02-12T18:02:49.016Z,2023-02-15T07:05:43Z,4029416849,1,,4033274405,178,,4029416841,140,72.3,4029416837,157,,4029416845,212,59.5,4029416839,56,Left,4029416843,141,100.0,4029416847,213,0.4,6cx5c6bzp1hq6c1vui53mxzx0,I. Fatawu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507198231,8,5,1,0,17,66bsnl0zjb7l5akwo00h0y5me,1,26,-0.4,2023-02-12T18:02:54.471Z,2023-02-15T07:05:45Z,4029416935,56,Back,4029416961,233,8,4029416937,347,,,,,,,,,,,,,,,,,el6dn7kq3815p2zd4rppzzw7p,M. Uribe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507198213,8,5,1,0,17,7catg5lpivcmpf4xhggh6d8rk,0,74,100.4,2023-02-12T18:02:54.471Z,2023-02-15T07:05:46Z,4029416971,233,8,4029416871,56,Left,4029416873,347,,,,,,,,,,,,,,,,,6cx5c6bzp1hq6c1vui53mxzx0,I. Fatawu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507198375,9,1,1,0,34,66bsnl0zjb7l5akwo00h0y5me,1,21.8,0,2023-02-12T18:03:11.378Z,2023-02-15T07:05:52Z,4029417815,213,0.5,4029417801,107,,4029417809,140,31.2,4029417813,212,11.2,4029418191,189,,4029417807,56,Back,4029417811,141,6.2,,,,dowh6oc93ggduous7ligguqne,João Mário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507724615,774,1,1,0,34,66bsnl0zjb7l5akwo00h0y5me,1,35.1,9.2,2023-02-12T18:03:12.126Z,2023-02-15T07:05:57Z,4032211001,213,3.7,4033274623,178,,4032210993,56,Back,4032210991,189,,4032210997,141,4.9,4032210995,140,30.3,4032210999,212,5.8,,,,5966ij9cde66bhi1g39kxia51,M. Grujić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2507724631,775,1,1,0,35,66bsnl0zjb7l5akwo00h0y5me,0,28.5,4.6,2023-02-12T18:03:12.895Z,2023-02-15T07:06:02Z,4032211115,189,,4032211101,212,14.6,4032211099,141,5.2,4032211103,213,0.0,4032211095,56,Back,4032211093,155,,4032211097,140,42.4,4033274691,178,,dowh6oc93ggduous7ligguqne,João Mário,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
