id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/12/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value,qualifier/18/value
2495221785,1,34,16,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2023-01-05T19:18:13.880Z,2023-01-05T20:18:47Z,3966586677,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3966586683,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3966586687,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3966606851,197,5027,3966586679,59,"12, 95, 3, 11, 4, 17, 49, 20, 9, 19, 10, 1, 13, 15, 16, 32, 37, 39, 44, 80",3966586681,130,8,3966586685,194,4h2rr9ltxtw6w2hgzm0tu5jo5,3966586675,30,"byk4cll4gdgp2n5ocxrb5j1t5, 4bsxzg78o3q9ot7bdngx9k5at, e7daok5mn6xq7q5sfi5r13105, 4h2rr9ltxtw6w2hgzm0tu5jo5, aw1gqkqpznn5ku7ca9hy2skix, 9yzlho51tjytlzkdb6y20ozc9, 2r6ma23qtyq2l18m21eksjp7u, 5k74ofoqel095frhszvdmxbhm, 35y61220qzlyedki00vfmioyx, 28029kae9ievarvyirn1cboix, c7vhfnn9bft0xk3lcx7komfze, 8lksmpg3qh7q3m54gwwrj7xlh, 3776gjrdiqfvch2wk5kde2w2x, 3xps5hhvsiyviq8wswnzt22ju, 5zbaigi2kpo930z50irfq11p1, fkx4v1ux771bqn2g9bn3340k, 17zcm8ikgfdl5o4c7o5yhulpm, 4flr4t07s463ioooy31ov8fs9, l8ewedihgtz1oz6ikm333mz8, d7k81mlt4vh9lex8fd10tigh5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495222107,1,34,16,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2023-01-05T19:21:29.420Z,2023-01-05T20:27:45Z,3966588569,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3966606111,197,13139,3966588577,194,5l9ilx0kwbny81lykqksoz9w5,3966588573,130,8,3966588575,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3966588567,30,"5nlzolv5bg03eiopba58rs251, 1wtikted5kmtz3bpu17enlvc9, c8s3kzk7jpdpp5ctzqkzh9vit, 8gkc9l566rjg7nifxwsq5vdud, 51rs6ozeux61yyjfk9ci86311, 2psarhoauswcdof4nb22sw7ah, 5kcytruttikppbpkeg9rhd4gl, 5r7q0eg6pmoq0safxa9tnm5l, e5xv1rmy69kwuxjxin653ojqh, 33qmom9yrc1ft1cte9qju1djp, 5l9ilx0kwbny81lykqksoz9w5, 8t404ou7dw8vprk9h7jjuqjt, 2apqk2zobhs8ypnaw0bzkch9m, c3pxiexbciif7uu845ivx5hhx, 43xutn1unln5o3gwx3cl4lo0l, csvbc0k1f54418nn8pjhg8ull, 4ocmdia4dhnz2jdxr3n8sf8r8, 1l93qv71yu7ohs9ida8cx2zqi, 5bo84b7398nyv87ztwd8wxh3p, cnriqwh17pqgz7p2gt74uar6c",3966588571,59,"1, 2, 6, 8, 15, 4, 45, 19, 9, 10, 21, 3, 7, 12, 23, 26, 71, 24, 88, 99",3966588579,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495227057,2,32,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2023-01-05T20:16:15.426Z,2023-01-05T20:16:15Z,3966608533,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495227061,2,32,1,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2023-01-05T20:16:15.426Z,2023-01-07T04:38:50Z,3966608549,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495227067,3,1,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,50,50,2023-01-05T20:16:15.431Z,2023-01-07T04:48:49Z,3966608569,56,Back,3966608571,140,41.3,3966608575,212,10.7,3967690263,178,,3966608579,279,S,3966608573,141,58.1,3966608577,213,2.6,,,,e5xv1rmy69kwuxjxin653ojqh,Abel Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495227069,4,1,1,0,1,26t6lvlpql4w5wu1ih73qpy36,1,41.3,58.1,2023-01-05T20:16:17.283Z,2023-01-07T04:48:54Z,3966608591,213,3.9,3966608587,141,44.4,3966608583,56,Back,3967690335,178,,3966608589,212,14.1,3966608585,140,31.2,,,,,,,8gkc9l566rjg7nifxwsq5vdud,Ali Musrati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495227079,5,1,1,0,3,26t6lvlpql4w5wu1ih73qpy36,1,31.2,44.4,2023-01-05T20:16:18.820Z,2023-01-07T04:48:58Z,3966608621,212,17.8,3966608617,140,29.2,3967690359,178,,3966608615,56,Back,3966608623,213,1.7,3966608619,141,70.4,,,,,,,51rs6ozeux61yyjfk9ci86311,Paulo Oliveira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495227083,6,1,1,0,9,26t6lvlpql4w5wu1ih73qpy36,1,30.7,77.7,2023-01-05T20:16:24.597Z,2023-01-07T04:49:00Z,3966608635,213,6.2,3966608631,141,77.2,3966608629,140,35.7,3966608627,56,Back,3967690371,178,,3966608633,212,5.3,,,,,,,2psarhoauswcdof4nb22sw7ah,S. Niakaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495227087,7,1,1,0,9,26t6lvlpql4w5wu1ih73qpy36,1,35.7,77.2,2023-01-05T20:16:25.325Z,2023-01-07T04:49:03Z,3966608651,213,3.3,3966608643,56,Back,3966608647,141,73.7,3967690395,178,,3966608645,140,24.8,3966608649,212,11.7,,,,,,,8gkc9l566rjg7nifxwsq5vdud,Ali Musrati,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2495227101,8,1,1,0,11,26t6lvlpql4w5wu1ih73qpy36,1,24.8,73.7,2023-01-05T20:16:27.268Z,2023-01-07T04:49:06Z,3967690415,178,,3966608727,213,4.1,3966608719,56,Back,3966608723,141,55.0,3966608721,140,15.5,3966608725,212,16.0,,,,,,,2psarhoauswcdof4nb22sw7ah,S. Niakaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
