id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/17/value
2498893731,1,34,16,0,0,co1i764h6b02husae71w6scs8,1,0,0,2023-01-20T18:12:01.626Z,2023-01-20T18:57:12Z,3985939461,59,"32, 18, 14, 24, 44, 22, 38, 27, 35, 20, 93, 5, 31, 3, 6, 17, 21, 30, 70, 99",3985939463,130,4,3985939459,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3985939457,30,"cpf5wp34pu80qzvcwakjhh905, 6gmfcfqd1o54zyepd9587nlqt, f29gq7ixyjd9m22yhmb7c7oq1, 52407m29h74ziyt19jty0od7t, 10va1tucy0kb83wllaudp7e95, cgtz4fa0mz9poi4ju8bjtbwiy, dvxwdpad8a1iatnwcpqvy3m5l, 3q1nhus52rnkt6nwvqmpb1ct0, 7apd6saozsmkhkm7ew06a5a6t, 1c0ymbcylpp4ty7n34inspffu, 82fjdh9q4378gd1g9l1bimrx1, agjhj0e3l9ofh1xchvyq2yt7u, debwdd7evo1d86v5hdpqnyw44, db6kkpr65v0zlrlx1cr5almcq, 9lwpckbeu2ymqlmq6288bdjvt, 5j9k3rz7a8z7zx91hxetr6v6y, 3vwbsaoy8f2vc4kkad4ipv3kl, 3vth7chxafg6828kg2xseimwa, 1zokl2zp7gtwlmj37kps6lnmx, awicgdcslcljo1mbmvochqlwq",3986002265,197,3749,3985939465,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3985939469,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3985939467,194,6gmfcfqd1o54zyepd9587nlqt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498893781,1,34,16,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2023-01-20T18:12:14.531Z,2023-01-20T19:11:12Z,3985939805,130,8,3985939809,194,8zt0zlypar7m1eqj4zu8ul695,3985939807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3985939811,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3985939799,30,"25n2vrjnz5qsm5pigyn3ps8vd, djb8j3hb7mnnghg9jmd15w0r9, ds66cc3zwxbyl5zfzag5422g9, 9l70xwbhc0xr57iifzyxzot7t, 8zt0zlypar7m1eqj4zu8ul695, 43mnaysq76cz587wxk8w3job9, c0pat4dqmsc4teand5ampsdlh, 1doj252anzqdzn5fknqr5i31l, bzt6oj1d4d2x3qez55hlvzpwp, 3w3z6g8x70ii3pltaxyxbycwl, dh3ddfghtgeb2iu2608y96i5m, avrafbh1kctz4io6h1fthedih, 4effb0zguv2lqtv2vl9lqb696, 1nqpxso2a9qw8w8g6u4sb60ut, 1swp008ttj3pd57fz5uw8mctm, eswp4t4r8ktirsnkodz26gyui, 79ir6aubulzanvonfbgngk5hx, bdgqvvkpadpthmlm40wa6dcyx, 2jl9lfqd2q74iwamx7g0xva50, 3mp7wghcalu9g3wxbqb9eqga",3985939801,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3985939803,59,"12, 28, 6, 2, 13, 44, 8, 23, 15, 10, 11, 25, 9, 14, 17, 18, 20, 21, 64, 92",3986003445,197,390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498906095,2,32,1,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2023-01-20T19:00:51.819Z,2023-02-07T20:22:50Z,3986007107,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498906103,2,32,1,0,0,co1i764h6b02husae71w6scs8,1,0,0,2023-01-20T19:00:51.819Z,2023-01-20T19:00:53Z,3986007159,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498906145,3,1,1,0,0,dich5v7sw466smbqap0d9rbyj,1,50,50,2023-01-20T19:00:51.840Z,2023-02-08T00:57:21Z,3986007413,213,3.1,3986007411,212,22.7,4019475465,178,,3986007407,140,28.4,3986007409,141,50.1,3986007405,56,Back,3986007415,279,S,,,,9l70xwbhc0xr57iifzyxzot7t,M. Sylla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498906157,4,1,1,0,3,dich5v7sw466smbqap0d9rbyj,0,28.4,43.1,2023-01-20T19:00:55.120Z,2023-02-08T00:57:26Z,3986007475,56,Right,3986007479,141,7.7,3986007477,140,65.9,3986007483,213,5.7,3986007481,212,46.2,3986007485,1,,3986007473,157,,4019475473,178,,43mnaysq76cz587wxk8w3job9,N. Galović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498906167,3,12,1,0,6,co1i764h6b02husae71w6scs8,1,38.3,89.7,2023-01-20T19:00:58.661Z,2023-02-08T00:57:35Z,3986731643,167,,3986731641,15,,3986007523,141,100.0,4019475499,388,,3986007517,56,Back,3986007527,213,0.8,3986007519,140,45.0,3986007525,212,10.6,3q1nhus52rnkt6nwvqmpb1ct0,Klismahn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498906171,4,5,1,0,8,co1i764h6b02husae71w6scs8,0,45.2,101.4,2023-01-20T19:01:00.065Z,2023-02-08T00:57:40Z,3986007541,347,,3986007537,56,Back,3986007683,233,5,,,,,,,,,,,,,,,,3q1nhus52rnkt6nwvqmpb1ct0,Klismahn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498906193,5,5,1,0,8,dich5v7sw466smbqap0d9rbyj,1,54.8,-1.4,2023-01-20T19:01:00.065Z,2023-02-08T00:57:39Z,3986007657,233,4,3986007641,56,Right,3986007643,347,,,,,,,,,,,,,,,,,43mnaysq76cz587wxk8w3job9,N. Galović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498906275,6,1,1,0,14,dich5v7sw466smbqap0d9rbyj,1,54.7,0,2023-01-20T19:01:06.540Z,2023-02-08T00:57:43Z,3986008033,140,69.4,3986008031,56,Right,3986008029,107,,3986008037,212,15.8,3986008035,141,3.8,3986008039,213,0.2,,,,,,,djb8j3hb7mnnghg9jmd15w0r9,Tiago Esgaio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
