id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,qualifier/14/value,assist,qualifier/12/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/22/id,qualifier/22/qualifierId,qualifier/22/value,qualifier/17/value,qualifier/19/value,qualifier/20/value
2502939319,1,34,16,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2023-02-01T20:31:56.291Z,2023-02-01T21:11:26Z,4007128537,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4007128527,30,"5nlzolv5bg03eiopba58rs251, 1wtikted5kmtz3bpu17enlvc9, c8s3kzk7jpdpp5ctzqkzh9vit, 2psarhoauswcdof4nb22sw7ah, 51rs6ozeux61yyjfk9ci86311, 8t404ou7dw8vprk9h7jjuqjt, 5r7q0eg6pmoq0safxa9tnm5l, 8gkc9l566rjg7nifxwsq5vdud, 43xutn1unln5o3gwx3cl4lo0l, 5kcytruttikppbpkeg9rhd4gl, e5xv1rmy69kwuxjxin653ojqh, 88hqy3ztjmtahcv0sz6rduv6y, 2apqk2zobhs8ypnaw0bzkch9m, 33qmom9yrc1ft1cte9qju1djp, c3pxiexbciif7uu845ivx5hhx, 23d0t7gqlra3jkskn18bh752i, dstxo7i9rklcwq64pik7jdgyc, elgb3y6p91z049awc7u549785, csvbc0k1f54418nn8pjhg8ull, 5bo84b7398nyv87ztwd8wxh3p",4007128533,59,"1, 2, 6, 4, 15, 3, 19, 8, 23, 45, 9, 5, 7, 10, 12, 14, 17, 22, 26, 88",4007128535,130,17,4007128539,194,5nlzolv5bg03eiopba58rs251,4007128529,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4007128541,197,372,4007128543,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502940067,1,34,16,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2023-02-01T20:33:02.422Z,2023-02-01T20:33:02Z,4007132635,194,a9htjxrpgqlcv577x4kvlkh5h,4007132625,30,"342kh2ue733edf9q7s0a2edat, 10k53pv13mw9hzllv70umgzbp, a9ozu4hjaylfr4299ceryskid, cayu6id8xmj67n29s2x3bsbxm, a9htjxrpgqlcv577x4kvlkh5h, 6hnzgiw8h1itz9l2j3sb6oeeh, 8jfjglichcg0py57hhri5v0fd, d9i8y5vlymc2yggwxrax8wcbu, 2m5jzeksbet8ltn3shk2exox6, 6x3qvqsp90kjsps3e4wx0oxqt, eee0bq4dkdn91l81e8cf1zxpm, 3fo37mb4cp6lb0e86hhiyvu8l, 1ovfx9uqyflqar5cu0uishsyx, cuc7gtr9q0465wxmzgq834ag9, 1kn0x4n8grpc1cx46ctnmajth, a7twqgp3fp43y1aoybfe2i8d1, 83ekq1r2omnsazmp41pio8s89, 6cx5c6bzp1hq6c1vui53mxzx0, 9qp4xdwqq8odu20tto0zztz4k, 1xxhkr7nex5mjc9hrxm100lih",4007132629,59,"1, 47, 11, 25, 4, 3, 15, 5, 79, 10, 28, 2, 6, 12, 13, 16, 17, 18, 32, 33",4007132639,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4007132631,130,17,4007132627,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4007132637,197,12815,4007132633,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502961625,2,32,1,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2023-02-01T21:16:58.762Z,2023-02-03T20:42:36Z,4007246575,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502961635,2,32,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2023-02-01T21:16:58.762Z,2023-02-01T21:17:01Z,4007246631,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502961651,3,1,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,50.6,49.7,2023-02-01T21:16:58.831Z,2023-02-04T12:47:57Z,4010769463,178,,4007246713,213,2.7,4007246709,141,57.5,4007246705,56,Back,4007246711,212,13.6,4007246707,140,38.7,4007246715,279,S,,,,43xutn1unln5o3gwx3cl4lo0l,S. Banza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502961683,4,1,1,0,1,26t6lvlpql4w5wu1ih73qpy36,1,40.4,56.4,2023-02-01T21:17:00.756Z,2023-02-04T12:48:01Z,4007246907,141,32.6,4007246903,56,Back,4007246911,213,4.0,4007246905,140,28.2,4007246909,212,20.6,4010770841,178,,,,,,,,5r7q0eg6pmoq0safxa9tnm5l,U. Račić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502961733,5,1,1,0,4,26t6lvlpql4w5wu1ih73qpy36,1,28.2,30.3,2023-02-01T21:17:03.617Z,2023-02-04T12:48:03Z,4007247173,141,18.2,4007247167,155,,4007247177,213,6.1,4007247171,140,68.1,4010771021,178,,4007247179,1,,4007247169,56,Right,4007247175,212,42.7,8t404ou7dw8vprk9h7jjuqjt,Vítor Tormena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502961737,6,44,1,0,8,26t6lvlpql4w5wu1ih73qpy36,1,69.1,22.3,2023-02-01T21:17:07.041Z,2023-02-04T15:08:21Z,4007247221,233,3,4007247201,286,,4007247199,56,Center,,,,,,,,,,,,,,,,43xutn1unln5o3gwx3cl4lo0l,S. Banza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502961741,3,44,1,0,8,7catg5lpivcmpf4xhggh6d8rk,0,30.9,77.7,2023-02-01T21:17:07.042Z,2023-02-04T12:48:08Z,4007247259,233,6,4007247205,56,Back,4007247207,285,,,,,,,,,,,,,,,,,cayu6id8xmj67n29s2x3bsbxm,Gonçalo Inácio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502961757,7,1,1,0,8,26t6lvlpql4w5wu1ih73qpy36,1,73.4,19,2023-02-01T21:17:07.157Z,2023-02-04T15:08:21Z,4007247289,141,12.8,4010772119,388,,4007247297,213,3.9,4007247285,140,69.1,4007247705,156,,4007247293,212,6.2,4007247277,3,,4007247281,56,Right,43xutn1unln5o3gwx3cl4lo0l,S. Banza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
