id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/11/value,qualifier/15/value,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2458936389,1,34,16,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2022-09-11T18:39:49.055Z,2022-09-11T19:33:06Z,3774579517,194,5l9ilx0kwbny81lykqksoz9w5,3774579519,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3774751693,197,372,3774579515,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3774579509,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3774579513,130,2,3774579511,59,"1, 70, 6, 8, 3, 24, 45, 10, 99, 23, 21, 7, 9, 12, 14, 15, 18, 19, 26, 88",3774579507,30,"5nlzolv5bg03eiopba58rs251, dq41kziilg4jki9erxel9d3ze, c8s3kzk7jpdpp5ctzqkzh9vit, 8gkc9l566rjg7nifxwsq5vdud, 8t404ou7dw8vprk9h7jjuqjt, 1l93qv71yu7ohs9ida8cx2zqi, 5kcytruttikppbpkeg9rhd4gl, 33qmom9yrc1ft1cte9qju1djp, cnriqwh17pqgz7p2gt74uar6c, 43xutn1unln5o3gwx3cl4lo0l, 5l9ilx0kwbny81lykqksoz9w5, 2apqk2zobhs8ypnaw0bzkch9m, e5xv1rmy69kwuxjxin653ojqh, c3pxiexbciif7uu845ivx5hhx, 23d0t7gqlra3jkskn18bh752i, 51rs6ozeux61yyjfk9ci86311, 2irms3moqosywa14re7n2awh5, 5r7q0eg6pmoq0safxa9tnm5l, csvbc0k1f54418nn8pjhg8ull, 5bo84b7398nyv87ztwd8wxh3p",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458936431,1,34,16,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2022-09-11T18:39:52.099Z,2022-09-11T19:27:16Z,3774579741,130,12,3774579743,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3774579745,194,e6ztipndwfp33c6j7yebsyx91,3774579737,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3774579739,59,"18, 20, 24, 3, 33, 42, 14, 6, 77, 19, 10, 15, 1, 4, 8, 9, 13, 17, 22, 93",3774752405,197,377,3774579735,30,"ckog922pr9vqy2ry4m7o5ag2d, degqtleco9n5tlt0yz3q5t9ii, dy434rgboexxvq6tgr8gwef9x, 36bi849x9anyfayunuudgcdbe, 75znincjirp1z8bcw9nhztxat, 803s6ja43m4i9jhl97jd37s2x, 1u12u8adgqxh2aaobf9xdo91x, e6ztipndwfp33c6j7yebsyx91, djqbki8jap3rp8l0izzly9tzo, 433k61rvy0ay7lcsyxd918r8p, 4agmh5fbf826bjrxtg3mw5at, c38u6t2mr5f441tcuxlwpulpm, 5881z0950eh6003uukdwkuql0, 8uxdtdynfnmlx0ro5iounze1, 9sfjkb99h1b1obdmedrecag9h, 55r9zkckjjq4txriw3jhguwnp, cvqqwbdd3dttekkcooh7i80h6, 1g46yyjzlu0vqpk3w51scv1ed, 79mo2l821d5zq6dyrg9qkpf4l, 2rw2a005v9ehuopm1hf87uvah",3774579747,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968215,2,32,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2022-09-11T19:30:11.254Z,2022-09-13T05:46:05Z,3774763951,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968187,2,32,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2022-09-11T19:30:11.254Z,2022-09-11T19:30:11Z,3774763789,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968311,3,1,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,50,50,2022-09-11T19:30:11.314Z,2022-09-13T11:51:37Z,3774764423,213,3.5,3774764421,212,20.4,3774764415,56,Back,3774764427,279,S,3777367585,178,,3774764419,141,38.2,3774764417,140,32.1,,,,433k61rvy0ay7lcsyxd918r8p,A. Yakubu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968337,4,1,1,0,2,cgvbluoerzbzcr7aaxge3wkcv,1,32,38,2022-09-11T19:30:13.277Z,2022-09-13T11:51:49Z,3774764559,140,14.1,3777367871,178,,3774764565,213,3.9,3774764561,141,13.4,3774764563,212,25.2,3774764553,56,Back,,,,,,,4agmh5fbf826bjrxtg3mw5at,A. Oudrhiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968383,5,1,1,0,4,cgvbluoerzbzcr7aaxge3wkcv,1,13.8,13.1,2022-09-11T19:30:15.757Z,2022-09-13T11:52:00Z,3774764839,56,Back,3774764845,141,45.2,3774764843,140,5.2,3774764849,213,2.0,3777368131,178,,3774764847,212,23.6,,,,,,,803s6ja43m4i9jhl97jd37s2x,R. Pantalon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968423,6,1,1,0,10,cgvbluoerzbzcr7aaxge3wkcv,1,5.2,44.8,2022-09-11T19:30:21.300Z,2022-09-13T11:52:20Z,3774765047,1,,3774765035,155,,3774765039,140,27.4,3777368611,178,,3774765041,141,5.9,3774765043,212,35.3,3774765045,213,5.4,3774765037,56,Back,ckog922pr9vqy2ry4m7o5ag2d,Jhonatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968459,7,1,1,0,13,cgvbluoerzbzcr7aaxge3wkcv,1,27.7,6.1,2022-09-11T19:30:24.875Z,2022-09-13T11:52:26Z,3777368711,178,,3774765225,141,12.0,3774765227,212,12.4,3774765223,140,16.5,3774765221,56,Back,3774765229,213,2.8,,,,,,,degqtleco9n5tlt0yz3q5t9ii,Costinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458968511,8,1,1,0,14,cgvbluoerzbzcr7aaxge3wkcv,0,16.6,11.6,2022-09-11T19:30:25.856Z,2022-09-13T11:52:29Z,3774765489,141,5.5,3774765493,212,28.8,3774765487,140,43.7,3777368821,178,,3774765483,155,,3774765497,213,6.1,3774765485,56,Back,,,,803s6ja43m4i9jhl97jd37s2x,R. Pantalon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
