id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2529005729,1,34,16,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2023-04-05T18:15:04.618Z,2023-04-05T18:17:02Z,4165671395,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4165671387,59,"42, 15, 19, 8, 72, 26, 77, 21, 9, 10, 11, 2, 7, 12, 13, 17, 20, 25, 55, 59",4165671391,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4165671389,130,8,4165671385,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4165674587,197,388,4165671393,194,1ldbn0jnfzcvj7edwlq1z4q8l,4165671383,30,"664x98r3mbynnh19u1cx984q, 4aubucuhe6ic3osisrw73xe51, asoisrxtnm0zynx35ueum4v6d, 6nrvjozwk5or2v7dxkqbf9j9x, as0t8xi6k6nl4l06g23u3jcru, 1ldbn0jnfzcvj7edwlq1z4q8l, ebaganzllbxfacvobgmsu1045, c01muomxuk015zrf9n21ztq7d, 1zf9egrh7cjofd7td62oc5tk9, rzxtat0t3okt8tikf5mvdxm2, c3byjg1gw75b6wz0wz0bjwij9, 5drwrn9zmqeyo7h5zhy28mb8q, 1f57m5jalwzn2xwr3xqtjiy8l, 2983qoliizrxvsi9sb9c5wwoa, 4cbaoo2irqtme9goxuz6s3ey2, 5awvo9xetmgwxmqfisawqz90q, 8qxoj7nyhu2prjl3bjfqi2ui1, 3ipb4zd3vz7dpnkyeiw22tal1, 10jwipbmvqza53ja0lwof9be1, 7a78pp4si2drs4st7dqfbhdlg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529006331,1,34,16,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2023-04-05T18:16:45.308Z,2023-04-05T18:17:09Z,4165673963,59,"1, 47, 2, 25, 4, 3, 15, 5, 79, 10, 28, 6, 11, 12, 13, 16, 17, 26, 32, 33",4165674825,197,12815,4165673959,30,"342kh2ue733edf9q7s0a2edat, 10k53pv13mw9hzllv70umgzbp, 3fo37mb4cp6lb0e86hhiyvu8l, cayu6id8xmj67n29s2x3bsbxm, a9htjxrpgqlcv577x4kvlkh5h, 6hnzgiw8h1itz9l2j3sb6oeeh, 8jfjglichcg0py57hhri5v0fd, d9i8y5vlymc2yggwxrax8wcbu, 2m5jzeksbet8ltn3shk2exox6, 6x3qvqsp90kjsps3e4wx0oxqt, eee0bq4dkdn91l81e8cf1zxpm, 1ovfx9uqyflqar5cu0uishsyx, a9ozu4hjaylfr4299ceryskid, cuc7gtr9q0465wxmzgq834ag9, 1kn0x4n8grpc1cx46ctnmajth, a7twqgp3fp43y1aoybfe2i8d1, 83ekq1r2omnsazmp41pio8s89, 38339rg6eqprxc0w976gozjmc, 9qp4xdwqq8odu20tto0zztz4k, 1xxhkr7nex5mjc9hrxm100lih",4165673971,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4165673967,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4165673965,130,13,4165673969,194,a9htjxrpgqlcv577x4kvlkh5h,4165673961,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529030695,2,32,1,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2023-04-05T19:16:01.851Z,2023-04-05T19:16:04Z,4165804555,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529030691,2,32,1,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2023-04-05T19:16:01.851Z,2023-04-07T04:34:34Z,4165804537,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529030727,3,1,1,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,50,50,2023-04-05T19:16:01.902Z,2023-04-07T09:11:02Z,4168802795,178,,4165804757,279,S,4165804753,212,16.8,4165804749,140,35.2,4165804751,141,59.4,4165804755,213,2.8,4165804747,56,Back,,,,1zf9egrh7cjofd7td62oc5tk9,Fran Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529030757,4,1,1,0,2,bwt8yfk8rkcwiwyr0mopd7wqd,1,35.3,62.7,2023-04-05T19:16:03.970Z,2023-04-07T09:11:08Z,4168803615,178,,4165804973,212,21.4,4165804969,140,39.9,4165804975,213,1.3,4165804971,141,93.3,4165804967,56,Back,,,,,,,6nrvjozwk5or2v7dxkqbf9j9x,G. Aburjania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529030765,5,1,1,0,5,bwt8yfk8rkcwiwyr0mopd7wqd,1,40.6,91.1,2023-04-05T19:16:06.981Z,2023-04-07T09:11:14Z,4165805023,141,73.2,4165805019,140,42.8,4165805027,213,4.9,4165805017,56,Back,4168803797,178,,4165805025,212,12.4,,,,,,,asoisrxtnm0zynx35ueum4v6d,Adrián Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529030773,6,1,1,0,5,bwt8yfk8rkcwiwyr0mopd7wqd,0,42.8,73.2,2023-04-05T19:16:07.683Z,2023-04-07T09:11:19Z,4165805077,212,3.0,4165805073,140,45.6,4165805071,56,Back,4165805079,213,6.0,4165805075,141,72.1,4168803959,178,,,,,,,,6nrvjozwk5or2v7dxkqbf9j9x,G. Aburjania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529030775,3,61,1,0,6,7catg5lpivcmpf4xhggh6d8rk,1,60.3,22.7,2023-04-05T19:16:07.883Z,2023-04-07T09:11:26Z,4168804153,178,,4168804151,15,,4165805095,56,Center,,,,,,,,,,,,,,,,8jfjglichcg0py57hhri5v0fd,M. Ugarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529030785,4,5,1,0,7,7catg5lpivcmpf4xhggh6d8rk,0,60.6,-1.6,2023-04-05T19:16:09.711Z,2023-04-07T09:11:38Z,4165805703,233,7,4165805157,347,,4165805155,56,Right,,,,,,,,,,,,,,,,8jfjglichcg0py57hhri5v0fd,M. Ugarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529030865,7,5,1,0,7,bwt8yfk8rkcwiwyr0mopd7wqd,1,39.4,101.6,2023-04-05T19:16:09.711Z,2023-04-07T09:11:38Z,4165805673,347,,4165805671,56,Back,4165805699,233,4,,,,,,,,,,,,,,,,6nrvjozwk5or2v7dxkqbf9j9x,G. Aburjania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2529030897,8,1,1,0,18,bwt8yfk8rkcwiwyr0mopd7wqd,1,40.1,100,2023-04-05T19:16:20.134Z,2023-04-07T09:11:42Z,4165805815,140,21.5,4165805823,1,,4165805819,212,23.2,4165805811,107,,4165805817,141,82.9,4165805813,56,Back,4165805821,213,3.7,,,,asoisrxtnm0zynx35ueum4v6d,Adrián Marín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
