id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2466478841,1,34,16,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2022-10-02T13:40:21.287Z,2022-10-02T14:35:55Z,3814614609,130,4,3814614611,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814614613,194,4bsxzg78o3q9ot7bdngx9k5at,3814848101,197,13168,3814614605,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3814614607,59,"99, 95, 43, 35, 4, 17, 80, 32, 89, 49, 10, 1, 8, 9, 15, 20, 21, 22, 37, 39",3814614615,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814614603,30,"90v8e01hdffgqom4pwhjl0mvp, 4bsxzg78o3q9ot7bdngx9k5at, 7tih9jkxsbmeycu610gshs0h6, 649anpduq5pwrqbek73wr8n6y, aw1gqkqpznn5ku7ca9hy2skix, 9yzlho51tjytlzkdb6y20ozc9, d7k81mlt4vh9lex8fd10tigh5, fkx4v1ux771bqn2g9bn3340k, ytgqjgx6su1i7xjwdae6wiz8, 2r6ma23qtyq2l18m21eksjp7u, c7vhfnn9bft0xk3lcx7komfze, 8lksmpg3qh7q3m54gwwrj7xlh, 61g2iu3hmixel62zp2yp29tqt, 35y61220qzlyedki00vfmioyx, 3xps5hhvsiyviq8wswnzt22ju, 5k74ofoqel095frhszvdmxbhm, caczqvr2l880frsd32nbjorxm, es75u7djersp0p9nefh0wx756, 17zcm8ikgfdl5o4c7o5yhulpm, 4flr4t07s463ioooy31ov8fs9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466479067,1,34,16,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2022-10-02T13:40:34.323Z,2022-10-02T14:51:18Z,3814615841,194,75znincjirp1z8bcw9nhztxat,3814615837,130,12,3814615831,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3814615843,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3814986431,197,377,3814615835,59,"18, 20, 24, 4, 33, 23, 15, 21, 22, 19, 30, 1, 3, 8, 9, 10, 13, 17, 77, 93",3814615827,30,"ckog922pr9vqy2ry4m7o5ag2d, degqtleco9n5tlt0yz3q5t9ii, dy434rgboexxvq6tgr8gwef9x, 8uxdtdynfnmlx0ro5iounze1, 75znincjirp1z8bcw9nhztxat, 110maz3wmyhfk670un6ieloet, c38u6t2mr5f441tcuxlwpulpm, 9kvoxdbnb5kt2dzy7kr0s7v11, 79mo2l821d5zq6dyrg9qkpf4l, 433k61rvy0ay7lcsyxd918r8p, 912y0yoa524suow0wvpbtwq1h, 5881z0950eh6003uukdwkuql0, 36bi849x9anyfayunuudgcdbe, 9sfjkb99h1b1obdmedrecag9h, 55r9zkckjjq4txriw3jhguwnp, 4agmh5fbf826bjrxtg3mw5at, cvqqwbdd3dttekkcooh7i80h6, 1g46yyjzlu0vqpk3w51scv1ed, djqbki8jap3rp8l0izzly9tzo, 2rw2a005v9ehuopm1hf87uvah",3814615839,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466527819,2,32,1,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2022-10-02T14:33:04.887Z,2022-10-02T14:33:05Z,3814881193,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466527855,2,32,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2022-10-02T14:33:04.887Z,2022-10-05T11:08:43Z,3814881377,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466527993,3,1,1,0,0,cmbqc74mshg77ra7mywec2a6b,1,49.8,50.3,2022-10-02T14:33:04.996Z,2022-10-05T17:27:02Z,3814882081,213,3.7,3814882079,212,7.0,3814882075,140,44.3,3814882083,279,S,3820756093,178,,3814882077,141,44.6,3814882073,56,Back,,,,c7vhfnn9bft0xk3lcx7komfze,Ricardinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466528003,4,1,1,0,2,cmbqc74mshg77ra7mywec2a6b,0,44.4,47.2,2022-10-02T14:33:07.332Z,2022-10-05T17:27:08Z,3814882139,140,89.7,3814882145,213,0.4,3820756207,178,,3814882135,155,,3814882143,212,50.7,3814882137,56,Center,3814882147,1,,3814882141,141,73.0,649anpduq5pwrqbek73wr8n6y,Pedro Bicalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466527963,3,52,1,0,6,cgvbluoerzbzcr7aaxge3wkcv,1,14,26.9,2022-10-02T14:33:11.589Z,2022-10-05T17:27:13Z,3820756295,178,,3817471263,377,,,,,,,,,,,,,,,,,,,,ckog922pr9vqy2ry4m7o5ag2d,Jhonatan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466528057,4,1,1,0,10,cgvbluoerzbzcr7aaxge3wkcv,0,12.7,36.5,2022-10-02T14:33:14.979Z,2022-10-05T17:27:16Z,3814882353,123,,3814882389,287,,3814882357,56,Back,3814882365,213,1.1,3820756385,178,,3814882361,141,85.1,3814882367,1,,3814882359,140,27.3,ckog922pr9vqy2ry4m7o5ag2d,Jhonatan,3814882363,212,36.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466528071,5,8,1,0,11,cmbqc74mshg77ra7mywec2a6b,1,73.2,18.2,2022-10-02T14:33:16.536Z,2022-10-05T17:27:26Z,3817471867,383,,3814882421,56,Right,3820756581,178,,,,,,,,,,,,,,,,,2r6ma23qtyq2l18m21eksjp7u,Gabriel Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2466528159,5,45,1,0,13,cgvbluoerzbzcr7aaxge3wkcv,0,23.9,93.8,2022-10-02T14:33:18.839Z,2022-10-05T17:27:34Z,3814882783,56,Back,3814882847,233,7,3814882785,285,,,,,,,,,,,,,,,,,dy434rgboexxvq6tgr8gwef9x,Pedro Amaral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
