id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,assist,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,keyPass,qualifier/9/value,qualifier/13/value,qualifier/14/value,qualifier/11/value,qualifier/15/value,qualifier/17/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2513063071,1,34,16,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2023-02-26T19:44:05.268Z,2023-02-26T20:39:48Z,4060424485,59,"99, 23, 22, 46, 3, 5, 11, 8, 19, 25, 9, 2, 12, 14, 16, 17, 20, 29, 70, 87",4060424491,194,58i5y98ceb55anpucpru7skb9,4060424481,30,"d79vlrccz170hzdh35nhsf1ed, dowh6oc93ggduous7ligguqne, av5ng2yhu8q1lqacekmxci0ut, cpmfjroqtibaahb1dr66pl2i1, 58i5y98ceb55anpucpru7skb9, 37usxvspofewb3djlg67lp1hx, a6r2hqalh9ydoy2a8uv9rztux, el6dn7kq3815p2zd4rppzzw7p, f3zl8ymo5ttze20sffzk044q1, 8y0e1y90ih393h7zv7srfot79, 97vuoqg0x9nx56dmd9u5e12hh, 3enoici51osego5k1w41fuaqd, 19s3ei718jouszy30uxli8xd5, xbk4zraauvq1cj1w5yz08kb9, 5966ij9cde66bhi1g39kxia51, 5m1fht9uevn186asz8awhxjah, 4j6h9mgau5uaxlm589qlc6rjd, 1nd8l0ofw9x779c0ufwbbo4ph, cdir3jevzi4o8edgtfwu6jfca, 6mujhf0gz4dviowpil1bsyk4q",4060424495,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4060424487,130,8,4060424489,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4060424483,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4060424493,197,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513063919,1,34,16,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2023-02-26T19:45:51.113Z,2023-02-26T20:40:04Z,4060456867,194,1ldbn0jnfzcvj7edwlq1z4q8l,4060429037,130,4,4060429039,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4060429031,30,"664x98r3mbynnh19u1cx984q, 5drwrn9zmqeyo7h5zhy28mb8q, asoisrxtnm0zynx35ueum4v6d, 6nrvjozwk5or2v7dxkqbf9j9x, as0t8xi6k6nl4l06g23u3jcru, 1ldbn0jnfzcvj7edwlq1z4q8l, rzxtat0t3okt8tikf5mvdxm2, 3ipb4zd3vz7dpnkyeiw22tal1, 1zf9egrh7cjofd7td62oc5tk9, ebaganzllbxfacvobgmsu1045, 8qxoj7nyhu2prjl3bjfqi2ui1, c3byjg1gw75b6wz0wz0bjwij9, cdrgzx1ujljsitv7hl0je3alm, 8jncnpkifnmg84s5qysuk4y96, b9nh1xzeksagrookgnfjzvvxm, 1f57m5jalwzn2xwr3xqtjiy8l, 2983qoliizrxvsi9sb9c5wwoa, 4cbaoo2irqtme9goxuz6s3ey2, 94sjuyq5uwlug5td0zrrrnyms, 5awvo9xetmgwxmqfisawqz90q",4060429033,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4060429035,59,"42, 2, 19, 8, 72, 26, 10, 25, 9, 77, 20, 11, 14, 4, 6, 7, 12, 13, 16, 17",4060542241,197,388,4060429041,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087325,2,32,1,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2023-02-26T20:33:10.076Z,2023-02-26T20:33:10Z,4060567545,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087329,2,32,1,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2023-02-26T20:33:10.076Z,2023-02-28T23:24:04Z,4060567557,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087375,3,1,1,0,0,66bsnl0zjb7l5akwo00h0y5me,1,49.9,49.9,2023-02-26T20:33:10.086Z,2023-03-01T04:33:52Z,4060567865,212,13.2,4060567859,140,37.3,4060567873,279,S,4064565865,178,,4060567853,56,Back,4060567863,141,49.7,4060567871,213,3.2,,,,8y0e1y90ih393h7zv7srfot79,Otávio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087397,4,1,1,0,2,66bsnl0zjb7l5akwo00h0y5me,1,37.3,49.7,2023-02-26T20:33:12.535Z,2023-03-01T04:33:56Z,4064565879,178,,4060567975,141,92.5,4060567979,213,0.7,4060567971,56,Left,4060567977,212,44.6,4060567981,1,,4060567973,140,69.5,4060567969,155,,cpmfjroqtibaahb1dr66pl2i1,S. Eustáquio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087405,5,44,1,0,5,66bsnl0zjb7l5akwo00h0y5me,1,69,89.4,2023-02-26T20:33:15.325Z,2023-03-01T05:28:37Z,4060568005,286,,4060568029,233,3,4060568003,56,Left,,,,,,,,,,,,,,,,58i5y98ceb55anpucpru7skb9,Pepe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087387,3,44,1,0,5,bwt8yfk8rkcwiwyr0mopd7wqd,0,31,10.6,2023-02-26T20:33:15.326Z,2023-03-01T04:34:01Z,4060567929,285,,4060567927,56,Back,4060568083,233,5,,,,,,,,,,,,,,,,5drwrn9zmqeyo7h5zhy28mb8q,Zé Carlos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513087429,6,1,1,0,5,66bsnl0zjb7l5akwo00h0y5me,1,69.5,92.5,2023-02-26T20:33:15.367Z,2023-03-01T05:28:37Z,4060568175,213,5.4,4060568167,56,Center,4060568169,140,77.7,4060568165,3,,4060568173,212,14.1,4064565907,388,,4060568171,141,76.1,,,,58i5y98ceb55anpucpru7skb9,Pepe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2513112447,431,1,1,0,7,66bsnl0zjb7l5akwo00h0y5me,1,76.7,89,2023-02-26T20:33:17.201Z,2023-03-01T04:34:08Z,4064565921,178,,4060704765,141,79.4,4060704769,213,4.8,4060704767,212,6.5,4060704761,56,Left,4060704763,140,77.2,,,,,,,97vuoqg0x9nx56dmd9u5e12hh,M. Taremi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
