id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/15/value,qualifier/17/value
2510124033,1,34,16,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2023-02-19T19:42:57.687Z,2023-02-19T20:34:02Z,4044910361,59,"33, 42, 6, 19, 13, 15, 8, 80, 99, 17, 24, 1, 3, 4, 5, 10, 11, 14, 16, 27",4044910369,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044910357,30,"4k2wic25asdlmuqr17e3s6nkl, 28lucwbes9q95s1j4mgy2s50q, 6uubxxvwp558g19wxmprfqtw5, dqpkkgodtwn11fgpq2c3tlqz9, 6wjwijfj7i2vvlsxzyzfb2cwl, d92r3s9hlaq3k56b503ovjfmd, 64upo0p7ealjcpfkldjiqlvit, 5vdaexx0jnv7shichfmowutt6, edk9jemtelz51uoob4quyd4kq, 3sxd2j3a9d2bukfeu5y9824tl, 2htuct5gfuihhhvx9trpkmj56, 39a3ez9nwq3q2gysqilq9d9ii, dcj62hda8r17fx396ks6w79p1, 3uvek737jr8909is4vi1d9nxm, 58r7rr6rqtji5m0bkdxmwqqui, 9cju5a96bsq9fqhbl5ub6nisp, cwd95dwww2bs1d9wzjpw3ydx, bxbvbqfhiv1hivt3ttxum1uy1, 7btjqixepiu3ykopyvg3k6itx, 2ban1f798o92hq593c8a0nv11",4044910367,194,6wjwijfj7i2vvlsxzyzfb2cwl,4044910359,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4045060389,197,7108,4044910365,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4044910363,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510128237,1,34,16,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2023-02-19T19:49:26.100Z,2023-02-19T20:35:37Z,4044932905,194,2accix9saahg900cja5e9iw9h,4044932899,59,"14, 2, 72, 80, 83, 13, 20, 98, 9, 10, 90, 8, 21, 23, 25, 33, 53, 76, 82, 94",4044932903,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4045050573,197,4663,4044932897,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4044932901,130,8,4044932895,30,"2accix9saahg900cja5e9iw9h, d30uqfrs7mqb6jnj99qgyr28k, 9avbe1i215rk0o2j16iq0u2nd, 1qcf5gb8wf8f4tu94xh96yqy, 5desb812yn2icc8d2lew7lu22, bot4jd6s4g69w5wvtn9qlevx0, 4tyjzyixiz32zfs37qs4u6ve2, bgcphqeckm71jpbnzjivrnug9, 35csuq89nc1zgpc4j2mdav6jt, 7bizatqq8lesywgb68x9cizmd, 1899balq50r7vbqqf8qwjlxpl, 2456sb5oj15equsuu5npj43my, 2cs8bo4l70gbkudh3gqazb105, bz64q1gkwqtlc749oqqqzm5wq, 3yolt0tc40fjqupa2ea4epka1, evwzikhqpwulci3y20ckeoc15, t89fo4c79gkcq5wowch0xwd0, 3f2otwd2ozwk89319ssh9yjmd, 5qp02hepruys2x509yc8ni61g, 7i0t6mzio7sh4jveb8k16td9m",4044932907,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510153585,2,32,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2023-02-19T20:32:27.997Z,2023-02-21T18:04:22Z,4045065913,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510153609,2,32,1,0,0,8gvg1ranyf93hprfkwx3ofl2y,1,0,0,2023-02-19T20:32:27.997Z,2023-02-21T11:18:08Z,4045066003,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510153637,3,1,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,50.1,50,2023-02-19T20:32:28.555Z,2023-02-21T18:15:57Z,4045066127,141,57.7,4045066129,212,16.3,4045066131,213,2.8,4048053975,178,,4045066133,279,S,4045066125,140,35.4,4045066123,56,Back,,,,edk9jemtelz51uoob4quyd4kq,Clayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510153657,4,1,1,0,2,ewsf6evtguu9j7k6js4tlgl89,1,35.4,57.7,2023-02-19T20:32:30.847Z,2023-02-21T18:16:01Z,4045066205,141,56.5,4045066203,140,20.6,4045066207,212,15.6,4045066201,56,Back,4045066209,213,3.2,4048054107,178,,,,,,,,5vdaexx0jnv7shichfmowutt6,Beni Mukendi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510153681,5,1,1,0,4,ewsf6evtguu9j7k6js4tlgl89,1,20.9,56.5,2023-02-19T20:32:32.675Z,2023-02-21T18:16:03Z,4045066341,212,12.3,4045066333,140,21.9,4048054201,178,,4045066345,213,1.5,4045066331,56,Back,4045066337,141,74.5,,,,,,,6wjwijfj7i2vvlsxzyzfb2cwl,Vasco Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510153707,6,1,1,0,7,ewsf6evtguu9j7k6js4tlgl89,1,22.1,74.7,2023-02-19T20:32:35.592Z,2023-02-21T18:16:08Z,4048054359,178,,4045066471,56,Back,4045066479,141,43.0,4045066475,140,18.0,4045066485,213,4.5,4045066483,212,22.0,,,,,,,dqpkkgodtwn11fgpq2c3tlqz9,N. Zolotić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510153769,7,1,1,0,11,ewsf6evtguu9j7k6js4tlgl89,0,20.1,37.4,2023-02-19T20:32:39.140Z,2023-02-21T18:16:13Z,4045066859,1,,4045066843,140,74.2,4045066839,56,Right,4048054547,178,,4045066857,213,5.9,4045066853,212,61.2,4045066849,141,4.1,4045066835,155,,6wjwijfj7i2vvlsxzyzfb2cwl,Vasco Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2510153785,3,49,1,0,16,8gvg1ranyf93hprfkwx3ofl2y,1,23.2,93.6,2023-02-19T20:32:44.407Z,2023-02-21T18:16:19Z,,,,,,,,,,,,,,,,,,,,,,,,,bot4jd6s4g69w5wvtn9qlevx0,André Amaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
