id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/12/value,qualifier/18/value,qualifier/17/value
2451113531,1,34,16,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2022-08-26T18:41:24.385Z,2022-08-26T19:12:03Z,3732909487,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3733018309,197,12635,3732909475,30,"2m69fipbiuwtg7sfvmx99lw16, a71vugy7m06i8dcllmolni85x, 3zkqv88qpc3tm22pex5qfillh, 8dyozmfhm4x9hwqqpa6hcri6t, fwnnz9wriid0xznpbpdy82s4, 7pordwinyzf3wxn2jlu62yndh, 3zndvhinobvclra6m0y47drrp, 2grwfg8j3gpdthz5n5dn6wb56, 3yenbonc310rzql4ey73v7bsa, 2fb4hr89a6zcwz14grb362az8, 8kns1kywrlakjwll1cxs19r3e, 1arszie3v8bks90bcetskhwfe, c9rqgser2j8a6w7xfj3vmkzfu, egf4oc47whxf2hmrjjddvtxbd, 3g3dypdszvxq1tntx0l1lu2qy, 93ri0h7kjcng9e2v5yktcw5xw, dtkxyjne2wd3rtsg74i9lc6qc, 6hhxcbz0w98s2ucyjq4v3o9p0, 2zfiz20hqyc5oitn15rf9t239, b2es3ltkniikyqf864vblnaj8",3732909477,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3732909481,130,8,3732909485,194,3zkqv88qpc3tm22pex5qfillh,3732909483,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732909479,59,"24, 29, 5, 26, 3, 32, 15, 16, 19, 11, 7, 17, 23, 6, 8, 12, 13, 20, 27, 33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451117969,1,34,16,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2022-08-26T18:46:20.109Z,2022-08-26T19:24:39Z,3732932763,130,7,3733011683,197,11680,3732932757,30,"1ocxh5s9uo0s8ag79j7iv6acp, 3gelookco8f9ft0guaec03t3o, 3o3pp38h4ww0btuxzna0mhtcl, ctkp6xkdg68xonlfkjwe580oa, 2jskw42u7twkcsxa15hcysiy1, dzq4gg917idfq1rhng1coi5uc, 74hu9pcq0b1z36871v3inexyi, 1e12w0zsray39tnhemg3jy5t5, c9juqy1fmkna7jcozyeg0weeh, 51edb4gy0w4q1wns87xehn2dx, 1xxhkr7nex5mjc9hrxm100lih, e4x6fx7njwfevkwf1t0ocyq51, b02ounhiuxi8s4z3aoac83evo, dqpofsnyszazhkp0t7gtlfi3u, 195o7hchielt14ic49r3k06sq, ssluj1c3ft94nkfs58dc8cq2, dyeuxixz75ematbmtiwzcvhzp, 1l0sfejnziz4ur5prgb0tp2j8, 4mvqt04u92wsm1p5ja8fpilii, 5bl0qe7l7juksox3s4u76hxat",3732932769,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732932759,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3732932767,194,3o3pp38h4ww0btuxzna0mhtcl,3732932765,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3732932761,59,"99, 62, 31, 25, 23, 3, 21, 32, 50, 10, 11, 13, 5, 7, 8, 17, 20, 29, 78, 95",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451137329,2,32,1,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2022-08-26T19:15:15.094Z,2022-08-28T05:28:21Z,3733037063,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451137349,2,32,1,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2022-08-26T19:15:15.094Z,2022-08-26T19:15:16Z,3733037159,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451137401,3,1,1,0,0,491xixnlsp75o7cr3w2gc1o0z,1,50,50,2022-08-26T19:15:15.423Z,2022-08-28T06:21:55Z,3733037417,212,16.7,3733037415,141,61.2,3733037421,279,S,3733037411,56,Back,3738932423,178,,3733037413,140,35.8,3733037419,213,2.7,,,,3yenbonc310rzql4ey73v7bsa,N. Koffi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451137435,4,1,1,0,2,491xixnlsp75o7cr3w2gc1o0z,1,35.8,61.2,2022-08-26T19:15:17.442Z,2022-08-28T06:22:16Z,3733037603,56,Back,3738933127,178,,3733037609,212,14.7,3733037611,213,4.1,3733037607,141,43.1,3733037605,140,28.1,,,,,,,8dyozmfhm4x9hwqqpa6hcri6t,Rui Pires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451137461,5,1,1,0,4,491xixnlsp75o7cr3w2gc1o0z,1,28.1,43.1,2022-08-26T19:15:19.545Z,2022-08-28T06:22:21Z,3733037761,212,16.5,3733037765,213,1.6,3733037753,140,27.8,3738933313,178,,3733037749,56,Back,3733037757,141,67.4,,,,,,,fwnnz9wriid0xznpbpdy82s4,Nuno Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451137487,6,1,1,0,6,491xixnlsp75o7cr3w2gc1o0z,1,27.8,67.4,2022-08-26T19:15:21.663Z,2022-08-28T06:22:24Z,3733037911,140,34.7,3733037915,212,18.4,3733037917,213,1.2,3738933421,178,,3733037913,141,92.3,3733037909,56,Back,,,,,,,7pordwinyzf3wxn2jlu62yndh,Flávio Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451137539,7,1,1,0,9,491xixnlsp75o7cr3w2gc1o0z,1,34.3,95.6,2022-08-26T19:15:24.209Z,2022-08-28T06:22:29Z,3733038157,212,14.1,3738933553,178,,3733038151,56,Back,3733038155,141,92.9,3733038153,140,47.6,3733038159,213,6.2,,,,,,,3zkqv88qpc3tm22pex5qfillh,Antunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451137555,8,1,1,0,10,491xixnlsp75o7cr3w2gc1o0z,1,48.7,95.2,2022-08-26T19:15:25.832Z,2022-08-28T06:22:34Z,3733038223,140,56.0,3733038229,213,0.3,3738933681,178,,3733038227,212,8.0,3733038225,141,98.7,3733038221,56,Left,,,,,,,2fb4hr89a6zcwz14grb362az8,Kayky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
