id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2516570807,1,34,16,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2023-03-06T19:11:11.081Z,2023-03-06T20:21:14Z,4078991169,130,17,4078991177,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078991167,59,"33, 42, 5, 19, 13, 15, 8, 27, 99, 24, 7, 3, 4, 6, 10, 12, 16, 17, 30, 68",4078991171,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078991163,30,"4k2wic25asdlmuqr17e3s6nkl, 28lucwbes9q95s1j4mgy2s50q, 58r7rr6rqtji5m0bkdxmwqqui, dqpkkgodtwn11fgpq2c3tlqz9, 6wjwijfj7i2vvlsxzyzfb2cwl, d92r3s9hlaq3k56b503ovjfmd, 64upo0p7ealjcpfkldjiqlvit, 2ban1f798o92hq593c8a0nv11, edk9jemtelz51uoob4quyd4kq, 2htuct5gfuihhhvx9trpkmj56, 53unfq55ouhqni5jbl07fyqc5, dcj62hda8r17fx396ks6w79p1, 3uvek737jr8909is4vi1d9nxm, 6uubxxvwp558g19wxmprfqtw5, 9cju5a96bsq9fqhbl5ub6nisp, c9mr6s9gur4jxrinhj5blu0vd, 7btjqixepiu3ykopyvg3k6itx, 3sxd2j3a9d2bukfeu5y9824tl, 5djfxgxa12bypv4g5zk5rit0q, ag5ozuf1o3ixkdrdb39g9dasp",4078991173,194,6wjwijfj7i2vvlsxzyzfb2cwl,4078991165,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4078991175,197,7108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516571837,1,34,16,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2023-03-06T19:13:08.375Z,2023-03-06T19:14:40Z,4078997107,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078997095,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4078997103,194,3zkqv88qpc3tm22pex5qfillh,4078997101,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4078997099,130,4,4078997097,59,"28, 15, 5, 26, 3, 25, 55, 6, 17, 10, 7, 70, 98, 18, 9, 11, 21, 22, 23, 30",4078997093,30,"1k5y6mool4qz2xtg6mp892vh1, 3zndvhinobvclra6m0y47drrp, 3zkqv88qpc3tm22pex5qfillh, 8dyozmfhm4x9hwqqpa6hcri6t, fwnnz9wriid0xznpbpdy82s4, 19mq6gsvnfvnzugpbfwniqj1l, ey0bk9dlqjwsc1aserql73aei, egf4oc47whxf2hmrjjddvtxbd, 1arszie3v8bks90bcetskhwfe, 78ug8x7pkjt88u5dx151v32z9, 8kns1kywrlakjwll1cxs19r3e, 4ocmdia4dhnz2jdxr3n8sf8r8, 53y263xxfdf1itytiqhg3v6c5, 28h8k0bv45oiw9k64dd5mdawa, atcgj9k5ghx0ekwyky31l4pud, d4zft3r7ot8q6dqqhqugbba0a, 32y6mygyypg6jhzge0vqjx79, 7jso6ijfblfqjfvfh09wt5g5, c9rqgser2j8a6w7xfj3vmkzfu, 7d8acg1r083veuigl34kojnbp",4078997105,197,12635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516609709,2,32,1,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2023-03-06T20:20:28.682Z,2023-03-06T20:20:31Z,4079199767,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516609697,2,32,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2023-03-06T20:20:28.682Z,2023-03-08T07:35:16Z,4079199711,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516609757,3,1,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,50,50,2023-03-06T20:20:28.718Z,2023-03-08T08:03:32Z,4079199975,279,S,4079199955,56,Back,4081878089,178,,4079199959,140,39.5,4079199971,213,3.9,4079199963,141,35.8,4079199967,212,14.7,,,,edk9jemtelz51uoob4quyd4kq,Clayton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516609793,4,1,1,0,4,ewsf6evtguu9j7k6js4tlgl89,1,40.7,29.8,2023-03-06T20:20:32.684Z,2023-03-08T08:03:36Z,4079200179,141,24.8,4079200177,140,30.8,4079200181,212,10.9,4079200183,213,3.5,4081878193,178,,4079200175,56,Back,,,,,,,64upo0p7ealjcpfkldjiqlvit,Neto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516609817,5,1,1,0,6,ewsf6evtguu9j7k6js4tlgl89,1,30.8,24.8,2023-03-06T20:20:34.715Z,2023-03-08T08:03:39Z,4079200297,213,1.9,4081878283,178,,4079200291,140,25.9,4079200289,56,Back,4079200295,212,15.3,4079200293,141,46.0,,,,,,,d92r3s9hlaq3k56b503ovjfmd,Fernando Varela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516609845,6,1,1,0,8,ewsf6evtguu9j7k6js4tlgl89,1,27.6,47,2023-03-06T20:20:37.140Z,2023-03-08T08:03:43Z,4079200431,141,68.6,4079200433,212,14.9,4081878405,178,,4079200435,213,1.7,4079200429,140,25.3,4079200427,56,Back,,,,,,,6wjwijfj7i2vvlsxzyzfb2cwl,Vasco Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516609879,7,1,1,0,10,ewsf6evtguu9j7k6js4tlgl89,1,25.5,71.9,2023-03-06T20:20:39.214Z,2023-03-08T08:03:49Z,4079200609,56,Back,4079200617,213,1.1,4081878573,178,,4079200611,140,32.7,4079200615,212,18.4,4079200613,141,96.5,,,,,,,dqpkkgodtwn11fgpq2c3tlqz9,N. Zolotić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2516609933,8,2,1,0,12,ewsf6evtguu9j7k6js4tlgl89,1,32,95,2023-03-06T20:20:41.397Z,2023-03-08T08:03:52Z,4079200885,56,Center,4081878691,178,,4079200887,140,57.0,4079200895,1,,4079200889,141,62.3,4079202005,7,edk9jemtelz51uoob4quyd4kq,,,,,,,58r7rr6rqtji5m0bkdxmwqqui,Leonardo Lelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
