id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/8/value,qualifier/11/value,qualifier/15/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2475644375,1,34,16,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2022-10-22T16:03:52.063Z,2022-10-22T17:08:05Z,3863346367,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863346361,130,6,3863346355,30,"1ocxh5s9uo0s8ag79j7iv6acp, 3gelookco8f9ft0guaec03t3o, 3o3pp38h4ww0btuxzna0mhtcl, dyeuxixz75ematbmtiwzcvhzp, 2jskw42u7twkcsxa15hcysiy1, 2zu7x3ge1bkly3l57je95laeh, 5bl0qe7l7juksox3s4u76hxat, 1e12w0zsray39tnhemg3jy5t5, 3sdtccxqlc28tszv5vrnibckq, 195o7hchielt14ic49r3k06sq, dqpofsnyszazhkp0t7gtlfi3u, e4x6fx7njwfevkwf1t0ocyq51, cdkxx5845lj8spbg3ha7m1xm2, ctkp6xkdg68xonlfkjwe580oa, 1l0sfejnziz4ur5prgb0tp2j8, 9ylq7ia76wd7pxq3ax9qo8w5x, c9juqy1fmkna7jcozyeg0weeh, 4mvqt04u92wsm1p5ja8fpilii, 89mr3li2k2f01r75sz0sn1zsa, ellz88deagksyfqdqzv16rckq",3863566145,197,11679,3863346365,194,3o3pp38h4ww0btuxzna0mhtcl,3863346363,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863346357,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3863346359,59,"99, 62, 31, 20, 23, 4, 95, 32, 79, 8, 7, 13, 22, 25, 29, 34, 50, 78, 87, 90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475648967,1,34,16,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2022-10-22T16:09:20.899Z,2022-10-22T17:06:59Z,3863369793,30,"5nlzolv5bg03eiopba58rs251, dq41kziilg4jki9erxel9d3ze, c8s3kzk7jpdpp5ctzqkzh9vit, 8gkc9l566rjg7nifxwsq5vdud, 8t404ou7dw8vprk9h7jjuqjt, 51rs6ozeux61yyjfk9ci86311, 5kcytruttikppbpkeg9rhd4gl, 5bo84b7398nyv87ztwd8wxh3p, cnriqwh17pqgz7p2gt74uar6c, e5xv1rmy69kwuxjxin653ojqh, 5l9ilx0kwbny81lykqksoz9w5, 1wtikted5kmtz3bpu17enlvc9, 2apqk2zobhs8ypnaw0bzkch9m, 33qmom9yrc1ft1cte9qju1djp, c3pxiexbciif7uu845ivx5hhx, 23d0t7gqlra3jkskn18bh752i, 2irms3moqosywa14re7n2awh5, 5r7q0eg6pmoq0safxa9tnm5l, 43xutn1unln5o3gwx3cl4lo0l, 1l93qv71yu7ohs9ida8cx2zqi",3863369795,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3863369805,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3863369803,194,5l9ilx0kwbny81lykqksoz9w5,3863542575,197,372,3863369799,130,2,3863369797,59,"1, 70, 6, 8, 3, 15, 45, 88, 99, 9, 21, 2, 7, 10, 12, 14, 18, 19, 23, 24",3863369801,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475691763,2,32,1,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2022-10-22T17:03:43.478Z,2022-10-25T07:49:59Z,3863588091,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475691751,2,32,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2022-10-22T17:03:43.478Z,2022-10-22T17:03:43Z,3863588037,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475691811,3,1,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,50.1,49.9,2022-10-22T17:03:43.594Z,2022-10-25T11:16:51Z,3863588395,140,44.6,3863588393,56,Back,3863588403,279,S,3863588397,141,53.6,3863588399,212,6.3,3871345147,178,,3863588401,213,2.7,,,,cnriqwh17pqgz7p2gt74uar6c,Vítinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475691849,4,1,1,0,1,26t6lvlpql4w5wu1ih73qpy36,1,44.6,53.6,2022-10-22T17:03:45.329Z,2022-10-25T11:16:51Z,3863588643,141,85.4,3863588645,212,26.0,3863588641,140,30.9,3863588647,213,2.2,3863588639,56,Back,3871345157,178,,,,,,,,5bo84b7398nyv87ztwd8wxh3p,Castro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475691891,5,1,1,0,4,26t6lvlpql4w5wu1ih73qpy36,0,32.1,86.8,2022-10-22T17:03:47.867Z,2022-10-25T11:16:52Z,3863588865,56,Left,3871345167,178,,3863588871,140,68.2,3863588879,213,6.2,3863588877,212,38.2,3863588875,141,79.9,3863588861,155,,3863588881,1,,c8s3kzk7jpdpp5ctzqkzh9vit,Nuno Sequeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477151085,1195,43,1,0,6,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2022-10-22T17:03:49.642Z,2022-10-25T11:28:59Z,3871360649,178,0,3871360831,144,82,,,,,,,,,,,,,,,,,,,3gelookco8f9ft0guaec03t3o,Tiago Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475691911,3,50,1,0,6,22mo7qbsnyi8wtucpvhgvhw2q,1,33.8,32.4,2022-10-22T17:03:49.656Z,2022-10-25T11:16:52Z,3863646101,286,,3863647249,233,69,3863589003,56,Back,,,,,,,,,,,,,,,,3gelookco8f9ft0guaec03t3o,Tiago Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475702325,69,7,1,0,6,26t6lvlpql4w5wu1ih73qpy36,0,66.2,67.6,2022-10-22T17:03:50.023Z,2022-10-25T11:16:53Z,3863647193,233,3,3870025103,383,,3871345229,178,,3863647197,285,,3863647157,56,Center,,,,,,,,,,e5xv1rmy69kwuxjxin653ojqh,Abel Ruiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
