id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/13/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/12/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,assist
2493734259,1,34,16,0,0,co1i764h6b02husae71w6scs8,1,0,0,2022-12-28T18:05:53.596Z,2022-12-28T19:01:23Z,3958734161,194,6gmfcfqd1o54zyepd9587nlqt,3958734155,59,"32, 18, 14, 24, 44, 22, 38, 27, 99, 3, 20, 31, 6, 17, 19, 30, 35, 70, 77, 85",3958734163,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958734159,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958734157,130,4,3958785813,197,3749,3958734153,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3958734151,30,"cpf5wp34pu80qzvcwakjhh905, 6gmfcfqd1o54zyepd9587nlqt, f29gq7ixyjd9m22yhmb7c7oq1, 52407m29h74ziyt19jty0od7t, 10va1tucy0kb83wllaudp7e95, cgtz4fa0mz9poi4ju8bjtbwiy, dvxwdpad8a1iatnwcpqvy3m5l, 3q1nhus52rnkt6nwvqmpb1ct0, awicgdcslcljo1mbmvochqlwq, db6kkpr65v0zlrlx1cr5almcq, 1c0ymbcylpp4ty7n34inspffu, debwdd7evo1d86v5hdpqnyw44, 9lwpckbeu2ymqlmq6288bdjvt, 5j9k3rz7a8z7zx91hxetr6v6y, 2kvb94ocyvs7x1sbq73rr22nd, 3vth7chxafg6828kg2xseimwa, 7apd6saozsmkhkm7ew06a5a6t, 1zokl2zp7gtwlmj37kps6lnmx, 7su7fdl13e1v7rvbcdr9n95ux, 3e7svf1sj8ec14we8d8zm273e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493734537,1,34,16,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2022-12-28T18:07:53.854Z,2022-12-28T19:00:50Z,3958736081,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958736075,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3958736083,194,6wjwijfj7i2vvlsxzyzfb2cwl,3958785871,197,12640,3958736085,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3958736077,59,"33, 42, 6, 19, 13, 15, 8, 27, 11, 14, 17, 1, 2, 3, 4, 9, 16, 18, 88, 99",3958736073,30,"4k2wic25asdlmuqr17e3s6nkl, 28lucwbes9q95s1j4mgy2s50q, 6uubxxvwp558g19wxmprfqtw5, dqpkkgodtwn11fgpq2c3tlqz9, 6wjwijfj7i2vvlsxzyzfb2cwl, d92r3s9hlaq3k56b503ovjfmd, 64upo0p7ealjcpfkldjiqlvit, 2ban1f798o92hq593c8a0nv11, cwd95dwww2bs1d9wzjpw3ydx, bxbvbqfhiv1hivt3ttxum1uy1, 3sxd2j3a9d2bukfeu5y9824tl, 39a3ez9nwq3q2gysqilq9d9ii, 1vw6okufgzi8d2rx2yx3vuhux, dcj62hda8r17fx396ks6w79p1, 3uvek737jr8909is4vi1d9nxm, 5y720qmabg25g9wbmeqlh2a51, 7btjqixepiu3ykopyvg3k6itx, 4kh6fkew5ktqq69izsqsdqmeh, 613xzggyqa0ugkmu2u6oxkmp5, edk9jemtelz51uoob4quyd4kq",3958736079,130,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493744105,2,32,1,0,0,co1i764h6b02husae71w6scs8,1,0,0,2022-12-28T19:00:35.829Z,2022-12-29T19:45:20Z,3958787803,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493744107,2,32,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2022-12-28T19:00:35.829Z,2022-12-28T19:00:38Z,3958787805,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493744109,3,1,1,0,0,co1i764h6b02husae71w6scs8,1,50.2,49.9,2022-12-28T19:00:35.887Z,2022-12-30T12:07:14Z,3958787819,56,Back,3958787825,212,10.2,3958787821,140,42.5,3960531941,178,,3958787823,141,40.7,3958787827,213,3.8,3958787829,279,S,,,,awicgdcslcljo1mbmvochqlwq,Yago Cariello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493744113,4,1,1,0,2,co1i764h6b02husae71w6scs8,1,42.7,40.7,2022-12-28T19:00:37.870Z,2022-12-30T12:07:20Z,3958787841,140,38.6,3958787839,56,Back,3958787843,141,56.0,3958787847,213,2.0,3960531971,178,,3958787845,212,11.3,,,,,,,dvxwdpad8a1iatnwcpqvy3m5l,Paulo Estrela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493744119,5,1,1,0,3,co1i764h6b02husae71w6scs8,1,38.6,55.6,2022-12-28T19:00:39.632Z,2022-12-30T12:07:26Z,3958787873,212,21.7,3958787871,141,29.0,3958787867,56,Back,3958787869,140,27.2,3958787875,213,4.1,3960531987,178,,,,,,,,52407m29h74ziyt19jty0od7t,M. Diaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493744131,6,1,1,0,6,co1i764h6b02husae71w6scs8,1,26.9,27.7,2022-12-28T19:00:41.854Z,2022-12-30T12:07:29Z,3958787929,213,5.4,3958787923,140,39.7,3958787927,212,21.2,3958787925,141,3.5,3960532013,178,,3958787921,56,Back,,,,,,,10va1tucy0kb83wllaudp7e95,Pedrão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493744137,7,1,1,0,9,co1i764h6b02husae71w6scs8,1,39.2,4.3,2022-12-28T19:00:45.780Z,2022-12-30T12:07:33Z,3958787957,140,24.5,3958787959,141,23.3,3958787955,56,Back,3958787961,212,20.1,3960532029,178,,3958787963,213,2.4,,,,,,,6gmfcfqd1o54zyepd9587nlqt,F. Moufi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2493744145,8,1,1,0,12,co1i764h6b02husae71w6scs8,1,24.2,25,2022-12-28T19:00:48.323Z,2022-12-30T12:07:38Z,3958787999,56,Back,3960532055,178,,3958788005,212,26.1,3958788001,140,25.5,3958788007,213,1.5,3958788003,141,63.4,,,,,,,10va1tucy0kb83wllaudp7e95,Pedrão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
