id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,assist,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/16/value,qualifier/13/value,keyPass,qualifier/18/value
2443439945,1,34,16,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2022-08-07T16:15:06.585Z,2022-08-07T18:12:55Z,3692094333,130,2,3692290173,197,372,3692094341,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3692094331,59,"1, 2, 6, 8, 3, 4, 45, 10, 99, 23, 21, 9, 12, 14, 15, 18, 7, 29, 70, 88",3692094335,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3692094327,30,"5nlzolv5bg03eiopba58rs251, 1wtikted5kmtz3bpu17enlvc9, c8s3kzk7jpdpp5ctzqkzh9vit, 8gkc9l566rjg7nifxwsq5vdud, 8t404ou7dw8vprk9h7jjuqjt, 2psarhoauswcdof4nb22sw7ah, 5kcytruttikppbpkeg9rhd4gl, 33qmom9yrc1ft1cte9qju1djp, cnriqwh17pqgz7p2gt74uar6c, 43xutn1unln5o3gwx3cl4lo0l, 5l9ilx0kwbny81lykqksoz9w5, e5xv1rmy69kwuxjxin653ojqh, c3pxiexbciif7uu845ivx5hhx, 23d0t7gqlra3jkskn18bh752i, 51rs6ozeux61yyjfk9ci86311, 2irms3moqosywa14re7n2awh5, 2apqk2zobhs8ypnaw0bzkch9m, 5p4q1zolt4e4h07jzknksyzv8, dq41kziilg4jki9erxel9d3ze, 5bo84b7398nyv87ztwd8wxh3p",3692094329,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3692094339,194,5l9ilx0kwbny81lykqksoz9w5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443441669,1,34,16,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2022-08-07T16:16:48.888Z,2022-08-07T17:00:46Z,3692103953,130,17,3692103957,194,a9htjxrpgqlcv577x4kvlkh5h,3692103955,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3692103949,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3692103951,59,"1, 24, 11, 2, 4, 25, 5, 8, 20, 17, 28, 3, 10, 12, 15, 16, 18, 47, 63, 71",3692103947,30,"342kh2ue733edf9q7s0a2edat, 77yaqzy45dxtzicao00jxrlgq, a9ozu4hjaylfr4299ceryskid, 3fo37mb4cp6lb0e86hhiyvu8l, a9htjxrpgqlcv577x4kvlkh5h, cayu6id8xmj67n29s2x3bsbxm, d9i8y5vlymc2yggwxrax8wcbu, 3trkre1c81pzretsjsi8jk6sq, c270jephiphzfpig96q3jyz11, 83ekq1r2omnsazmp41pio8s89, eee0bq4dkdn91l81e8cf1zxpm, 6hnzgiw8h1itz9l2j3sb6oeeh, 6x3qvqsp90kjsps3e4wx0oxqt, cuc7gtr9q0465wxmzgq834ag9, 8jfjglichcg0py57hhri5v0fd, a7twqgp3fp43y1aoybfe2i8d1, 6cx5c6bzp1hq6c1vui53mxzx0, 10k53pv13mw9hzllv70umgzbp, a1ahtfrvwqyva1m1q7fjew6ei, 7mg9ycwc9ay4fdedl0dpp5nca",3692103959,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3692285169,197,12815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443476637,2,32,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2022-08-07T17:01:36.482Z,2022-08-09T20:44:08Z,3692294999,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443476605,2,32,1,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2022-08-07T17:01:36.482Z,2022-08-07T17:01:36Z,3692294833,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443476651,3,1,1,0,0,7catg5lpivcmpf4xhggh6d8rk,1,50,50,2022-08-07T17:01:36.547Z,2022-08-10T10:51:30Z,3696833343,178,,3692295073,140,30.0,3692295081,279,S,3692295077,212,21.0,3692295075,141,50.1,3692295071,56,Back,3692295079,213,3.1,,,,c270jephiphzfpig96q3jyz11,Paulinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443476669,4,1,1,0,3,7catg5lpivcmpf4xhggh6d8rk,1,29.7,54.6,2022-08-07T17:01:40.005Z,2022-08-10T10:51:36Z,3692295171,212,13.1,3696833613,178,,3692295169,141,73.8,3692295173,213,1.5,3692295165,56,Back,3692295167,140,30.1,,,,,,,a9htjxrpgqlcv577x4kvlkh5h,S. Coates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443476695,5,1,1,0,5,7catg5lpivcmpf4xhggh6d8rk,1,29.9,74.1,2022-08-07T17:01:41.877Z,2022-08-10T10:51:41Z,3692295309,141,72.7,3696833789,178,,3692295305,140,34.6,3692295315,213,6.1,3692295313,212,5.0,3692295303,56,Back,,,,,,,3fo37mb4cp6lb0e86hhiyvu8l,Matheus Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443476715,6,1,1,0,7,7catg5lpivcmpf4xhggh6d8rk,1,36.4,79,2022-08-07T17:01:44.432Z,2022-08-10T10:52:34Z,3692295391,56,Back,3692295395,141,84.2,3692295397,212,6.2,3696835147,178,,3692295399,213,0.6,3692295393,140,41.2,,,,,,,3trkre1c81pzretsjsi8jk6sq,Matheus Nunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443476723,7,1,1,0,8,7catg5lpivcmpf4xhggh6d8rk,1,41.5,85,2022-08-07T17:01:45.186Z,2022-08-10T10:52:38Z,3692295449,56,Back,3692295455,212,9.2,3692295451,140,37.8,3692295457,213,2.0,3696835317,178,,3692295453,141,97.2,,,,,,,eee0bq4dkdn91l81e8cf1zxpm,Pote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443476755,8,1,1,0,10,7catg5lpivcmpf4xhggh6d8rk,1,37.8,97.2,2022-08-07T17:01:46.570Z,2022-08-10T10:52:44Z,3692295623,140,33.7,3692295629,213,4.1,3692295627,212,7.9,3696835397,178,,3692295621,56,Back,3692295625,141,87.5,,,,,,,a9ozu4hjaylfr4299ceryskid,Nuno Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
