id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/10/value,keyPass,qualifier/12/value,qualifier/13/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value,qualifier/18/value
2481758723,1,34,16,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-11-05T15:00:51.250Z,2022-11-05T15:29:28Z,3895635777,30,"25n2vrjnz5qsm5pigyn3ps8vd, djb8j3hb7mnnghg9jmd15w0r9, ds66cc3zwxbyl5zfzag5422g9, 1doj252anzqdzn5fknqr5i31l, 8zt0zlypar7m1eqj4zu8ul695, 1ni0afs55daxlb5ocaqb2o8vd, 9l70xwbhc0xr57iifzyxzot7t, 7nrjutc015x9nupdcl4hj3l5h, bzt6oj1d4d2x3qez55hlvzpwp, clnli7y2s88p16yqtrbsb99sl, dh3ddfghtgeb2iu2608y96i5m, 5dfjrbb8xobsxuujy1xrsgedx, c0pat4dqmsc4teand5ampsdlh, 4effb0zguv2lqtv2vl9lqb696, 1nqpxso2a9qw8w8g6u4sb60ut, 1swp008ttj3pd57fz5uw8mctm, 3vln1sp3b13v1yhcsd0vl3c2x, bdgqvvkpadpthmlm40wa6dcyx, 43mnaysq76cz587wxk8w3job9, 3mp7wghcalu9g3wxbqb9eqga",3895635789,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895635781,59,"12, 28, 6, 23, 13, 3, 2, 5, 15, 7, 11, 4, 8, 9, 14, 17, 19, 21, 44, 92",3895635785,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895635787,194,8zt0zlypar7m1eqj4zu8ul695,3895635779,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3895883089,197,1822,3895635783,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481758817,1,34,16,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2022-11-05T15:00:54.543Z,2022-11-05T15:41:44Z,3895636117,130,4,3895636125,194,chy52wzncc8ulmer9z2rebit,3895883649,197,3241,3895636109,30,"9uc54rlxmahbfppv97zi81yhh, 19op8n866vmntrkobatq2u5ex, chy52wzncc8ulmer9z2rebit, 9pi6sf9sdni4dn6db7rej0r85, 2amti8wga8jpons4mizksjd1x, 8f8lbg182g5jwnqbj1zgjbljp, eblsjvbkd7vws1qpx7td1eacp, 575pl0igxsevhmf6nfmjwwyxh, dn4o1wa7ia54rpytm5fikbsh5, 9xk50bv3qlja26r1ecary1y3t, hrr3761wvgn1ayhsrrz4rf11, 10mmhviatbpx75fslh68s25lh, 3ynj76lod24r597rmhshxczpx, 2u7fm04v2xzqso4rubkrvjcru, 4wces11j8ejvbpz1zqd94b7fu, 380ejwyblelr0ef3um2cwv3ai, 2gek3shxyc91h8bth9q8opyei, 77e2c0nv7hbmmo2uppdx4i7zd, bljvhirrui29i12tysjdtmnd, 8ilf7i6y4c9ezpgddh5h3ohlg",3895636111,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3895636121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895636129,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895636115,59,"97, 7, 24, 23, 3, 5, 19, 20, 11, 22, 10, 4, 6, 9, 13, 16, 17, 29, 79, 90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481813027,2,32,1,0,0,7fn0aazbc8nx0u040aulozds1,1,0,0,2022-11-05T15:33:41.320Z,2022-11-07T06:34:44Z,3895919449,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481813011,2,32,1,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-11-05T15:33:41.320Z,2022-11-05T15:33:41Z,3895919349,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481813077,3,1,1,0,0,dich5v7sw466smbqap0d9rbyj,1,49.9,49.7,2022-11-05T15:33:42.062Z,2022-11-07T08:09:29Z,3895919713,279,S,3895919693,141,40.9,3901872553,178,,3895919707,213,3.7,3895919687,140,39.8,3895919701,212,12.2,3895919683,56,Back,,,,bzt6oj1d4d2x3qez55hlvzpwp,Oday Dabbagh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481813143,4,1,1,0,2,dich5v7sw466smbqap0d9rbyj,1,39.5,39.9,2022-11-05T15:33:43.376Z,2022-11-07T08:09:32Z,3895920043,140,38.6,3895920047,212,21.0,3901872581,178,,3895920045,141,9.1,3895920041,56,Back,3895920049,213,4.7,,,,,,,7nrjutc015x9nupdcl4hj3l5h,David Simão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481813231,5,1,1,0,4,dich5v7sw466smbqap0d9rbyj,1,38.6,9.1,2022-11-05T15:33:46.220Z,2022-11-07T08:09:37Z,3895920461,56,Back,3901872591,178,,3895920465,141,66.7,3895920475,1,,3895920467,212,41.6,3895920471,213,1.9,3895920463,140,25.2,,,,djb8j3hb7mnnghg9jmd15w0r9,Tiago Esgaio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481813313,6,1,1,0,7,dich5v7sw466smbqap0d9rbyj,1,26.2,66.7,2022-11-05T15:33:49.225Z,2022-11-07T08:09:40Z,3895920873,212,12.7,3895920865,141,58.0,3895920845,56,Back,3901872603,178,,3895920853,140,36.9,3895920879,213,5.8,,,,,,,1ni0afs55daxlb5ocaqb2o8vd,J. Opoku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481813481,7,1,1,0,11,dich5v7sw466smbqap0d9rbyj,0,36.8,62.3,2022-11-05T15:33:52.419Z,2022-11-07T08:09:44Z,3901872627,178,,3895921697,140,91.9,3895921707,213,0.2,3895921693,155,,3895921701,141,81.7,3895921709,1,,3895921705,212,59.3,3895921695,56,Left,7nrjutc015x9nupdcl4hj3l5h,David Simão,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481813489,3,49,1,0,13,7fn0aazbc8nx0u040aulozds1,1,7.4,11.5,2022-11-05T15:33:54.999Z,2022-11-07T08:09:58Z,,,,,,,,,,,,,,,,,,,,,,,,,19op8n866vmntrkobatq2u5ex,Carlos Muñoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
