id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/14/value,qualifier/11/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,assist
2443879469,1,34,16,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2022-08-08T18:23:41.655Z,2022-08-08T19:21:06Z,3694564345,197,388,3694478295,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3694478297,194,1ldbn0jnfzcvj7edwlq1z4q8l,3694478291,59,"42, 78, 55, 57, 3, 26, 20, 21, 9, 10, 17, 8, 11, 12, 15, 18, 25, 30, 72, 93",3694478299,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3694478287,30,"664x98r3mbynnh19u1cx984q, 1lisq580zw4yfk6id6f1dwr56, 10jwipbmvqza53ja0lwof9be1, 8bn4i1qj747gh0hz6vbn0u25m, d1bful4yiqcc8k5jhg9a3uyfp, 1ldbn0jnfzcvj7edwlq1z4q8l, 8qxoj7nyhu2prjl3bjfqi2ui1, c01muomxuk015zrf9n21ztq7d, 1zf9egrh7cjofd7td62oc5tk9, rzxtat0t3okt8tikf5mvdxm2, 5awvo9xetmgwxmqfisawqz90q, 6nrvjozwk5or2v7dxkqbf9j9x, 77b18xdgljj15598bcrkc95yi, 2983qoliizrxvsi9sb9c5wwoa, 4aubucuhe6ic3osisrw73xe51, ljr2286geelctnfxzkxukmi1, 3ipb4zd3vz7dpnkyeiw22tal1, es6pjawg9rq2io8hjxf0rqaxh, as0t8xi6k6nl4l06g23u3jcru, 16q9oy1ddvvihrgor1mbo77bp",3694478289,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3694478293,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443884081,1,34,16,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2022-08-08T18:38:01.570Z,2022-08-08T19:25:43Z,3694505335,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3694505345,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3694564221,197,12635,3694505343,194,3zkqv88qpc3tm22pex5qfillh,3694505337,59,"1, 15, 5, 26, 3, 4, 7, 22, 13, 10, 9, 6, 8, 16, 20, 23, 24, 29, 33",3694505333,30,"921pmr49x4ijt9tnww0d2sixh, 3zndvhinobvclra6m0y47drrp, 3zkqv88qpc3tm22pex5qfillh, 8dyozmfhm4x9hwqqpa6hcri6t, fwnnz9wriid0xznpbpdy82s4, 4qo7eu3xwhkpssbuyk4n70fe1, 8kns1kywrlakjwll1cxs19r3e, 7jso6ijfblfqjfvfh09wt5g5, dtkxyjne2wd3rtsg74i9lc6qc, 78ug8x7pkjt88u5dx151v32z9, atcgj9k5ghx0ekwyky31l4pud, egf4oc47whxf2hmrjjddvtxbd, 3g3dypdszvxq1tntx0l1lu2qy, 2grwfg8j3gpdthz5n5dn6wb56, 6hhxcbz0w98s2ucyjq4v3o9p0, 53bikrb92r01pm2ia3kg5wq21, 2m69fipbiuwtg7sfvmx99lw16, a71vugy7m06i8dcllmolni85x, b2es3ltkniikyqf864vblnaj8",3694505339,130,8,3694505341,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443894949,2,32,1,0,0,491xixnlsp75o7cr3w2gc1o0z,1,0,0,2022-08-08T19:18:26.583Z,2022-08-08T19:18:26Z,3694565321,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443894953,2,32,1,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2022-08-08T19:18:26.583Z,2022-08-10T17:48:12Z,3694565335,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443894971,3,1,1,0,0,491xixnlsp75o7cr3w2gc1o0z,1,50,50,2022-08-08T19:18:26.825Z,2022-08-11T03:40:25Z,3697887989,178,,3694565459,213,2.9,3694565451,56,Back,3694565457,212,13.6,3694565455,141,54.8,3694565453,140,37.4,3694565461,279,S,3694646405,189,,dtkxyjne2wd3rtsg74i9lc6qc,Arthur Sales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443894977,4,1,1,0,1,491xixnlsp75o7cr3w2gc1o0z,1,37.4,54.8,2022-08-08T19:18:28.477Z,2022-08-11T03:40:32Z,3694565483,56,Back,3694565497,213,3.9,3694565491,141,35.6,3697887999,178,,3694565495,212,19.7,3694565487,140,23.4,,,,,,,8dyozmfhm4x9hwqqpa6hcri6t,Rui Pires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443895003,5,1,1,0,4,491xixnlsp75o7cr3w2gc1o0z,1,23.4,35.6,2022-08-08T19:18:30.923Z,2022-08-11T03:40:38Z,3694565665,141,64.7,3694565661,56,Back,3694565667,212,19.9,3694565669,213,1.7,3697888019,178,,3694565663,140,21.0,,,,,,,fwnnz9wriid0xznpbpdy82s4,Nuno Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443895021,6,1,1,0,9,491xixnlsp75o7cr3w2gc1o0z,1,30.6,68.3,2022-08-08T19:18:35.948Z,2022-08-11T03:40:46Z,3694565765,140,26.6,3697888035,178,,3694565769,212,18.9,3694565767,141,95.4,3694565771,213,1.8,3694565763,56,Back,,,,,,,4qo7eu3xwhkpssbuyk4n70fe1,Pedro Ganchas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443895039,7,1,1,0,11,491xixnlsp75o7cr3w2gc1o0z,1,26.6,95.4,2022-08-08T19:18:38.474Z,2022-08-11T03:40:54Z,3694565877,56,Back,3694565879,140,39.4,3694565881,141,97.5,3697888125,178,,3694565885,213,0.1,3694565883,212,13.5,,,,,,,3zkqv88qpc3tm22pex5qfillh,Antunes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443895051,8,1,1,0,14,491xixnlsp75o7cr3w2gc1o0z,1,34.3,97.2,2022-08-08T19:18:40.933Z,2022-08-11T03:41:00Z,3697888133,178,,3694565963,140,26.4,3694565965,141,96.3,3694565961,56,Back,3694565967,212,8.3,3694565969,213,3.2,,,,,,,atcgj9k5ghx0ekwyky31l4pud,Zé Uilton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
