id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2497833337,1,34,16,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2023-01-15T17:07:05.328Z,2023-01-15T17:50:42Z,3980367757,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3980367753,59,"99, 6, 3, 13, 66, 30, 20, 61, 88, 27, 8, 4, 7, 22, 31, 33, 77, 87, 91, 93",3980367749,30,"7jtc6yk5xu4cm1an97wrgozbp, 9j0v9bomstpbku7nnmqp8n7c9, 12f4mz064elnxecq2srl7r6j9, 1zxwich342p8fholev7ddkwh6, 2p86mzr8qnu9iy01fusvovf56, x32fbvwwxkda9ruezw67b3dh, fvuj5umkjxxb1btu6004xjh1, 5t952swvuoed4pdwgbi4yjhex, 9v4l7ic3ve6d22c0gs9p1oe3u, 37ao6cj3w5pd5v5ap79fqlxw5, 4dh4ws8ehn6uywozt6ygczs2d, er2t5qzxjzjgiz64l5qqk3mjt, 7pi4j76iy3cfh0bfkxf9x8ell, yzee990gbkpl00qdgr6h3r2t, 2tdxcr1wkubis5n81sg4pzyz9, bxcpii8qeyw2duignml45sc15, b2f67gkfb59hda2vka59e7qol, 929ho421g2zacylfc97m23uac, bocgbpxctelmsucqoba2dujca, 36fznb9hzqvn6lnlla7f3ycwl",3980367755,130,8,3980462831,197,368,3980367751,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3980367759,194,x32fbvwwxkda9ruezw67b3dh,3980367761,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497833773,1,34,16,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2023-01-15T17:07:47.212Z,2023-01-15T17:59:03Z,3980370391,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3980370383,59,"1, 24, 11, 2, 4, 25, 28, 15, 20, 10, 17, 3, 12, 32, 33, 47, 63, 77, 79, 82",3980370389,194,a9htjxrpgqlcv577x4kvlkh5h,3980370379,30,"342kh2ue733edf9q7s0a2edat, 77yaqzy45dxtzicao00jxrlgq, a9ozu4hjaylfr4299ceryskid, 3fo37mb4cp6lb0e86hhiyvu8l, a9htjxrpgqlcv577x4kvlkh5h, cayu6id8xmj67n29s2x3bsbxm, eee0bq4dkdn91l81e8cf1zxpm, 8jfjglichcg0py57hhri5v0fd, c270jephiphzfpig96q3jyz11, 6x3qvqsp90kjsps3e4wx0oxqt, 83ekq1r2omnsazmp41pio8s89, 6hnzgiw8h1itz9l2j3sb6oeeh, cuc7gtr9q0465wxmzgq834ag9, 9qp4xdwqq8odu20tto0zztz4k, 1xxhkr7nex5mjc9hrxm100lih, 10k53pv13mw9hzllv70umgzbp, a1ahtfrvwqyva1m1q7fjew6ei, tkhdcvew2hyrrztin61sfw89, 2m5jzeksbet8ltn3shk2exox6, d6tc895jr5kkxotydz2jcjx1w",3980370387,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3980370381,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3980370385,130,17,3980476023,197,12815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497852867,2,32,1,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2023-01-15T18:02:33.590Z,2023-01-15T18:02:33Z,3980480537,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497852871,2,32,1,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2023-01-15T18:02:33.590Z,2023-01-17T18:01:01Z,3980480549,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497852881,3,1,1,0,0,7catg5lpivcmpf4xhggh6d8rk,1,50,50,2023-01-15T18:02:33.670Z,2023-01-17T23:11:24Z,3982567769,178,,3980480587,56,Back,3980480593,212,5.9,3980480597,279,S,3980480591,141,55.1,3980480595,213,2.5,3980480589,140,45.4,,,,c270jephiphzfpig96q3jyz11,Paulinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497852889,4,1,1,0,2,7catg5lpivcmpf4xhggh6d8rk,1,45.7,53.9,2023-01-15T18:02:35.749Z,2023-01-17T23:11:28Z,3980480635,56,Back,3980480637,140,43.7,3980480643,213,4.4,3980480641,212,6.0,3982567821,178,,3980480639,141,45.7,,,,,,,eee0bq4dkdn91l81e8cf1zxpm,Pote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497852899,5,1,1,0,3,7catg5lpivcmpf4xhggh6d8rk,1,41.2,46.4,2023-01-15T18:02:37.254Z,2023-01-17T23:11:31Z,3980480687,140,33.9,3980480685,56,Back,3982567839,178,,3980480689,141,78.5,3980480691,212,23.1,3980480693,213,1.9,,,,,,,8jfjglichcg0py57hhri5v0fd,M. Ugarte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497852905,6,1,1,0,5,7catg5lpivcmpf4xhggh6d8rk,1,34,78.5,2023-01-15T18:02:39.280Z,2023-01-17T23:11:34Z,3982567869,178,,3980480729,56,Back,3980480735,212,11.4,3980480731,140,39.3,3980480737,213,1.1,3980480733,141,93.2,,,,,,,3fo37mb4cp6lb0e86hhiyvu8l,Matheus Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497852913,7,1,1,0,7,7catg5lpivcmpf4xhggh6d8rk,1,37.3,93.2,2023-01-15T18:02:40.643Z,2023-01-17T23:11:39Z,3982567925,178,,3980480783,141,84.5,3980480787,213,3.6,3980480779,56,Back,3980480781,140,25.9,3980480785,212,13.4,,,,,,,a9ozu4hjaylfr4299ceryskid,Nuno Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497852919,8,1,1,0,9,7catg5lpivcmpf4xhggh6d8rk,1,24.9,78.7,2023-01-15T18:02:43.260Z,2023-01-17T23:11:42Z,3980480819,213,4.4,3982567943,178,,3980480817,212,10.7,3980480813,140,21.5,3980480815,141,63.9,3980480811,56,Back,,,,,,,3fo37mb4cp6lb0e86hhiyvu8l,Matheus Reis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
