id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2533976353,1,34,16,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2023-04-15T18:30:04.849Z,2023-04-15T19:28:56Z,4192116519,59,"99, 18, 22, 8, 3, 5, 11, 46, 29, 25, 13, 2, 12, 14, 17, 19, 20, 30, 70, 87",4192116515,30,"d79vlrccz170hzdh35nhsf1ed, aavcrjkupdm4kglaae4fiqzmd, av5ng2yhu8q1lqacekmxci0ut, el6dn7kq3815p2zd4rppzzw7p, 58i5y98ceb55anpucpru7skb9, 37usxvspofewb3djlg67lp1hx, a6r2hqalh9ydoy2a8uv9rztux, cpmfjroqtibaahb1dr66pl2i1, 1nd8l0ofw9x779c0ufwbbo4ph, 8y0e1y90ih393h7zv7srfot79, 2j8v4lkqeg1bcqp77ezseo8vd, 3enoici51osego5k1w41fuaqd, 19s3ei718jouszy30uxli8xd5, xbk4zraauvq1cj1w5yz08kb9, 5m1fht9uevn186asz8awhxjah, f3zl8ymo5ttze20sffzk044q1, 4j6h9mgau5uaxlm589qlc6rjd, 2wl0uylmkzi2ls7v4amgaa1yi, cdir3jevzi4o8edgtfwu6jfca, 6mujhf0gz4dviowpil1bsyk4q",4192116525,194,58i5y98ceb55anpucpru7skb9,4192116517,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4192116521,130,8,4192116523,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4192116527,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4192363621,197,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533977659,1,34,16,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2023-04-15T18:32:34.935Z,2023-04-15T19:48:24Z,4192124095,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4192124099,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4192124087,30,"byk4cll4gdgp2n5ocxrb5j1t5, 4bsxzg78o3q9ot7bdngx9k5at, fkx4v1ux771bqn2g9bn3340k, 5k74ofoqel095frhszvdmxbhm, 3qbeypoqvj93wzbbqd1upx7f9, aw1gqkqpznn5ku7ca9hy2skix, c7vhfnn9bft0xk3lcx7komfze, 9kn7hs1nbc0rcismky05z6zmx, 4flr4t07s463ioooy31ov8fs9, 4h2rr9ltxtw6w2hgzm0tu5jo5, 36zf6j90b94qls6y50c1xgi51, 35y61220qzlyedki00vfmioyx, 3776gjrdiqfvch2wk5kde2w2x, 28029kae9ievarvyirn1cboix, caczqvr2l880frsd32nbjorxm, es75u7djersp0p9nefh0wx756, 2vsfek9vs6zdvueb4v23vrj6d, l8ewedihgtz1oz6ikm333mz8, 2r6ma23qtyq2l18m21eksjp7u, 257e4odsfzeqbdyhbqtpokbth",4192439623,197,13168,4192124089,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4192124091,59,"12, 95, 32, 20, 2, 4, 10, 6, 39, 11, 7, 9, 13, 19, 21, 22, 24, 44, 49, 74",4192124093,130,8,4192124097,194,4bsxzg78o3q9ot7bdngx9k5at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534022857,2,32,1,0,0,66bsnl0zjb7l5akwo00h0y5me,1,0,0,2023-04-15T19:31:55.930Z,2023-04-15T19:31:56Z,4192377143,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534022871,3,32,1,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2023-04-15T19:31:55.930Z,2023-04-15T19:31:57Z,4192377207,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534022899,3,1,1,0,0,66bsnl0zjb7l5akwo00h0y5me,1,50.1,50,2023-04-15T19:31:56.030Z,2023-04-15T20:27:22Z,4192377363,279,S,4192377361,213,3.7,4192377359,212,11.9,4192377355,140,40.4,4192377357,141,41.0,4192377353,56,Back,,,,,,,8y0e1y90ih393h7zv7srfot79,Otávio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534022921,4,1,1,0,4,66bsnl0zjb7l5akwo00h0y5me,0,42.3,41,2023-04-15T19:31:59.935Z,2023-04-15T20:27:24Z,4192377485,141,71.1,4192377489,213,0.5,4192377491,1,,4192377481,56,Center,4192377487,212,45.6,4192377483,140,81.1,4192377479,155,,,,,cpmfjroqtibaahb1dr66pl2i1,S. Eustáquio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534022919,4,44,1,0,5,cmbqc74mshg77ra7mywec2a6b,1,22.2,33.3,2023-04-15T19:32:01.826Z,2023-04-15T19:32:03Z,4192377477,285,,4192377549,233,5,4192377475,56,Back,,,,,,,,,,,,,,,,3qbeypoqvj93wzbbqd1upx7f9,Ygor Nogueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534022925,5,44,1,0,5,66bsnl0zjb7l5akwo00h0y5me,0,77.8,66.7,2023-04-15T19:32:01.827Z,2023-04-15T19:32:04Z,4192377631,233,4,4192377509,56,Center,4192377511,286,,,,,,,,,,,,,,,,,1nd8l0ofw9x779c0ufwbbo4ph,Toni Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534022937,5,1,1,0,6,cmbqc74mshg77ra7mywec2a6b,0,23.5,37.3,2023-04-15T19:32:02.384Z,2023-04-15T19:32:04Z,4192377573,3,,4192377585,212,3.6,4192377579,56,Back,4192377581,140,26.3,4192377587,213,0.6,4192377583,141,40.4,,,,,,,3qbeypoqvj93wzbbqd1upx7f9,Ygor Nogueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2534022953,6,44,1,0,7,cmbqc74mshg77ra7mywec2a6b,1,24.9,36.8,2023-04-15T19:32:03.929Z,2023-04-15T20:20:47Z,4192567689,233,462,4192377685,56,Back,4192377687,285,,,,,,,,,,,,,,,,,5k74ofoqel095frhszvdmxbhm,Adriano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
