id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/16/value,qualifier/17/value
2452432841,1,34,16,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2022-08-28T13:41:50.290Z,2022-08-28T14:35:14Z,3739934195,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3739934203,194,1zteujk5u3rpr028priato4bt,3739934201,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740102883,197,6595,3739934197,59,"31, 22, 5, 28, 15, 4, 7, 97, 11, 9, 14, 25, 74, 6, 8, 13, 17, 20, 91, 95",3739934205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3739934193,30,"6ddxujeb3873j5evwiz8n4wt0, ao3sbh3qpdxwb7vhzmaqnpqp6, bxfalki1fmd687uj0b8e0m0np, e0k7beubxdswouhw13td0nlk9, 1zteujk5u3rpr028priato4bt, 4ofpb9y2fqqr3d5cdfbl05c6h, dh4byuuh5mlyp147iq8cyunkl, 1u9sn1cu0pq16mina2q6d6dwp, 3vba6x3mml1ytp8tac9eggtpm, 5v4xejh2rnvkrqnvpz4eu2lt5, 7y5oyflivt56zuwoyzs2q20ru, 1whf50hjb4jhz9119qvtdov6d, d98j4asio4xrxcwmfg1ak95yi, ck3l6a262hves3v6nywarx9pm, 6jkfecnicg5ilzy44x7ld7u1h, dtxysky39b63q1rdmg9df7tn9, dkijqjb6nubobtobl4s2v8xxx, 76w964mdux2s3max2nlih6az8, f3tryo4j786kmubzmu4bl3rvt, 70hnojvt05azfjppu0bkroahg",3739934199,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452436221,1,34,16,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2022-08-28T13:46:43.311Z,2022-08-28T14:39:06Z,3739952959,130,4,3739952953,30,"90v8e01hdffgqom4pwhjl0mvp, 3776gjrdiqfvch2wk5kde2w2x, 5zbaigi2kpo930z50irfq11p1, d7k81mlt4vh9lex8fd10tigh5, aw1gqkqpznn5ku7ca9hy2skix, 7tih9jkxsbmeycu610gshs0h6, 61g2iu3hmixel62zp2yp29tqt, 13p5v8uisuijamyc9jd6uu784, 35y61220qzlyedki00vfmioyx, 17zcm8ikgfdl5o4c7o5yhulpm, 36zf6j90b94qls6y50c1xgi51, 4flr4t07s463ioooy31ov8fs9, e7daok5mn6xq7q5sfi5r13105, byk4cll4gdgp2n5ocxrb5j1t5, 9yzlho51tjytlzkdb6y20ozc9, 28029kae9ievarvyirn1cboix, 5k74ofoqel095frhszvdmxbhm, caczqvr2l880frsd32nbjorxm, 2r6ma23qtyq2l18m21eksjp7u, 4bsxzg78o3q9ot7bdngx9k5at",3739952957,59,"99, 13, 16, 80, 4, 43, 8, 10, 9, 37, 7, 39, 3, 12, 17, 19, 20, 21, 49, 95",3739952961,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3739952963,194,61g2iu3hmixel62zp2yp29tqt,3739952955,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740084851,197,5438,3739952965,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452464427,2,32,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2022-08-28T14:31:18.395Z,2022-08-30T18:58:53Z,3740099523,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452464415,2,32,1,0,0,cmbqc74mshg77ra7mywec2a6b,1,0,0,2022-08-28T14:31:18.395Z,2022-08-28T14:31:18Z,3740099461,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452464455,3,1,1,0,0,cmbqc74mshg77ra7mywec2a6b,1,50.1,50,2022-08-28T14:31:18.735Z,2022-08-31T04:06:18Z,3740099649,141,41.9,3740099655,279,S,3740099647,140,40.5,3740099645,56,Back,3746465209,178,,3740099671,189,,3740099653,213,3.6,3740099651,212,11.5,13p5v8uisuijamyc9jd6uu784,Ricardinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452464473,4,1,1,0,2,cmbqc74mshg77ra7mywec2a6b,0,43.9,42.8,2022-08-28T14:31:20.494Z,2022-08-31T04:06:28Z,3740099747,1,,3746465281,178,,3740099741,141,83.6,3740099743,212,43.3,3740099735,155,,3740099737,56,Left,3740099739,140,75.5,3740099745,213,0.7,61g2iu3hmixel62zp2yp29tqt,Anderson Carvalho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452464477,3,44,1,0,4,5c0sf1eaipcxvdw9o22of2jdp,1,25.9,18.5,2022-08-28T14:31:23.329Z,2022-08-31T08:28:51Z,3740099763,56,Back,3740099863,233,5,3740099765,285,,,,,,,,,,,,,,,,,dh4byuuh5mlyp147iq8cyunkl,Ivo Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452464491,5,44,1,0,4,cmbqc74mshg77ra7mywec2a6b,0,74.1,81.5,2022-08-28T14:31:23.330Z,2022-08-31T04:07:19Z,3740099823,286,,3740099821,56,Left,3740099869,233,3,,,,,,,,,,,,,,,,36zf6j90b94qls6y50c1xgi51,Allano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452464483,4,1,1,0,5,5c0sf1eaipcxvdw9o22of2jdp,0,26.4,20.8,2022-08-28T14:31:23.402Z,2022-08-31T08:28:51Z,3740099787,141,25.0,3746465825,178,,3740099791,213,0.4,3740099783,56,Back,3740099789,212,7.5,3740099781,3,,3740099785,140,33.0,,,,dh4byuuh5mlyp147iq8cyunkl,Ivo Rodrigues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452464565,6,1,1,0,9,cmbqc74mshg77ra7mywec2a6b,1,61.8,77.5,2022-08-28T14:31:28.104Z,2022-08-31T04:07:40Z,3740100205,141,69.9,3746465981,178,,3740100207,212,26.4,3740100201,56,Back,3740100203,140,37.1,3740100209,213,3.3,,,,,,,d7k81mlt4vh9lex8fd10tigh5,Victor Bobsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
