id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2485449517,1,34,16,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2022-11-13T17:00:38.846Z,2022-11-13T18:01:38Z,3914905031,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3914905035,130,13,3914905029,30,"4k2wic25asdlmuqr17e3s6nkl, 28lucwbes9q95s1j4mgy2s50q, 58r7rr6rqtji5m0bkdxmwqqui, dcj62hda8r17fx396ks6w79p1, 6wjwijfj7i2vvlsxzyzfb2cwl, 3uvek737jr8909is4vi1d9nxm, 64upo0p7ealjcpfkldjiqlvit, 613xzggyqa0ugkmu2u6oxkmp5, cwd95dwww2bs1d9wzjpw3ydx, 53unfq55ouhqni5jbl07fyqc5, 9cju5a96bsq9fqhbl5ub6nisp, 1vw6okufgzi8d2rx2yx3vuhux, 6uubxxvwp558g19wxmprfqtw5, 5y720qmabg25g9wbmeqlh2a51, 7btjqixepiu3ykopyvg3k6itx, 3sxd2j3a9d2bukfeu5y9824tl, dqpkkgodtwn11fgpq2c3tlqz9, 2ban1f798o92hq593c8a0nv11, ag5ozuf1o3ixkdrdb39g9dasp, 4jqmdmc0za8pdpz9ne875uzmx",3914905043,194,6wjwijfj7i2vvlsxzyzfb2cwl,3915153255,197,7108,3914905033,59,"33, 42, 5, 3, 13, 4, 8, 88, 11, 7, 10, 2, 6, 9, 16, 17, 19, 27, 68, 70",3914905039,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3914905045,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485449959,1,34,16,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2022-11-13T17:01:15.898Z,2022-11-13T20:03:01Z,3914907197,59,"1, 77, 12, 10, 26, 19, 7, 21, 23, 8, 17, 9, 16, 20, 24, 28, 31, 40, 44, 73",3914907195,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3914907205,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3914907201,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3914907193,30,"1tkq6knbo350vy0o8aieijmxh, 9m66crpktao9g80wc8zi9y5ex, c9lykzcr3q7hr50ui74iqastm, 2b4soa2ddbbmdwm0ur760jh05, 8hyaww1d0p9871u8o8zk8f9at, z6po5y26nap863d68tcekhqt, bfy36wqp37utkkbl13k7s99m1, 1rdadi8uuu161wj8o7gbcn8wl, 1bpopqr7cuikh6s6sk4ij31ed, 3845lzar855rp3zp4stgmgul1, 47z2phkn1i9z8p32zqlu53j6x, 4x9vmtldr4xz9v58z7hgv00oa, 1w926qtyntprx5ommoaa5nhed, 7r96u3b7t46s0kg5t5qew3tnt, 5iukh17o9lnichmbh3ta8amwa, 5jsb62u7jx2vtblnbtxvttq3u, chwv6iayowufvu6hb1fg6ydwp, brdhlpiyg3nk936bqe50bqx1x, 530nhsyjmbwcpb8536pgwbld5, 361pxz5e33ydl2c3t63a9kzc9",3914907199,130,8,3914907203,194,2b4soa2ddbbmdwm0ur760jh05,3915150895,197,16917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485496079,2,32,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2022-11-13T18:01:29.446Z,2022-11-13T18:01:29Z,3915158983,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485496089,2,32,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2022-11-13T18:01:29.446Z,2022-11-15T11:44:56Z,3915159035,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485496113,3,1,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,50,49.9,2022-11-13T18:01:29.503Z,2022-11-15T15:22:04Z,3915159177,279,S,3915159169,140,44.5,3915159175,213,2.9,3915159171,141,52.3,3917705347,178,,3915159167,56,Back,3915159173,212,6.0,,,,1bpopqr7cuikh6s6sk4ij31ed,Héctor Hernández,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485496143,4,1,1,0,1,alyavx3ad35bp1xuwmqk7sgev,1,44.6,48.7,2022-11-13T18:01:31.421Z,2022-11-15T15:30:44Z,3915159337,140,35.2,3915159343,213,4.4,3915159335,56,Back,3915159341,212,28.2,3917709403,178,,3915159339,141,9.9,,,,,,,2b4soa2ddbbmdwm0ur760jh05,João Teixeira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485496193,5,1,1,0,5,alyavx3ad35bp1xuwmqk7sgev,1,36,9.7,2022-11-13T18:01:34.976Z,2022-11-15T15:30:47Z,3915159551,1,,3917709443,178,,3915159543,141,65.4,3915159539,56,Back,3915159547,213,1.8,3915159545,212,38.7,3915159541,140,28.3,,,,9m66crpktao9g80wc8zi9y5ex,João Correia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485496209,6,1,1,0,8,alyavx3ad35bp1xuwmqk7sgev,1,28.5,65.4,2022-11-13T18:01:38.061Z,2022-11-15T15:30:50Z,3915159651,56,Back,3915159655,141,92.2,3915159657,212,18.4,3915159653,140,31.0,3917709467,178,,3915159659,213,1.4,,,,,,,z6po5y26nap863d68tcekhqt,S. Vitória,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485496277,7,1,1,0,11,alyavx3ad35bp1xuwmqk7sgev,1,31,92.2,2022-11-13T18:01:40.841Z,2022-11-15T15:30:53Z,3915160019,213,4.4,3915160013,140,20.9,3915160021,1,,3915160017,212,40.4,3915160011,56,Back,3917709477,178,,3915160015,141,34.9,,,,c9lykzcr3q7hr50ui74iqastm,Sandro Cruz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485496317,8,1,1,0,17,alyavx3ad35bp1xuwmqk7sgev,1,23.7,31.6,2022-11-13T18:01:46.546Z,2022-11-15T15:30:55Z,3917709499,178,,3915160185,141,7.3,3915160181,56,Back,3915160187,212,17.4,3915160189,213,5.0,3915160183,140,29.0,,,,,,,8hyaww1d0p9871u8o8zk8f9at,Carlos Ponck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
