id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/11/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2531176903,1,34,16,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2023-04-09T16:00:27.360Z,2023-04-09T17:11:25Z,4177157229,30,"ag5ozuf1o3ixkdrdb39g9dasp, 6uubxxvwp558g19wxmprfqtw5, 58r7rr6rqtji5m0bkdxmwqqui, dqpkkgodtwn11fgpq2c3tlqz9, d92r3s9hlaq3k56b503ovjfmd, dcj62hda8r17fx396ks6w79p1, 2ban1f798o92hq593c8a0nv11, 64upo0p7ealjcpfkldjiqlvit, cwd95dwww2bs1d9wzjpw3ydx, 2htuct5gfuihhhvx9trpkmj56, 9cju5a96bsq9fqhbl5ub6nisp, 39a3ez9nwq3q2gysqilq9d9ii, 1vw6okufgzi8d2rx2yx3vuhux, 3uvek737jr8909is4vi1d9nxm, c9mr6s9gur4jxrinhj5blu0vd, bxbvbqfhiv1hivt3ttxum1uy1, 7btjqixepiu3ykopyvg3k6itx, 5djfxgxa12bypv4g5zk5rit0q, 4k2wic25asdlmuqr17e3s6nkl, edk9jemtelz51uoob4quyd4kq",4177157237,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4177157233,59,"68, 6, 5, 19, 15, 3, 27, 8, 11, 24, 10, 1, 2, 4, 12, 14, 16, 30, 33, 99",4177157235,130,13,4177157239,194,d92r3s9hlaq3k56b503ovjfmd,4177318575,197,7108,4177157231,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4177157241,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531177865,1,34,16,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2023-04-09T16:02:31.069Z,2023-04-09T18:05:52Z,4177162835,59,"1, 47, 11, 2, 4, 26, 15, 28, 79, 10, 17, 3, 5, 12, 16, 18, 19, 25, 32, 33",4177162839,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4177162833,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4177162843,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4177162837,130,13,4177515341,197,12815,4177162841,194,a9htjxrpgqlcv577x4kvlkh5h,4177162831,30,"342kh2ue733edf9q7s0a2edat, 10k53pv13mw9hzllv70umgzbp, a9ozu4hjaylfr4299ceryskid, 3fo37mb4cp6lb0e86hhiyvu8l, a9htjxrpgqlcv577x4kvlkh5h, 38339rg6eqprxc0w976gozjmc, 8jfjglichcg0py57hhri5v0fd, eee0bq4dkdn91l81e8cf1zxpm, 2m5jzeksbet8ltn3shk2exox6, 6x3qvqsp90kjsps3e4wx0oxqt, 83ekq1r2omnsazmp41pio8s89, 6hnzgiw8h1itz9l2j3sb6oeeh, d9i8y5vlymc2yggwxrax8wcbu, cuc7gtr9q0465wxmzgq834ag9, a7twqgp3fp43y1aoybfe2i8d1, 6cx5c6bzp1hq6c1vui53mxzx0, 3e8mxxfs5q7gt4lg2beqpkwyd, cayu6id8xmj67n29s2x3bsbxm, 9qp4xdwqq8odu20tto0zztz4k, 1xxhkr7nex5mjc9hrxm100lih",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531207543,2,32,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,0,0,2023-04-09T17:01:42.081Z,2023-04-09T17:01:42Z,4177323675,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531207555,2,32,1,0,0,7catg5lpivcmpf4xhggh6d8rk,1,0,0,2023-04-09T17:01:42.081Z,2023-04-09T17:01:43Z,4177323745,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531207579,3,1,1,0,0,ewsf6evtguu9j7k6js4tlgl89,1,50,50,2023-04-09T17:01:42.181Z,2023-04-09T17:01:45Z,4177323867,279,S,4177323863,212,20.8,4177323859,140,30.2,4177323857,56,Back,4177323865,213,3.1,4177323861,141,50.1,,,,,,,cwd95dwww2bs1d9wzjpw3ydx,Rafael Martins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531207597,4,1,1,0,3,ewsf6evtguu9j7k6js4tlgl89,1,30,50.1,2023-04-09T17:01:45.215Z,2023-04-09T17:01:47Z,4177323979,56,Back,4177323981,140,31.9,4177323985,212,11.3,4177323987,213,1.4,4177323983,141,66.4,,,,,,,,,,d92r3s9hlaq3k56b503ovjfmd,Fernando Varela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531207619,5,1,1,0,4,ewsf6evtguu9j7k6js4tlgl89,1,31.9,67.9,2023-04-09T17:01:46.943Z,2023-04-09T17:01:49Z,4177324139,212,18.1,4177324135,140,37.5,4177324137,141,93.0,4177324131,56,Back,4177324141,213,1.2,,,,,,,,,,dqpkkgodtwn11fgpq2c3tlqz9,N. Zolotić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531207637,6,1,1,0,6,ewsf6evtguu9j7k6js4tlgl89,0,37.5,93.2,2023-04-09T17:01:48.990Z,2023-04-09T17:01:51Z,4177324235,140,48.3,4177324239,212,12.2,4177324237,141,86.5,4177324233,56,Back,4177324241,213,5.9,,,,,,,,,,58r7rr6rqtji5m0bkdxmwqqui,Leonardo Lelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531233317,543,8,1,0,10,7catg5lpivcmpf4xhggh6d8rk,1,53.3,22.5,2023-04-09T17:01:52.081Z,2023-04-09T17:50:40Z,4177465831,56,Center,,,,,,,,,,,,,,,,,,,,,,eee0bq4dkdn91l81e8cf1zxpm,Pote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2531207665,3,49,1,0,11,7catg5lpivcmpf4xhggh6d8rk,1,51.6,18.2,2023-04-09T17:01:53.494Z,2023-04-09T17:50:42Z,,,,,,,,,,,,,,,,,,,,,,,,,eee0bq4dkdn91l81e8cf1zxpm,Pote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
