id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/10/value,keyPass,qualifier/12/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value,qualifier/16/value
2494102491,1,34,16,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2022-12-30T16:08:44.346Z,2022-12-30T17:20:49Z,3960688759,130,7,3960688765,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3960733073,197,2933,3960688763,194,2b4soa2ddbbmdwm0ur760jh05,3960688755,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3960688753,30,"1tkq6knbo350vy0o8aieijmxh, 9m66crpktao9g80wc8zi9y5ex, cmxmyld8l4gjy03zxskyxf5gq, 1rdadi8uuu161wj8o7gbcn8wl, z6po5y26nap863d68tcekhqt, 2nod7tpovdjb85efh2sogijth, 1w926qtyntprx5ommoaa5nhed, 3845lzar855rp3zp4stgmgul1, awu6zsiy6l8e3p1athc733jkl, 2b4soa2ddbbmdwm0ur760jh05, bfy36wqp37utkkbl13k7s99m1, 3vqaqxwvifjooxls26kxe1ecp, 47z2phkn1i9z8p32zqlu53j6x, 7r96u3b7t46s0kg5t5qew3tnt, 8hyaww1d0p9871u8o8zk8f9at, 5jsb62u7jx2vtblnbtxvttq3u, chwv6iayowufvu6hb1fg6ydwp, brdhlpiyg3nk936bqe50bqx1x, 530nhsyjmbwcpb8536pgwbld5, 361pxz5e33ydl2c3t63a9kzc9",3960688757,59,"1, 77, 5, 21, 19, 3, 16, 8, 95, 10, 7, 14, 17, 20, 26, 28, 31, 40, 44, 73",3960688761,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494102521,1,34,16,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2022-12-30T16:08:52.074Z,2022-12-30T17:30:43Z,3960688957,130,8,3960734005,197,6595,3960688951,30,"6ddxujeb3873j5evwiz8n4wt0, ck3l6a262hves3v6nywarx9pm, d98j4asio4xrxcwmfg1ak95yi, 1u9sn1cu0pq16mina2q6d6dwp, 1zteujk5u3rpr028priato4bt, 4ofpb9y2fqqr3d5cdfbl05c6h, bvlwv6fwawqnv446zj516y4no, 48li2iey0m9b8h8cvs6py2iy2, 5fcx7aiflhvguztjw8mp53b9x, 76w964mdux2s3max2nlih6az8, arpoe2kjx9pbacgpuv17yl33d, 9hqhder3adhjjovepuv4yst79, zj7p9urhzbk3naybai223js9, bxfalki1fmd687uj0b8e0m0np, dh4byuuh5mlyp147iq8cyunkl, 7y5oyflivt56zuwoyzs2q20ru, dkijqjb6nubobtobl4s2v8xxx, 1whf50hjb4jhz9119qvtdov6d, e0k7beubxdswouhw13td0nlk9, 6vvg5on86k2ldhs4pn2kua0vd",3960688961,194,1zteujk5u3rpr028priato4bt,3960688959,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3960688963,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3960688953,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3960688955,59,"31, 6, 74, 97, 15, 4, 77, 12, 29, 20, 10, 1, 2, 5, 7, 14, 17, 25, 28, 32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494110743,2,32,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2022-12-30T17:01:45.855Z,2022-12-30T17:01:47Z,3960735785,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494110739,2,32,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2022-12-30T17:01:45.855Z,2023-01-01T19:42:51Z,3960735779,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494110757,3,1,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,49.8,49,2022-12-30T17:01:45.876Z,2023-01-02T06:56:33Z,3960735843,279,S,3960735837,141,46.9,3960735833,56,Back,3960735835,140,48.8,3963267751,178,,3960735841,213,4.1,3960735839,212,1.8,,,,5fcx7aiflhvguztjw8mp53b9x,J. Cádiz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494110761,4,1,1,0,1,5c0sf1eaipcxvdw9o22of2jdp,1,48.8,46.9,2022-12-30T17:01:47.629Z,2023-01-02T06:56:38Z,3960735861,213,4.1,3963267789,178,,3960735857,141,27.5,3960735855,140,40.3,3960735853,56,Back,3960735859,212,15.9,,,,,,,76w964mdux2s3max2nlih6az8,Gustavo Sá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494110767,5,1,1,0,4,5c0sf1eaipcxvdw9o22of2jdp,1,41.2,19.6,2022-12-30T17:01:49.911Z,2023-01-02T06:56:47Z,3963267867,178,,3960735887,141,9.9,3960735891,213,5.9,3960735885,140,56.3,3960735883,56,Right,3960735889,212,17.2,,,,,,,1zteujk5u3rpr028priato4bt,Riccieli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494112803,76,1,1,0,6,5c0sf1eaipcxvdw9o22of2jdp,1,56.6,2.7,2022-12-30T17:01:52.017Z,2023-01-02T06:56:55Z,3960747539,212,10.6,3960747541,213,1.0,3960747535,140,61.8,3960747533,56,Right,3960747537,141,16.1,3963267925,178,,,,,,,,ck3l6a262hves3v6nywarx9pm,Alexandre Penetra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494110769,6,50,1,0,6,5c0sf1eaipcxvdw9o22of2jdp,1,61,19.2,2022-12-30T17:01:52.774Z,2023-01-02T06:57:08Z,3960735897,286,,3960735895,56,Right,3960735915,233,3,,,,,,,,,,,,,,,,bvlwv6fwawqnv446zj516y4no,Pablo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2494110759,3,7,1,0,7,alyavx3ad35bp1xuwmqk7sgev,1,39,80.8,2022-12-30T17:01:53.468Z,2023-01-02T06:57:12Z,3960735905,233,6,3960735849,56,Back,3963268023,178,,3960735851,285,,3961610183,384,,,,,,,,,,,1rdadi8uuu161wj8o7gbcn8wl,Guima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
