id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,qualifier/16/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist
2476952233,1,34,16,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2022-10-24T18:17:31.771Z,2022-10-24T19:12:34Z,3870494085,197,377,3870301137,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870301141,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870301131,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3870301135,130,12,3870301129,30,"ckog922pr9vqy2ry4m7o5ag2d, degqtleco9n5tlt0yz3q5t9ii, dy434rgboexxvq6tgr8gwef9x, 8uxdtdynfnmlx0ro5iounze1, 75znincjirp1z8bcw9nhztxat, 110maz3wmyhfk670un6ieloet, c38u6t2mr5f441tcuxlwpulpm, e6ztipndwfp33c6j7yebsyx91, 79mo2l821d5zq6dyrg9qkpf4l, 433k61rvy0ay7lcsyxd918r8p, 912y0yoa524suow0wvpbtwq1h, 5881z0950eh6003uukdwkuql0, 36bi849x9anyfayunuudgcdbe, 9sfjkb99h1b1obdmedrecag9h, 55r9zkckjjq4txriw3jhguwnp, cvqqwbdd3dttekkcooh7i80h6, 9kvoxdbnb5kt2dzy7kr0s7v11, apjgf0d7fwwdsb06vdlsjyc45, djqbki8jap3rp8l0izzly9tzo, 2rw2a005v9ehuopm1hf87uvah",3870301133,59,"18, 20, 24, 4, 33, 23, 15, 6, 22, 19, 30, 1, 3, 8, 9, 13, 21, 27, 77, 93",3870301139,194,e6ztipndwfp33c6j7yebsyx91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476954941,1,34,16,0,0,co1i764h6b02husae71w6scs8,1,0,0,2022-10-24T18:21:39.217Z,2022-10-24T19:19:40Z,3870316611,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870316615,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3870484889,197,3750,3870316607,59,"32, 3, 14, 22, 24, 18, 6, 38, 8, 99, 70, 1, 11, 19, 20, 27, 28, 35, 77, 78",3870316613,194,6gmfcfqd1o54zyepd9587nlqt,3870316609,130,18,3870316603,30,"cpf5wp34pu80qzvcwakjhh905, db6kkpr65v0zlrlx1cr5almcq, f29gq7ixyjd9m22yhmb7c7oq1, cgtz4fa0mz9poi4ju8bjtbwiy, 52407m29h74ziyt19jty0od7t, 6gmfcfqd1o54zyepd9587nlqt, 9lwpckbeu2ymqlmq6288bdjvt, dvxwdpad8a1iatnwcpqvy3m5l, 9788pzgd21d94wye06ryneoyd, awicgdcslcljo1mbmvochqlwq, 1zokl2zp7gtwlmj37kps6lnmx, eaf4b3le808xp7j4rejomxf55, 6c09pz2awc8uk97ih38dp6609, 2kvb94ocyvs7x1sbq73rr22nd, 1c0ymbcylpp4ty7n34inspffu, 3q1nhus52rnkt6nwvqmpb1ct0, aa7j9iapqibvw2xfjpuy4say2, 7apd6saozsmkhkm7ew06a5a6t, 7su7fdl13e1v7rvbcdr9n95ux, 9fmhfunfd0d4ca0addj6vtdk9",3870316605,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476990803,2,32,1,0,0,co1i764h6b02husae71w6scs8,1,0,0,2022-10-24T19:16:14.805Z,2022-10-24T19:16:14Z,3870506737,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476990807,2,32,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2022-10-24T19:16:14.805Z,2022-10-27T00:55:10Z,3870506763,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476990825,3,1,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,49.7,50.1,2022-10-24T19:16:14.822Z,2022-10-27T04:27:18Z,3870506857,279,S,3870506849,140,45.6,3874595855,178,,3870506847,56,Back,3870506853,212,4.3,3870506851,141,49.3,3870506855,213,3.3,,,,433k61rvy0ay7lcsyxd918r8p,A. Yakubu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476990841,4,1,1,0,1,cgvbluoerzbzcr7aaxge3wkcv,1,45.3,50.1,2022-10-24T19:16:15.946Z,2022-10-27T04:27:26Z,3874596017,178,,3870506941,140,40.7,3870506945,212,14.8,3870506943,141,70.6,3870506939,56,Back,3870506947,213,1.9,,,,,,,912y0yoa524suow0wvpbtwq1h,A. Samaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476990873,5,1,1,0,2,cgvbluoerzbzcr7aaxge3wkcv,1,40.6,70.5,2022-10-24T19:16:17.752Z,2022-10-27T04:27:30Z,3870507161,212,15.0,3870507155,56,Back,3870507163,213,2.1,3870507159,141,89.7,3874596057,178,,3870507157,140,33.6,,,,,,,e6ztipndwfp33c6j7yebsyx91,Guga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476990925,6,1,1,0,4,cgvbluoerzbzcr7aaxge3wkcv,1,33.6,89.7,2022-10-24T19:16:19.660Z,2022-10-27T04:27:35Z,3870507491,56,Back,3870507495,141,56.9,3870507493,140,38.6,3870507499,213,4.9,3870507497,212,22.9,3874596091,178,,,,,,,,dy434rgboexxvq6tgr8gwef9x,Pedro Amaral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477637809,940,3,1,0,6,cgvbluoerzbzcr7aaxge3wkcv,0,37.2,60.8,2022-10-24T19:16:21.218Z,2022-10-27T04:27:47Z,3873902873,464,,3874596199,178,,3873902875,467,dvxwdpad8a1iatnwcpqvy3m5l,3873902871,286,,3873902869,56,Back,,,,,,,,,,912y0yoa524suow0wvpbtwq1h,A. Samaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2476990927,7,4,1,0,7,cgvbluoerzbzcr7aaxge3wkcv,1,39.5,57.6,2022-10-24T19:16:21.884Z,2022-10-27T04:27:51Z,3870507507,13,,3870507515,286,,3870507511,56,Back,3870507513,152,,3870507581,233,3,3870507509,295,,,,,,,,912y0yoa524suow0wvpbtwq1h,A. Samaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
