id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId
2444949601,1,34,16,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2022-08-12T18:27:36.607Z,2022-08-12T19:14:46Z,3700391103,197,13139,3700208537,30,"5nlzolv5bg03eiopba58rs251, dq41kziilg4jki9erxel9d3ze, c8s3kzk7jpdpp5ctzqkzh9vit, 33qmom9yrc1ft1cte9qju1djp, 8t404ou7dw8vprk9h7jjuqjt, 2psarhoauswcdof4nb22sw7ah, 5kcytruttikppbpkeg9rhd4gl, 8gkc9l566rjg7nifxwsq5vdud, cnriqwh17pqgz7p2gt74uar6c, 43xutn1unln5o3gwx3cl4lo0l, 5l9ilx0kwbny81lykqksoz9w5, 2apqk2zobhs8ypnaw0bzkch9m, e5xv1rmy69kwuxjxin653ojqh, c3pxiexbciif7uu845ivx5hhx, 23d0t7gqlra3jkskn18bh752i, 51rs6ozeux61yyjfk9ci86311, 2irms3moqosywa14re7n2awh5, f3wwl40dd2xm8oeof6n6y7rhl, 3cgw9le7p3c1jiayb7m8frxpm, 5bo84b7398nyv87ztwd8wxh3p",3700208549,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3700208545,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3700208541,59,"1, 70, 6, 10, 3, 4, 45, 8, 99, 23, 21, 7, 9, 12, 14, 15, 18, 25, 76, 88",3700208539,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3700208547,194,5l9ilx0kwbny81lykqksoz9w5,3700208543,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444949647,1,34,16,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2022-08-12T18:27:44.183Z,2022-08-12T19:14:58Z,3700208831,194,ck3l6a262hves3v6nywarx9pm,3700208829,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3700208825,59,"31, 22, 5, 12, 21, 6, 28, 8, 9, 91, 14, 25, 1, 3, 11, 17, 20, 66, 95, 97",3700392205,197,6595,3700208833,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3700208821,30,"6ddxujeb3873j5evwiz8n4wt0, ao3sbh3qpdxwb7vhzmaqnpqp6, bxfalki1fmd687uj0b8e0m0np, 48li2iey0m9b8h8cvs6py2iy2, cu7kz508a3wm8d5fypmrzxnmd, ck3l6a262hves3v6nywarx9pm, e0k7beubxdswouhw13td0nlk9, 6jkfecnicg5ilzy44x7ld7u1h, 5v4xejh2rnvkrqnvpz4eu2lt5, f3tryo4j786kmubzmu4bl3rvt, 7y5oyflivt56zuwoyzs2q20ru, 1whf50hjb4jhz9119qvtdov6d, 9hqhder3adhjjovepuv4yst79, dlek4e9wgzy10smm0ph933nu2, 3vba6x3mml1ytp8tac9eggtpm, dkijqjb6nubobtobl4s2v8xxx, 76w964mdux2s3max2nlih6az8, 2qt1rbwg9tjigtsbxw8mgdxey, 70hnojvt05azfjppu0bkroahg, 1u9sn1cu0pq16mina2q6d6dwp",3700208827,130,4,3700208823,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444985819,2,32,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,0,0,2022-08-12T19:17:01.164Z,2022-08-12T19:17:01Z,3700403681,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444985829,2,32,1,0,0,5c0sf1eaipcxvdw9o22of2jdp,1,0,0,2022-08-12T19:17:01.164Z,2022-08-14T22:00:06Z,3700403723,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444985895,3,1,1,0,0,26t6lvlpql4w5wu1ih73qpy36,1,49.9,49.6,2022-08-12T19:17:01.197Z,2022-08-14T22:08:20Z,3700404087,56,Back,3708359609,178,,3700404093,212,12.7,3700404097,213,3.1,3700404101,279,S,3700404089,140,37.8,3700404091,141,50.3,,,,cnriqwh17pqgz7p2gt74uar6c,Vítinha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444985917,4,1,1,0,2,26t6lvlpql4w5wu1ih73qpy36,0,37.8,49.3,2022-08-12T19:17:03.858Z,2022-08-14T22:08:23Z,3700404229,212,69.2,3700404225,140,100.0,3700404231,213,6.0,3708359809,178,,3700404233,1,,3700404227,141,18.0,3700404221,155,,3700404223,56,Right,33qmom9yrc1ft1cte9qju1djp,André Horta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444985913,3,5,1,0,6,5c0sf1eaipcxvdw9o22of2jdp,1,-1,86,2022-08-12T19:17:07.891Z,2022-08-14T22:08:29Z,3700404185,346,,3700404297,233,5,3700404183,56,Back,,,,,,,,,,,,,,,,bxfalki1fmd687uj0b8e0m0np,Rúben Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444985923,5,5,1,0,6,26t6lvlpql4w5wu1ih73qpy36,0,101,14,2022-08-12T19:17:07.891Z,2022-08-14T22:08:29Z,3700404305,233,3,3700404257,346,,3700404255,56,Right,,,,,,,,,,,,,,,,33qmom9yrc1ft1cte9qju1djp,André Horta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444986411,4,1,1,0,31,5c0sf1eaipcxvdw9o22of2jdp,0,2.7,45.2,2022-08-12T19:17:33.129Z,2022-08-14T22:08:38Z,3700406841,213,6.2,3700406839,212,60.5,3700406835,140,60.0,3700406843,1,,3700406831,124,,3700406845,74,,3700406837,141,36.3,3700406833,56,Center,6ddxujeb3873j5evwiz8n4wt0,Luíz Júnior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444986431,6,49,1,0,34,26t6lvlpql4w5wu1ih73qpy36,1,41.1,62.7,2022-08-12T19:17:35.791Z,2022-08-14T22:08:41Z,,,,,,,,,,,,,,,,,,,,,,,,,2psarhoauswcdof4nb22sw7ah,S. Niakaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444986539,7,1,1,0,38,26t6lvlpql4w5wu1ih73qpy36,1,31.7,84.8,2022-08-12T19:17:39.769Z,2022-08-14T22:09:36Z,3700407583,140,6.2,3700407581,56,Back,3708363191,178,,3700407587,212,28.3,3700407589,213,3.5,3700407585,141,71.5,,,,,,,2psarhoauswcdof4nb22sw7ah,S. Niakaté,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444986599,8,1,1,0,43,26t6lvlpql4w5wu1ih73qpy36,1,8.5,64.3,2022-08-12T19:17:44.454Z,2022-08-14T22:09:40Z,3700407895,213,5.0,3700407887,56,Back,3708363351,178,,3700407893,212,28.2,3700407891,141,24.3,3700407889,140,15.7,,,,,,,5nlzolv5bg03eiopba58rs251,Matheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444986685,9,1,1,0,47,26t6lvlpql4w5wu1ih73qpy36,1,20.9,23,2022-08-12T19:17:48.325Z,2022-08-14T22:09:44Z,3700408325,212,14.8,3700408319,56,Back,3708363465,178,,3700408323,141,4.6,3700408327,213,5.3,3700408321,140,28.5,,,,,,,8t404ou7dw8vprk9h7jjuqjt,Vítor Tormena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444986753,10,1,1,0,48,26t6lvlpql4w5wu1ih73qpy36,1,28.5,4.6,2022-08-12T19:17:49.550Z,2022-08-14T22:09:57Z,3700408657,212,17.0,3700408649,140,14.3,3700408651,141,16.7,3700408659,213,2.6,3700408647,56,Back,3708364143,178,,,,,,,,dq41kziilg4jki9erxel9d3ze,Fabiano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444986795,11,1,1,0,53,26t6lvlpql4w5wu1ih73qpy36,0,24.3,9.1,2022-08-12T19:17:54.693Z,2022-08-14T22:10:01Z,3708364389,178,,3700408865,56,Center,3700408873,213,0.5,3700408869,141,37.3,3700408871,212,37.4,3700408867,140,54.9,3700408863,155,,3700408875,1,,8t404ou7dw8vprk9h7jjuqjt,Vítor Tormena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444986805,5,8,1,0,56,5c0sf1eaipcxvdw9o22of2jdp,1,59.4,59.9,2022-08-12T19:17:57.247Z,2022-08-14T22:10:05Z,3704645753,384,,3708364541,178,,3700408913,56,Center,,,,,,,,,,,,,,,,cu7kz508a3wm8d5fypmrzxnmd,D. Batubinsika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444986831,6,49,1,0,58,5c0sf1eaipcxvdw9o22of2jdp,1,63.1,58.7,2022-08-12T19:17:59.260Z,2022-08-14T22:10:16Z,,,,,,,,,,,,,,,,,,,,,,,,,6jkfecnicg5ilzy44x7ld7u1h,André Simões,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444986885,7,1,1,0,58,5c0sf1eaipcxvdw9o22of2jdp,1,65.2,57.5,2022-08-12T19:17:59.675Z,2022-08-14T22:10:21Z,3700409371,213,4.6,3700409369,212,13.4,3700409365,140,64.3,3700409363,56,Center,3700409367,141,37.9,3708365305,178,,,,,,,,6jkfecnicg5ilzy44x7ld7u1h,André Simões,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444986977,8,1,1,1,0,5c0sf1eaipcxvdw9o22of2jdp,1,66.1,32.4,2022-08-12T19:18:01.791Z,2022-08-14T22:10:29Z,3708365697,178,,3700409907,140,61.9,3700409917,213,4.4,3700409905,56,Right,3700409911,141,11.1,3700409913,212,15.1,,,,,,,f3tryo4j786kmubzmu4bl3rvt,Heriberto Tavares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444987027,9,1,1,1,6,5c0sf1eaipcxvdw9o22of2jdp,1,76.7,7.1,2022-08-12T19:18:07.870Z,2022-08-14T22:10:42Z,3700410137,56,Center,3700410145,213,1.5,3700410143,212,9.7,3700410139,140,77.7,3708366073,178,,3700410141,141,21.3,,,,,,,ao3sbh3qpdxwb7vhzmaqnpqp6,H. De La Fuente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444987063,10,1,1,1,8,5c0sf1eaipcxvdw9o22of2jdp,1,77.3,18.2,2022-08-12T19:18:09.747Z,2022-08-14T22:10:47Z,3700410339,213,5.2,3700410335,141,2.8,3708366319,178,,3700410337,212,11.9,3700410331,56,Right,3700410333,140,82.6,,,,,,,5v4xejh2rnvkrqnvpz4eu2lt5,Álex Millán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444987133,11,1,1,1,10,5c0sf1eaipcxvdw9o22of2jdp,1,82.8,2.8,2022-08-12T19:18:11.769Z,2022-08-14T22:10:53Z,3708366567,178,,3700410779,213,3.0,3700410767,56,Right,3700410771,141,5.0,3700410769,140,70.3,3700410773,212,13.2,,,,,,,f3tryo4j786kmubzmu4bl3rvt,Heriberto Tavares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444987181,12,1,1,1,13,5c0sf1eaipcxvdw9o22of2jdp,1,67,10.3,2022-08-12T19:18:14.283Z,2022-08-14T22:11:00Z,3700411013,212,25.3,3708366849,178,,3700411011,141,29.5,3700411009,140,46.4,3700411007,56,Back,3700411015,213,2.6,,,,,,,e0k7beubxdswouhw13td0nlk9,Z. Youssouf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444987205,13,1,1,1,16,5c0sf1eaipcxvdw9o22of2jdp,1,46.3,30.1,2022-08-12T19:18:17.399Z,2022-08-14T22:11:03Z,3700411167,141,68.1,3700411163,140,42.1,3700411157,56,Back,3700411173,213,1.7,3700411169,212,26.2,3708366971,178,,,,,,,,cu7kz508a3wm8d5fypmrzxnmd,D. Batubinsika,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444987229,14,1,1,1,18,5c0sf1eaipcxvdw9o22of2jdp,1,42.6,68.1,2022-08-12T19:18:19.627Z,2022-08-14T22:11:07Z,3700411319,212,19.6,3700411315,141,93.5,3708367193,178,,3700411309,56,Left,3700411311,140,51.5,3700411323,213,1.1,,,,,,,ck3l6a262hves3v6nywarx9pm,Alexandre Penetra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444987269,15,1,1,1,20,5c0sf1eaipcxvdw9o22of2jdp,0,53.1,93.5,2022-08-12T19:18:21.847Z,2022-08-14T22:11:12Z,3700411519,212,42.3,3700411515,140,91.8,3700411521,213,6.0,3700411517,141,76.0,3700411511,155,,3700411523,1,,3708367477,178,,3700411513,56,Center,bxfalki1fmd687uj0b8e0m0np,Rúben Lima,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444987289,12,52,1,1,24,26t6lvlpql4w5wu1ih73qpy36,1,9,24.4,2022-08-12T19:18:25.279Z,2022-08-14T22:11:27Z,3704653879,378,,3708368159,178,,,,,,,,,,,,,,,,,,,,5nlzolv5bg03eiopba58rs251,Matheus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
