id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/9/value,qualifier/10/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/17/value,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2468454451,1,34,16,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2022-10-07T18:21:49.053Z,2022-10-07T19:09:14Z,3825191479,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825191483,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825191481,194,1ldbn0jnfzcvj7edwlq1z4q8l,3825191471,30,"664x98r3mbynnh19u1cx984q, cpcsusprqvec5l4mvwl6td23t, asoisrxtnm0zynx35ueum4v6d, c01muomxuk015zrf9n21ztq7d, d1bful4yiqcc8k5jhg9a3uyfp, 1ldbn0jnfzcvj7edwlq1z4q8l, 3ipb4zd3vz7dpnkyeiw22tal1, rzxtat0t3okt8tikf5mvdxm2, 1zf9egrh7cjofd7td62oc5tk9, ebaganzllbxfacvobgmsu1045, 8qxoj7nyhu2prjl3bjfqi2ui1, 30bhky4x90yqfyzhsawfz6pcl, 6nrvjozwk5or2v7dxkqbf9j9x, 5awvo9xetmgwxmqfisawqz90q, ljr2286geelctnfxzkxukmi1, 10jwipbmvqza53ja0lwof9be1, 8bn4i1qj747gh0hz6vbn0u25m, as0t8xi6k6nl4l06g23u3jcru, 1lisq580zw4yfk6id6f1dwr56, 16q9oy1ddvvihrgor1mbo77bp",3825191473,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3825191475,59,"42, 5, 19, 21, 3, 26, 25, 10, 9, 77, 20, 1, 8, 17, 18, 55, 57, 72, 78, 93",3825395301,197,388,3825191477,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468456065,1,34,16,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2022-10-07T18:23:41.915Z,2022-10-07T19:17:34Z,3825199717,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825199709,59,"99, 62, 31, 32, 23, 3, 7, 10, 79, 20, 21, 4, 8, 13, 22, 25, 29, 78, 90, 95",3825199715,194,3o3pp38h4ww0btuxzna0mhtcl,3825199713,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3825199711,130,8,3825199705,30,"1ocxh5s9uo0s8ag79j7iv6acp, 3gelookco8f9ft0guaec03t3o, 3o3pp38h4ww0btuxzna0mhtcl, 1e12w0zsray39tnhemg3jy5t5, 2jskw42u7twkcsxa15hcysiy1, dzq4gg917idfq1rhng1coi5uc, dqpofsnyszazhkp0t7gtlfi3u, 51edb4gy0w4q1wns87xehn2dx, 3sdtccxqlc28tszv5vrnibckq, dyeuxixz75ematbmtiwzcvhzp, 74hu9pcq0b1z36871v3inexyi, 2zu7x3ge1bkly3l57je95laeh, 195o7hchielt14ic49r3k06sq, e4x6fx7njwfevkwf1t0ocyq51, cdkxx5845lj8spbg3ha7m1xm2, ctkp6xkdg68xonlfkjwe580oa, 1l0sfejnziz4ur5prgb0tp2j8, 4mvqt04u92wsm1p5ja8fpilii, ellz88deagksyfqdqzv16rckq, 5bl0qe7l7juksox3s4u76hxat",3825421713,197,11679,3825199707,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468500491,2,32,1,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2022-10-07T19:16:19.534Z,2022-10-07T19:16:22Z,3825440543,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468500473,2,32,1,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2022-10-07T19:16:19.534Z,2022-10-09T18:36:42Z,3825440439,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468500605,3,1,1,0,0,22mo7qbsnyi8wtucpvhgvhw2q,1,49.9,50.2,2022-10-07T19:16:19.581Z,2022-10-09T18:43:56Z,3825441103,141,48.2,3825441101,140,37.7,3825441109,279,S,3833134461,178,,3825441107,213,3.2,3825441099,56,Back,3825441105,212,12.9,,,,3sdtccxqlc28tszv5vrnibckq,Erison,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468500637,4,1,1,0,1,22mo7qbsnyi8wtucpvhgvhw2q,1,37.7,48.2,2022-10-07T19:16:21.417Z,2022-10-09T18:44:51Z,3833137213,178,,3825441273,140,26.0,3825441279,213,2.6,3825441277,212,14.0,3825441269,56,Back,3825441275,141,58.0,,,,,,,1e12w0zsray39tnhemg3jy5t5,L. Rosier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468500667,5,1,1,0,4,22mo7qbsnyi8wtucpvhgvhw2q,1,26,58,2022-10-07T19:16:24.198Z,2022-10-09T18:45:00Z,3825441493,56,Back,3825441499,212,21.5,3833137729,178,,3825441497,141,26.5,3825441495,140,27.3,3825441501,213,4.8,,,,,,,dzq4gg917idfq1rhng1coi5uc,Bernardo Vital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468500691,6,1,1,0,7,22mo7qbsnyi8wtucpvhgvhw2q,1,27.3,26.5,2022-10-07T19:16:26.954Z,2022-10-09T18:45:08Z,3825441611,212,25.3,3825441613,213,2.5,3825441605,56,Back,3825441607,140,8.3,3825441609,141,49.5,3833138227,178,,,,,,,,2jskw42u7twkcsxa15hcysiy1,Pedro Álvaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2468500733,7,1,1,0,10,22mo7qbsnyi8wtucpvhgvhw2q,1,8.3,49.5,2022-10-07T19:16:29.765Z,2022-10-09T18:45:18Z,3825441805,213,1.0,3825441797,140,19.4,3825441791,56,Back,3833138763,178,,3825441803,212,20.6,3825441801,141,74.4,,,,,,,1ocxh5s9uo0s8ag79j7iv6acp,Daniel Figueira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2470203757,879,43,1,0,11,22mo7qbsnyi8wtucpvhgvhw2q,1,0,0,2022-10-07T19:16:31.324Z,2022-10-10T07:15:29Z,3834598385,178,0,3834598391,144,82,,,,,,,,,,,,,,,,,,,dzq4gg917idfq1rhng1coi5uc,Bernardo Vital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
