id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/14/value,qualifier/15/value
2527683523,1,34,16,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2023-04-02T16:17:10.992Z,2023-04-02T17:01:31Z,4158647201,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158647197,59,"99, 6, 3, 8, 66, 30, 20, 22, 88, 27, 7, 2, 4, 19, 21, 24, 33, 61, 87, 91",4158647193,30,"7jtc6yk5xu4cm1an97wrgozbp, 9j0v9bomstpbku7nnmqp8n7c9, 12f4mz064elnxecq2srl7r6j9, 4dh4ws8ehn6uywozt6ygczs2d, 2p86mzr8qnu9iy01fusvovf56, x32fbvwwxkda9ruezw67b3dh, fvuj5umkjxxb1btu6004xjh1, yzee990gbkpl00qdgr6h3r2t, 9v4l7ic3ve6d22c0gs9p1oe3u, 37ao6cj3w5pd5v5ap79fqlxw5, 7pi4j76iy3cfh0bfkxf9x8ell, 7qwzed85qna21zisvvatrjlxx, er2t5qzxjzjgiz64l5qqk3mjt, 3o4tq8qooplx2izq9rucgu7d, f4p22zbcs9l5dwhvqg6wstmcq, chfqy504a1mnfs67pbdbk0jfu, bxcpii8qeyw2duignml45sc15, 5t952swvuoed4pdwgbi4yjhex, 929ho421g2zacylfc97m23uac, bocgbpxctelmsucqoba2dujca",4158647205,197,368,4158647195,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4158647203,194,x32fbvwwxkda9ruezw67b3dh,4158647207,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158647199,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527684135,1,34,16,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2023-04-02T16:17:43.956Z,2023-04-02T16:17:58Z,4158650217,194,e6ztipndwfp33c6j7yebsyx91,4158650213,130,13,4158650219,197,377,4158650215,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158650211,59,"18, 20, 77, 4, 33, 42, 30, 6, 95, 21, 22, 1, 8, 11, 15, 17, 23, 27, 16, 93",4158650209,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4158650207,30,"ckog922pr9vqy2ry4m7o5ag2d, degqtleco9n5tlt0yz3q5t9ii, djqbki8jap3rp8l0izzly9tzo, 8uxdtdynfnmlx0ro5iounze1, 75znincjirp1z8bcw9nhztxat, 803s6ja43m4i9jhl97jd37s2x, 912y0yoa524suow0wvpbtwq1h, e6ztipndwfp33c6j7yebsyx91, 6fvujizi2c81rxbbble21p32t, 9kvoxdbnb5kt2dzy7kr0s7v11, 79mo2l821d5zq6dyrg9qkpf4l, 5881z0950eh6003uukdwkuql0, 9sfjkb99h1b1obdmedrecag9h, 2u5a79zhvgasvp6yinny8kr2s, c38u6t2mr5f441tcuxlwpulpm, 1g46yyjzlu0vqpk3w51scv1ed, 110maz3wmyhfk670un6ieloet, apjgf0d7fwwdsb06vdlsjyc45, 8lahho5viagd48ufvp582453p, 2rw2a005v9ehuopm1hf87uvah",4158650221,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527720733,2,32,1,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2023-04-02T17:01:21.035Z,2023-04-02T17:01:23Z,4158839715,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527720725,2,32,1,0,0,cgvbluoerzbzcr7aaxge3wkcv,1,0,0,2023-04-02T17:01:21.035Z,2023-04-02T17:01:21Z,4158839677,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527720769,3,1,1,0,1,cgvbluoerzbzcr7aaxge3wkcv,1,50,50,2023-04-02T17:01:22.135Z,2023-04-02T17:02:58Z,4158839849,140,46.2,4158839853,212,4.0,4158839857,279,S,4158839859,278,,4158839855,213,3.1,4158839847,56,Back,4158839851,141,50.3,,,,6fvujizi2c81rxbbble21p32t,André Pereira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527720787,4,1,1,0,2,cgvbluoerzbzcr7aaxge3wkcv,1,45.9,50.3,2023-04-02T17:01:23.499Z,2023-04-02T17:01:25Z,4158839951,141,77.3,4158839947,140,23.3,4158839943,56,Back,4158839953,212,30.0,4158839957,213,2.5,,,,,,,,,,912y0yoa524suow0wvpbtwq1h,A. Samaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527720805,5,1,1,0,4,cgvbluoerzbzcr7aaxge3wkcv,1,22.3,76.3,2023-04-02T17:01:25.051Z,2023-04-02T17:01:26Z,4158840077,213,4.7,4158840073,141,55.5,4158840071,140,21.6,4158840069,56,Back,4158840075,212,14.2,,,,,,,,,,8uxdtdynfnmlx0ro5iounze1,Patrick William,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527720833,6,1,1,0,5,cgvbluoerzbzcr7aaxge3wkcv,1,21.6,55.5,2023-04-02T17:01:26.363Z,2023-04-02T17:01:28Z,4158840191,213,0.2,4158840189,212,12.6,4158840185,140,33.3,4158840187,141,59.6,4158840183,56,Back,,,,,,,,,,75znincjirp1z8bcw9nhztxat,Aderllan Santos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527720867,7,1,1,0,6,cgvbluoerzbzcr7aaxge3wkcv,1,33.3,59.1,2023-04-02T17:01:28.003Z,2023-04-02T17:01:30Z,4158840353,213,1.8,4158840345,56,Back,4158840349,141,88.1,4158840347,140,28.4,4158840351,212,20.4,,,,,,,,,,912y0yoa524suow0wvpbtwq1h,A. Samaris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527720911,8,1,1,0,9,cgvbluoerzbzcr7aaxge3wkcv,1,28.9,89.7,2023-04-02T17:01:30.587Z,2023-04-02T17:01:34Z,4158840595,212,11.6,4158840589,56,Back,4158840597,213,0.3,4158840593,141,95.3,4158840591,140,39.3,,,,,,,,,,8uxdtdynfnmlx0ro5iounze1,Patrick William,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
