id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,keyPass,qualifier/11/value,qualifier/12/value,qualifier/14/value
2446725461,1,34,16,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2022-08-15T16:30:08.586Z,2022-08-15T16:58:52Z,3709716433,59,"42, 78, 55, 21, 3, 26, 10, 25, 9, 20, 17, 8, 11, 12, 15, 18, 30, 57, 72, 93",3709756603,197,388,3709716439,194,1ldbn0jnfzcvj7edwlq1z4q8l,3709716429,30,"664x98r3mbynnh19u1cx984q, 1lisq580zw4yfk6id6f1dwr56, 10jwipbmvqza53ja0lwof9be1, c01muomxuk015zrf9n21ztq7d, d1bful4yiqcc8k5jhg9a3uyfp, 1ldbn0jnfzcvj7edwlq1z4q8l, rzxtat0t3okt8tikf5mvdxm2, 3ipb4zd3vz7dpnkyeiw22tal1, 1zf9egrh7cjofd7td62oc5tk9, 8qxoj7nyhu2prjl3bjfqi2ui1, 5awvo9xetmgwxmqfisawqz90q, 6nrvjozwk5or2v7dxkqbf9j9x, 77b18xdgljj15598bcrkc95yi, 2983qoliizrxvsi9sb9c5wwoa, 4aubucuhe6ic3osisrw73xe51, ljr2286geelctnfxzkxukmi1, es6pjawg9rq2io8hjxf0rqaxh, 8bn4i1qj747gh0hz6vbn0u25m, as0t8xi6k6nl4l06g23u3jcru, 16q9oy1ddvvihrgor1mbo77bp",3709716435,130,4,3709716437,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3709716431,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3709716441,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446725541,1,34,16,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-08-15T16:30:40.812Z,2022-08-15T17:51:53Z,3709716851,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3709716855,130,8,3709757833,197,390,3709716849,30,"25n2vrjnz5qsm5pigyn3ps8vd, bdgqvvkpadpthmlm40wa6dcyx, djb8j3hb7mnnghg9jmd15w0r9, 1doj252anzqdzn5fknqr5i31l, 8zt0zlypar7m1eqj4zu8ul695, 1ni0afs55daxlb5ocaqb2o8vd, clnli7y2s88p16yqtrbsb99sl, 1nqpxso2a9qw8w8g6u4sb60ut, 3vln1sp3b13v1yhcsd0vl3c2x, 3w3z6g8x70ii3pltaxyxbycwl, c0pat4dqmsc4teand5ampsdlh, c7wta7tm5rfielv4211c253v9, 9l70xwbhc0xr57iifzyxzot7t, 4effb0zguv2lqtv2vl9lqb696, dh3ddfghtgeb2iu2608y96i5m, 1swp008ttj3pd57fz5uw8mctm, 3ozxp5nhqrwwwezjdp4xbzaw9, evdhe2j9k1smuk1ul7woo3h0p, 2jl9lfqd2q74iwamx7g0xva50, 3mp7wghcalu9g3wxbqb9eqga",3709716861,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3709716859,194,8zt0zlypar7m1eqj4zu8ul695,3709716857,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3709716853,59,"12, 21, 28, 23, 13, 3, 7, 14, 19, 10, 8, 1, 2, 9, 11, 17, 32, 43, 64, 92",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446733439,2,32,1,0,0,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-08-15T17:02:45.905Z,2022-08-17T23:17:23Z,3709761363,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446733443,2,32,1,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,0,0,2022-08-15T17:02:45.905Z,2022-08-15T17:02:50Z,3709761385,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446733451,3,1,1,0,0,bwt8yfk8rkcwiwyr0mopd7wqd,1,50,50.5,2022-08-15T17:02:46.028Z,2022-08-18T08:40:05Z,3714460811,178,,3709761435,140,44.0,3709761441,213,2.4,3709761433,56,Back,3709761443,279,S,3709761439,212,8.7,3709761437,141,59.4,,,,1zf9egrh7cjofd7td62oc5tk9,Fran Navarro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446733513,4,1,1,0,2,bwt8yfk8rkcwiwyr0mopd7wqd,0,44.7,55.5,2022-08-15T17:02:48.059Z,2022-08-18T08:40:14Z,3709761705,213,5.5,3709761701,141,12.9,3709761695,155,,3709761703,212,39.9,3714460929,178,,3709761699,140,70.8,3709761707,1,,3709761697,56,Right,3ipb4zd3vz7dpnkyeiw22tal1,Pedro Tiba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446733515,5,44,1,0,4,bwt8yfk8rkcwiwyr0mopd7wqd,1,72.2,9.9,2022-08-15T17:02:50.577Z,2022-08-18T12:41:18Z,3709761713,286,,3709761793,233,3,3709761711,56,Right,,,,,,,,,,,,,,,,8qxoj7nyhu2prjl3bjfqi2ui1,J. Boselli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446733487,3,44,1,0,4,dich5v7sw466smbqap0d9rbyj,0,27.8,90.1,2022-08-15T17:02:50.578Z,2022-08-18T08:40:22Z,3709761585,285,,3709761737,233,5,3709761583,56,Back,,,,,,,,,,,,,,,,djb8j3hb7mnnghg9jmd15w0r9,Tiago Esgaio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446733541,7,61,1,0,4,bwt8yfk8rkcwiwyr0mopd7wqd,1,77.8,11.1,2022-08-15T17:02:50.626Z,2022-08-18T12:41:18Z,3714461151,15,,3709761873,56,Right,3714461153,388,,,,,,,,,,,,,,,,,8qxoj7nyhu2prjl3bjfqi2ui1,J. Boselli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446733493,4,43,1,0,5,dich5v7sw466smbqap0d9rbyj,1,0,0,2022-08-15T17:02:51.686Z,2022-08-17T14:19:48Z,3709761607,212,2.3,3709761609,213,0.4,3709761603,140,29.5,3713212893,144,1,3709761601,56,Back,3709761605,141,90.1,3709761599,3,0,,,,djb8j3hb7mnnghg9jmd15w0r9,Tiago Esgaio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
