id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/8/value,qualifier/11/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value,qualifier/17/value,qualifier/18/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2478957599,1,34,16,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2022-10-29T16:08:25.303Z,2022-10-29T17:01:35Z,3880927457,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3880927459,194,x32fbvwwxkda9ruezw67b3dh,3881143863,197,368,3880927455,130,8,3880927451,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3880927461,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3880927449,30,"7jtc6yk5xu4cm1an97wrgozbp, 9j0v9bomstpbku7nnmqp8n7c9, 12f4mz064elnxecq2srl7r6j9, 1zxwich342p8fholev7ddkwh6, 2p86mzr8qnu9iy01fusvovf56, x32fbvwwxkda9ruezw67b3dh, 7pi4j76iy3cfh0bfkxf9x8ell, 4dh4ws8ehn6uywozt6ygczs2d, 9v4l7ic3ve6d22c0gs9p1oe3u, 37ao6cj3w5pd5v5ap79fqlxw5, fvuj5umkjxxb1btu6004xjh1, 7qwzed85qna21zisvvatrjlxx, e81dfbtza1g8v3lozf39x3f85, yzee990gbkpl00qdgr6h3r2t, 18mddnpa54ygoaefaj0c5obf9, a5kkysp7c5f577ji17q5v2k0l, bxcpii8qeyw2duignml45sc15, 5i6p36ywmaoj1i26fl54th5d6, 5t952swvuoed4pdwgbi4yjhex, b2f67gkfb59hda2vka59e7qol",3880927453,59,"99, 6, 3, 13, 66, 30, 7, 8, 88, 27, 20, 2, 17, 22, 23, 25, 33, 38, 61, 77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478959579,1,34,16,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2022-10-29T16:10:43.662Z,2022-10-29T16:57:40Z,3880938201,59,"1, 77, 44, 10, 19, 3, 28, 21, 23, 8, 17, 7, 16, 20, 24, 26, 31, 70, 73, 95",3880938205,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3880938203,130,8,3881132957,197,2933,3880938197,30,"1tkq6knbo350vy0o8aieijmxh, 9m66crpktao9g80wc8zi9y5ex, 530nhsyjmbwcpb8536pgwbld5, 2b4soa2ddbbmdwm0ur760jh05, z6po5y26nap863d68tcekhqt, 2nod7tpovdjb85efh2sogijth, 5jsb62u7jx2vtblnbtxvttq3u, 1rdadi8uuu161wj8o7gbcn8wl, 1bpopqr7cuikh6s6sk4ij31ed, 3845lzar855rp3zp4stgmgul1, 47z2phkn1i9z8p32zqlu53j6x, bfy36wqp37utkkbl13k7s99m1, 1w926qtyntprx5ommoaa5nhed, 7r96u3b7t46s0kg5t5qew3tnt, 5iukh17o9lnichmbh3ta8amwa, 8hyaww1d0p9871u8o8zk8f9at, chwv6iayowufvu6hb1fg6ydwp, et4mglw8d0mwweghd2hmzz9jo, 361pxz5e33ydl2c3t63a9kzc9, awu6zsiy6l8e3p1athc733jkl",3880938199,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3880938207,194,2b4soa2ddbbmdwm0ur760jh05,3880938209,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478998661,2,32,1,0,0,alyavx3ad35bp1xuwmqk7sgev,1,0,0,2022-10-29T17:01:12.541Z,2022-10-29T17:01:13Z,3881142683,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478998649,2,32,1,0,0,9ldqu49smv1xg2va0n2cy28zl,1,0,0,2022-10-29T17:01:12.541Z,2022-11-01T06:20:23Z,3881142637,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478998683,3,1,1,0,0,9ldqu49smv1xg2va0n2cy28zl,1,50,50,2022-10-29T17:01:12.569Z,2022-11-01T06:58:20Z,3887524807,178,,3881142795,56,Back,3881142803,213,3.5,3881142801,212,20.6,3881142805,279,S,3881142799,141,38.6,3881142797,140,31.8,,,,9v4l7ic3ve6d22c0gs9p1oe3u,Gonçalo Ramos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478998703,4,1,1,0,2,9ldqu49smv1xg2va0n2cy28zl,1,30.8,35.8,2022-10-29T17:01:15.045Z,2022-11-01T06:58:31Z,3881142905,140,37.6,3881142903,56,Back,3881142911,213,5.1,3881142907,141,11.8,3881142909,212,17.8,3887525027,178,,,,,,,,2p86mzr8qnu9iy01fusvovf56,António Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478998729,5,1,1,0,5,9ldqu49smv1xg2va0n2cy28zl,1,38,13.9,2022-10-29T17:01:17.753Z,2022-11-01T06:58:33Z,3881143067,212,17.2,3881143069,213,2.4,3881143063,140,26.2,3881143065,141,31.4,3887525061,178,,3881143061,56,Back,,,,,,,9j0v9bomstpbku7nnmqp8n7c9,A. Bah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478998765,6,1,1,0,9,9ldqu49smv1xg2va0n2cy28zl,1,26.5,37.1,2022-10-29T17:01:22.061Z,2022-11-01T06:58:36Z,3881143235,213,1.6,3881143231,141,64.2,3881143229,140,25.9,3881143227,56,Back,3881143233,212,18.4,3887525105,178,,,,,,,,2p86mzr8qnu9iy01fusvovf56,António Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478998809,7,1,1,0,12,9ldqu49smv1xg2va0n2cy28zl,1,27.6,68,2022-10-29T17:01:24.887Z,2022-11-01T06:58:41Z,3881143499,213,1.0,3881143497,212,22.7,3881143491,56,Back,3881143495,141,95.9,3881143493,140,39.4,3887525203,178,,,,,,,,x32fbvwwxkda9ruezw67b3dh,N. Otamendi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478998873,8,1,1,0,15,9ldqu49smv1xg2va0n2cy28zl,1,28.5,81.5,2022-10-29T17:01:28.360Z,2022-11-01T06:58:44Z,3887525285,178,,3881143857,213,4.2,3881143859,1,,3881143849,56,Back,3881143853,141,34.3,3881143855,212,37.6,3881143851,140,9.8,,,,12f4mz064elnxecq2srl7r6j9,Álex Grimaldo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
