id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,assist,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value
2478300853,1,34,16,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2022-10-28T17:40:26.125Z,2022-10-28T18:58:47Z,3877437223,194,9dewnn65ylruq567thg7ebqhh,3877437225,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877437221,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877437215,59,"1, 15, 18, 6, 21, 24, 14, 12, 7, 4, 19, 2, 3, 5, 8, 9, 10, 11, 20, 22, 23, 31, 34",3877437211,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3877437219,130,11,3877437207,30,"6ekdnbnk56xlxforb5owt3dn9, 22dchchxwrsty67ultrs61qz9, 9ej7t1srxjcxe5p627eumn6d, 3n66mcws9belxbv3pu5uwhfu2, 9dewnn65ylruq567thg7ebqhh, 9t88fceutc2x108ga0qkzkafp, 9e7b5cm66oxf26fmp33yuppsl, baax58gbtxlbuj3duulpms4q1, 3pwr7lqvo4o08c4nvzqpuue39, 7ubtan6a51o79w469zawrqqqd, 8b3igmuipfhfzm39ack89de96, dtuwn06lnvxugaj637i553r2t, esk1w6ycz34w1r3te22shohrd, cjtqtr93yjd3ee7tslzi1bd9l, 3h58t56r9if0oh4qd3gz1wfrp, 2wdjbfzaiokiawrbn5wzsx61h, 2td3iejdken4orcduqrdutrhm, 6v5jjz9ryqacsd8vovugvlsyd, 9n447dc5s8na89g3ovx9zvbv9, ec26i7ddimq76bit2zz8fbsnp, 3j66drshfcoje5wb7gjybi9qt, 5qh2kdatvb03o8oiqvkaaxje2, 4rcsvuxnotyjoo72f8okudh5g",3877687505,197,348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478302065,1,34,16,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2022-10-28T17:42:50.813Z,2022-10-28T18:59:38Z,3877443261,130,4,3877443265,194,7xmaybxu4zd5k338bi3drkxcl,3877443257,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3877689007,197,270,3877443263,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3877443255,30,"6wfwy94p5bm0zv3aku0urfq39, 8rm2kkceowwtj3p0k6g7id0mi, 3nchjse4ej0qhilo395td7u1h, adi6l78sdvet408eho4fi4xk9, eyhvr45vc1n690dxobcthmndh, 6810qbng9pfg1bztczv11grmd, 7xmaybxu4zd5k338bi3drkxcl, 8qvqdjw1d58mw7420lpmk7bah, d67qj0sakwrfzbscleo4dbget, 92pz9nafg5h4qeqpiw3011ihh, e5qp6dh1prc55llew51zpy1gp, 5f8kjgsaabn2li5r7bvpebbsa, 2rqxh5mex336ci45jaw428y5l, 74wjzeja92l4q8fpy1bkmcsfd, 91te5xuankrla4g3s7as3htxx, bjzhwuehd7jzlbh04129h2w9h, 30jru4rizkqobfinh8o2jw92h, cspjsye2x9pmnvdxjmghwnyi2, 6msjsxuolz1yhmongz6swkno5, agd2nhvdhp18dg1weape5olpl, 7h0b81yjiiu356rycsakgd0yc, 6gy8t82tqi12q2odz974xcbh0",3877443259,59,"13, 2, 14, 12, 24, 4, 10, 20, 9, 17, 7, 1, 5, 6, 8, 16, 19, 21, 22, 25, 26, 28",3877443267,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349059,2,32,1,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,0,0,2022-10-28T18:59:59.595Z,2022-10-29T05:04:09Z,3877689793,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349081,2,32,1,0,0,c8llrezkm3b3op4afrou6b487,1,0,0,2022-10-28T18:59:59.595Z,2022-10-28T19:00:02Z,3877689901,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349077,3,1,1,0,0,50x1m4u58lffhq6v6ga1hbxmy,1,50,50,2022-10-28T18:59:59.696Z,2022-10-29T05:17:38Z,3877689889,212,14.5,3877689885,140,37.8,3878265981,178,,3877689883,56,Back,3877689893,279,S,3877689887,141,59.9,3877689891,213,2.7,,,,8b3igmuipfhfzm39ack89de96,Lee Kang-In,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349097,4,1,1,0,2,50x1m4u58lffhq6v6ga1hbxmy,0,42.3,55.5,2022-10-28T19:00:01.933Z,2022-10-29T05:17:44Z,3877690037,141,48.9,3877690041,213,5.4,3878266025,178,,3877690033,56,Back,3877690035,140,45.6,3877690031,155,,3877690039,212,5.7,,,,7ubtan6a51o79w469zawrqqqd,Ruíz de Galarreta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478350811,47,61,1,0,2,c8llrezkm3b3op4afrou6b487,1,56.7,48.1,2022-10-28T19:00:02.094Z,2022-10-29T05:17:49Z,3878266083,388,,3878266081,21,,3877698721,56,Center,,,,,,,,,,,,,,,,d67qj0sakwrfzbscleo4dbget,Joselu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349113,3,1,1,0,4,c8llrezkm3b3op4afrou6b487,1,33.7,45.4,2022-10-28T19:00:04.224Z,2022-10-29T05:17:56Z,3877690125,3,,3877690131,141,44.4,3877690135,213,6.3,3877690129,140,54.9,3878266171,178,,3877690133,212,22.3,3877690127,56,Center,,,,7xmaybxu4zd5k338bi3drkxcl,Darder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349121,4,1,1,0,6,c8llrezkm3b3op4afrou6b487,1,54.9,44.4,2022-10-28T19:00:06.386Z,2022-10-29T05:18:06Z,3877690177,3,,3877690187,213,4.6,3877690181,140,53.9,3877690185,212,8.5,3878266267,178,,3877690183,141,32.0,3877690179,56,Center,,,,d67qj0sakwrfzbscleo4dbget,Joselu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478349125,5,49,1,0,7,c8llrezkm3b3op4afrou6b487,1,53.1,32,2022-10-28T19:00:07.164Z,2022-10-29T05:18:13Z,,,,,,,,,,,,,,,,,,,,,,,,,92pz9nafg5h4qeqpiw3011ihh,M. Braithwaite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
