id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,keyPass,qualifier/9/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2533571915,1,34,16,0,0,63f5h8t5e9qm1fqmvfkb23ghh,1,0,0,2023-04-15T13:05:13.124Z,2023-04-15T14:32:54Z,4189979075,130,21,4189979071,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4190412903,197,1593,4189979079,194,b45ryclny991bm7qosieyg1cl,4189979081,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189979073,59,"1, 18, 12, 3, 5, 24, 8, 21, 10, 14, 23, 2, 4, 6, 7, 9, 11, 13, 15, 16, 17, 19, 20",4189979069,30,"w503zyr8ipyobglth281uklx, b91n9sdabth8oocdawayybdud, bj929w5yi7lnz36jxsi5qnq7e, 80aqmv4ht6rs1812qrr5j8kix, 48gjuou5eashpj8wbwd18iju1, 6xulax65kp4aid70nk7g5jr2t, atigcsq78g14w82lwvay26aj9, 13ll29mtf7pxwz1yf0i40tsd1, b45ryclny991bm7qosieyg1cl, 1qkep5ck252k1g3oqza5ygh61, dvrk8qmt9ta4c3kvjgsad7t91, eucew4k6eswqr6emzsdg4if3d, 5vhikvmcesruckmfcfmm0q8d1, e35v2pspdgl7t769d57e67ob9, 21vx56lpd276xqbu11ubkf78q, 8rb37jdev612rfbrbp8zovs9h, 5vznxxfbteooxk2dd2ws76xhw, 1zjmgapwre4picauko9gnemll, dkt9892ixwnz1bkmgileo71sl, cme92rbmqszu51sjm99ho8a21, 7aoe0u87gxgv9tvgrotcfue7e, 6akzpi6rd6qq0ke07ojnhpoet, 7bs0ph4yksf6lvkg91u9nqzqi",4189979077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533574401,1,34,16,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2023-04-15T13:07:22.673Z,2023-04-15T14:14:34Z,4189992289,130,8,4190419835,197,12043,4189992279,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",4189992293,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189992297,194,ddvvwqxpsqqboupi3gx1ijhed,4189992283,59,"1, 21, 17, 14, 5, 4, 9, 6, 12, 8, 11, 3, 7, 10, 13, 16, 19, 22, 23, 24, 29, 31, 35",4189992277,30,"4vlurpsi44g09g159t61u83bp, 8bpmnz5rz94ayk10hr0ekki51, 8hm6d6395johhjsoe8jz6dcyd, 1rjzsyc8yt25tyelzg820if2t, uzzq2p3s1qnb3wv1pee3mcph, cd5napttmwk5o9gxw3cbb4ted, ddvvwqxpsqqboupi3gx1ijhed, 83n1qv6ypl625aolzjeqifv11, 3tzvbdszdrj1tayik9igbve8l, dfcbvsb7o18lavmonbp5ucwoa, 66jotyvbhtz5cjvhbby6luelm, 9d5h5wxf44qu4fw3jk2pgis16, do5tibysnhbnbw18nwdo39kut, 81png9xvfr224o03vaksp6aqd, 1tctbwsidibct7wphjgv8mdm2, 7x2c4pr7hvku5zp0dnjcpy0yy, 488vwilxllk6nhf4o1wrh0gve, aow6cahecmexgd5qxt3esmaxh, e40eqhxzzid2chfyxph37tuxh, ebj1tatpfyuedmk2y40i393h1, 2blue4kkn5uryu76u55b3wp3o, 5kd57453a90zahgdxwkghr816, 7bgioq7hxo5sco6m2ouji0gdl",4189992301,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533662313,2,32,1,0,0,63f5h8t5e9qm1fqmvfkb23ghh,1,0,0,2023-04-15T14:16:41.831Z,2023-04-15T14:16:41Z,4190445265,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533662377,2,32,1,0,0,3czravw89omgc9o4s0w3l1bg5,1,0,0,2023-04-15T14:16:41.831Z,2023-04-16T02:37:27Z,4190445581,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533662479,3,1,1,0,0,63f5h8t5e9qm1fqmvfkb23ghh,1,50.2,50.3,2023-04-15T14:16:41.887Z,2023-04-16T03:44:01Z,4190446107,212,10.7,4190446103,140,40.1,4190446113,279,S,4190446109,213,3.3,4193822203,178,,4190446101,56,Back,4190446105,141,47.8,,,,13ll29mtf7pxwz1yf0i40tsd1,David Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533662499,4,1,1,0,1,63f5h8t5e9qm1fqmvfkb23ghh,1,40.1,47.8,2023-04-15T14:16:43.285Z,2023-04-16T03:44:07Z,4190446231,212,8.3,4190446227,140,33.1,4190446225,56,Back,4193822381,178,,4190446229,141,53.6,4190446233,213,2.6,,,,,,,80aqmv4ht6rs1812qrr5j8kix,Martín Zubimendi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533662597,5,1,1,0,3,63f5h8t5e9qm1fqmvfkb23ghh,0,33.1,53.6,2023-04-15T14:16:45.828Z,2023-04-16T03:44:11Z,4190446675,1,,4190446663,56,Right,4190446667,141,8.0,4190446665,140,65.1,4190446661,155,,4193822453,178,,4190446669,212,45.7,4190446673,213,5.5,6xulax65kp4aid70nk7g5jr2t,R. Le Normand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533662533,3,44,1,0,7,3czravw89omgc9o4s0w3l1bg5,1,33.4,93.2,2023-04-15T14:16:48.967Z,2023-04-16T15:30:24Z,4190446397,285,,4190446395,56,Back,4190447107,233,6,,,,,,,,,,,,,,,,8hm6d6395johhjsoe8jz6dcyd,Yuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533662619,6,44,1,0,7,63f5h8t5e9qm1fqmvfkb23ghh,0,66.6,6.8,2023-04-15T14:16:48.968Z,2023-04-16T03:44:17Z,4190446771,56,Right,4190447219,233,3,4190446773,286,,,,,,,,,,,,,,,,,atigcsq78g14w82lwvay26aj9,Mikel Merino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533662581,4,12,1,0,7,3czravw89omgc9o4s0w3l1bg5,1,31.8,94.5,2023-04-15T14:16:49.029Z,2023-04-16T15:30:24Z,4190446581,212,8.8,4190446567,56,Back,4193823193,388,,4190447261,167,,4190447257,15,,4190446573,140,38.9,4190446577,141,100.0,4190446583,213,0.6,8hm6d6395johhjsoe8jz6dcyd,Yuri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
