id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,keyPass,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2473178501,1,34,16,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2022-10-16T17:53:39.790Z,2022-10-16T18:57:01Z,3850356431,194,75079gtd2efpviyo605ozsd79,3850545757,197,254,3850356433,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3850356423,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3850356425,59,"13, 23, 15, 5, 19, 6, 11, 14, 9, 10, 28, 1, 2, 3, 4, 12, 17, 18, 21, 24, 25, 29, 33",3850356427,130,8,3850356429,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3850356421,30,"s96k2x2cts0vo6y6aaeui5zp, euy1s0xo19019kegzcpp1gez9, 3m7wjcmet9b8sc5tu0ct8j0et, 73efpm314q2paeacsvp4e8q8l, f5blplnlgn04f54kqsfx1b7qh, 1myo59ub6qouwvxpb699shhw5, 7hyo7fy8hospvlvtlfv7q73ai, 10f06nit2xupshuz4lmazrvth, d12m2oz1lomkc1qxmpht38lat, 75079gtd2efpviyo605ozsd79, 9jxofpmrfh2lil77f9xj22kiy, 1vn3xi2x6vtjor1bt1ob1vk5x, e5rlll2fvd9wsk40o6pztsc0l, 4hhuyat3grozmgba4f55zyajt, dfytsnxfl78jnug9trsa9qv3d, 8hn7wb9jf6unade238t4vl3o5, 9anxnfthjotjwmr3o9j9lzsnp, 4pizap25enja9rtz4g6x5bkd1, 5gtoi90sxc43mbsfxwfv7wzxl, 9226xt1t1m3fy4ob9l2r16609, 6w3xe5mva9ob36uf482xem85x, 4jjk6jqgz3w4uvm3bvhl9t016, emvmn561wgd62zj0s3qi5j5rd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473179765,1,34,16,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2022-10-16T17:55:40.068Z,2022-10-16T19:01:19Z,3850363149,30,"c3secspt4xvu1q4g6aonn7zyt, 9bbu1yne0l9j862yodiuldw4p, azzdqp6lcd4g9d4jy55pz0549, 1htx8ub2kxvq0vnzarbrynyt, 99zc12kmr9893h24mo95wcn9x, 1trnf7miqmcgr67c4808t4yj9, 36lk52zhgyn11s1pax3y7wout, 6kpscy08tl4fkie4w4hl49n11, e6ok0deqkoe80184iu509gzu2, 3cu2brlp37h4u00mm5n4hb651, blvf8qsi6iy6ejyer58okyxka, bglk6tokkpgjltpzljp1p345x, 497cy3s5ck9f5h563c4aixfdg, 5rabxq8qyxf2q2ak506xim9rd, 8zlr9xkh9dkt1pbw3w91uazmd, 8b6idfe7dx59wkbc8zf539zv9, ec4coej1l0a7he2896hjbz04q, 6mz6fzrfndfv7zpm38a6msmw9, 3flv9yp9x61ph57xugztva9nu, a5x0poaqzssg2yuou57qgyead, 1km9nvqz03yoj9cxpv127id7u, 8zvsos5fsrrf9aizqmyhtt9m, 7grh7aamrlrf1oagk8sn85zbo",3850558951,197,287,3850363159,194,1htx8ub2kxvq0vnzarbrynyt,3850363151,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3850363157,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3850363155,130,4,3850363153,59,"13, 24, 15, 6, 19, 22, 4, 3, 9, 12, 7, 1, 2, 5, 8, 11, 14, 17, 18, 21, 23, 26, 28",3850363161,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473214875,2,32,1,0,0,ah8dala7suqqkj04n2l8xz4zd,1,0,0,2022-10-16T19:00:06.268Z,2022-10-17T06:10:39Z,3850554061,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473214885,2,32,1,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2022-10-16T19:00:06.268Z,2022-10-16T19:00:07Z,3850554115,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473214903,3,1,1,0,0,cobffe32r7g4skka9m19qib63,1,49.9,50.2,2022-10-16T19:00:06.317Z,2022-10-17T06:16:34Z,3850554195,212,5.1,3850554193,141,54.0,3850554199,279,S,3850554191,140,45.7,3850554197,213,2.6,3851680873,178,,3850554189,56,Back,,,,36lk52zhgyn11s1pax3y7wout,Íñigo Eguaras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473214909,4,1,1,0,0,cobffe32r7g4skka9m19qib63,1,45.7,54,2022-10-16T19:00:06.954Z,2022-10-17T06:16:40Z,3850554267,213,5.0,3850554261,140,47.7,3850554263,141,45.1,3851681019,178,,3850554265,212,6.4,3850554257,56,Back,,,,,,,6kpscy08tl4fkie4w4hl49n11,Melero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473214917,5,1,1,0,1,cobffe32r7g4skka9m19qib63,1,47.7,45.1,2022-10-16T19:00:07.413Z,2022-10-17T06:16:45Z,3850554315,140,37.6,3850554313,56,Back,3850554321,213,2.7,3850554319,212,11.6,3850554317,141,52.0,3851681407,178,,,,,,,,36lk52zhgyn11s1pax3y7wout,Íñigo Eguaras,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473214959,6,1,1,0,3,cobffe32r7g4skka9m19qib63,1,37.4,52.5,2022-10-16T19:00:09.448Z,2022-10-17T06:16:52Z,3850554511,141,68.5,3851681697,178,,3850554515,213,1.7,3850554513,212,11.0,3850554507,56,Back,3850554509,140,36.0,,,,,,,1htx8ub2kxvq0vnzarbrynyt,César de la Hoz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473215037,7,1,1,0,7,cobffe32r7g4skka9m19qib63,1,35.1,63.6,2022-10-16T19:00:13.417Z,2022-10-17T06:17:01Z,3850554935,213,4.6,3850554933,212,24.2,3850554931,141,28.5,3850554927,56,Back,3850554929,140,31.5,3851692035,178,,,,,,,,1trnf7miqmcgr67c4808t4yj9,S. Babić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473215097,8,1,1,0,12,cobffe32r7g4skka9m19qib63,1,30,35.3,2022-10-16T19:00:18.331Z,2022-10-17T06:17:06Z,3850555227,213,2.6,3850555221,140,9.8,3850555223,141,52.7,3850555219,56,Back,3850555225,212,24.3,3851692141,178,,,,,,,,99zc12kmr9893h24mo95wcn9x,Rodrigo Ely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
