id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2497181293,1,34,16,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2023-01-14T14:14:43.062Z,2023-01-14T15:16:38Z,3976864461,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976864453,30,"c9cp6fxbxyc2a3kfotkompxx, 2mg2n8e1d83gbeykfwzz0fumt, djal5dsafpnhip4lu0ait94np, rlgrvvibryod2g92hqc97ii2, 65osnocfqxv6mmpb69hm446ad, 2lwjtphx3bkjty9sds520l1ey, 8ycvfctf7c3yljnbtltsogkph, 6vvwhgic29fekmmj2cg62ytp1, 4sojot9t32l4a6fm3e39xkcfd, 8n4f10q0l2wjhhfdkpp8kfzdh, depu0zp8jqcyv0jzf5r9yums5, bahph7009sc73jl6s2bramn6d, 1y74tse0vpdxanxf152cc8jjd, b25dws1pbgbxuwt09of8xpe51, 5c4ku1hmhy6l9dq8a5jp1qf9x, 7atmb373dynu9s9gnl613ox5h, 4bbqmasyopxoymo4umcxd4e09, 7exng93jyar5is4fa64r9bhzp, 6gtfe9aysdrcht4v2rluu0ley, 2xjp2fx9b8afvq2ua1usuhrai, 9nwkxgbl8t933pzu60ye4xxxw, 944mc5icxdleh4kvaamvpa9zo, 35i9zcb2szve0ydjga9qnj384",3976864463,194,2mg2n8e1d83gbeykfwzz0fumt,3976864455,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976864457,59,"13, 16, 19, 22, 20, 14, 8, 6, 12, 21, 10, 1, 2, 4, 7, 11, 15, 17, 27, 28, 29, 31, 43",3976864465,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3977154123,197,260,3976864459,130,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497188649,1,34,16,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-01-14T14:23:09.661Z,2023-01-14T15:30:51Z,3976904163,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3976904161,130,2,3976904159,59,"13, 4, 3, 18, 22, 5, 12, 14, 7, 23, 17, 1, 2, 8, 10, 11, 20, 21, 24, 25, 26, 33",3976904165,194,6navc0x6p4yqy76zyo3zocwr9,3976904157,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3976904167,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3977151365,197,704,3976904155,30,"eavhyxb9dfjh0jp5yzg8p8udx, 2nq5nzq35tfwc7po29dtwqp78, d7pzcnoztn30xoj5b2sr9slt6, cuqawmfekh86mgo758udxw7v9, 39dgr8s91agremy3nvp4q2221, 4o0ei8wawffrg2hvnbmcxipxx, 2do89l8kf9yuelzq1b5mo549h, 2udtmz4lvh4vil16mxvo0j4l, 6navc0x6p4yqy76zyo3zocwr9, 9um7x9zd0e000zt57l3yearqh, bqmhsb2bsuuuijw2ci39l01k9, 4wbwcfbeokv5j4nuudbxgaw2d, 8ikm0hxyz2qaonz3qmynu0xqt, 20ebw399jhbq0i5x2eacrrs6i, 2y9jp3hak8dnf8cavdqrx1cyd, 8tnz3pqkqdhbr08p96i9w8i96, ay89se5rytzay8md0yeadykq2, c320492cbp1otejfp1i1oane1, 1acqdy7jz9v4i1jwf5u809byt, q5omphitvnrcnoda4jh9fdux, bixz0as48s0jmvl2bdctr2tt6, 25h51j4zz5m180na6sy5ybbpw",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497237885,2,32,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,0,0,2023-01-14T15:15:39.633Z,2023-01-15T05:42:54Z,3977168687,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497237901,2,32,1,0,0,10eyb18v5puw4ez03ocaug09m,1,0,0,2023-01-14T15:15:39.633Z,2023-01-14T15:15:42Z,3977168763,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497237983,3,1,1,0,0,7h7eg7q7dbwvzww78h9d5eh0h,1,50,49.9,2023-01-14T15:15:39.643Z,2023-01-15T08:54:42Z,3977169183,141,50.5,3977169181,140,38.7,3977169185,212,11.9,3979101529,178,,3977169187,213,3.1,3977169179,56,Back,3977169189,279,S,,,,9um7x9zd0e000zt57l3yearqh,Iván Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497238045,4,1,1,0,2,7h7eg7q7dbwvzww78h9d5eh0h,1,38.6,49.9,2023-01-14T15:15:41.889Z,2023-01-15T08:54:45Z,3979101567,178,,3977169507,56,Back,3977169515,213,1.8,3977169509,140,37.0,3977169513,212,9.1,3977169511,141,63.1,,,,,,,4o0ei8wawffrg2hvnbmcxipxx,David López,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497238357,5,1,1,0,4,7h7eg7q7dbwvzww78h9d5eh0h,1,36.8,59.2,2023-01-14T15:15:44.089Z,2023-01-15T08:54:49Z,3977171247,213,3.5,3979101607,178,,3977171245,212,24.9,3977171241,140,14.5,3977171239,56,Back,3977171243,141,46.6,,,,,,,2udtmz4lvh4vil16mxvo0j4l,Aleix García,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497238421,6,1,1,0,14,7h7eg7q7dbwvzww78h9d5eh0h,1,12,37,2023-01-14T15:15:53.920Z,2023-01-15T08:54:52Z,3977171587,141,17.3,3977171579,56,Back,3979101649,178,,3977171593,212,16.3,3977171599,213,5.3,3977171583,140,20.9,,,,,,,eavhyxb9dfjh0jp5yzg8p8udx,P. Gazzaniga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497238489,7,1,1,0,16,7h7eg7q7dbwvzww78h9d5eh0h,1,21.2,16.7,2023-01-14T15:15:56.182Z,2023-01-15T08:54:56Z,3977171967,212,11.1,3977171965,141,6.2,3977171971,213,5.6,3977171961,56,Back,3977171963,140,29.3,3979101703,178,,,,,,,,39dgr8s91agremy3nvp4q2221,S. Bueno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497238561,8,1,1,0,18,7h7eg7q7dbwvzww78h9d5eh0h,1,28,7.3,2023-01-14T15:15:58.226Z,2023-01-15T08:55:01Z,3977172371,212,10.5,3977172373,213,1.4,3979101739,178,,3977172367,141,22.5,3977172363,140,29.8,3977172361,56,Back,,,,,,,2nq5nzq35tfwc7po29dtwqp78,Arnau Martínez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
