id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/16/value,qualifier/17/value,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2497717367,1,34,16,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2023-01-15T14:19:14.706Z,2023-01-15T15:16:57Z,3979912907,197,287,3979732919,30,"c3secspt4xvu1q4g6aonn7zyt, 6mz6fzrfndfv7zpm38a6msmw9, azzdqp6lcd4g9d4jy55pz0549, 1km9nvqz03yoj9cxpv127id7u, 99zc12kmr9893h24mo95wcn9x, a5x0poaqzssg2yuou57qgyead, 5rabxq8qyxf2q2ak506xim9rd, 6kpscy08tl4fkie4w4hl49n11, e6ok0deqkoe80184iu509gzu2, 3cu2brlp37h4u00mm5n4hb651, 63yktdky9m0aus8ebkaqzdhhx, 497cy3s5ck9f5h563c4aixfdg, 36lk52zhgyn11s1pax3y7wout, 1htx8ub2kxvq0vnzarbrynyt, blvf8qsi6iy6ejyer58okyxka, 8zlr9xkh9dkt1pbw3w91uazmd, ec4coej1l0a7he2896hjbz04q, d1d3v27d4r6vme6n2w5umaacp, 3flv9yp9x61ph57xugztva9nu, e53c7z5bdud6uycw32s3qgx9m, 1trnf7miqmcgr67c4808t4yj9, 9bbu1yne0l9j862yodiuldw4p, e3me5pr7zub5dbfqil1con59m",3979732925,130,4,3979732923,59,"13, 17, 15, 23, 19, 21, 5, 3, 9, 12, 10, 2, 4, 6, 7, 8, 14, 16, 18, 20, 22, 24, 25",3979732931,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979732927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979732921,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979732929,194,5rabxq8qyxf2q2ak506xim9rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497718531,1,34,16,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2023-01-15T14:21:00.607Z,2023-01-15T15:18:56Z,3979739479,30,"2yt9oajv9dkbju8tgy1g2nmqd, ieu0x9fy8hpqyztdjg8bgpnt, cj3dik1dqyo2nf1jgmyn471sl, 58qeglyxdi7y8ttg8sddv8set, 59234as8h70fejyfm7492np3p, am5gj5qg3gjtyhvwfnj8sjz6d, amxunh6enoc99r07cp7qt621h, b9kfek16otvdorssn0wzkb36d, 6fdvv4zs5pl6qj7pp6tsp5iad, 716n1970vi9rvw5b4w9qmjfth, ejcyvgclry4g5pc2rtptifphx, cfhk5255hz4wbs2zsrq219a6t, b6gclblu9lz3sstpla966ik7p, 3ga7qj3h3dbmqucxmaxhmrjdh, 40h47dhimsmeiury61w1ourx1, f30avgacyfz88ppw9mh8v57md, 46kq5653o302ebz4o5yzsss0l, c90gk99jn34wxtlad784hpnv8, 9e7ybe0nsu3byq2tteey3zuy2, e7ezci1jed1hnvdq8kf6lq3qi",3979739489,194,b9kfek16otvdorssn0wzkb36d,3979739491,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979739487,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3979739481,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3979940997,197,16765,3979739485,130,7,3979739483,59,"13, 16, 23, 4, 20, 22, 14, 6, 10, 8, 11, 1, 3, 5, 17, 18, 19, 29, 34, 36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497753993,2,32,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,0,0,2023-01-15T15:15:11.335Z,2023-01-15T15:15:11Z,3979941933,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497754005,2,32,1,0,0,cobffe32r7g4skka9m19qib63,1,0,0,2023-01-15T15:15:11.335Z,2023-01-16T00:54:22Z,3979941989,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497754033,3,1,1,0,0,4ku8o6uf87yd8iecdalipo6wd,1,50,50,2023-01-15T15:15:11.563Z,2023-01-16T07:12:35Z,3979942125,140,31.3,3979942133,279,S,3979942123,56,Back,3979942365,189,,3981053205,178,,3979942129,212,22.1,3979942131,213,2.7,3979942127,141,65.0,b9kfek16otvdorssn0wzkb36d,Koke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497754131,4,1,1,0,2,4ku8o6uf87yd8iecdalipo6wd,1,28.4,75.3,2023-01-15T15:15:13.855Z,2023-01-16T07:12:40Z,3981053267,178,,3979942627,141,98.1,3979942631,213,1.7,3979942629,212,15.6,3979942623,56,Back,3979942625,140,26.8,,,,,,,am5gj5qg3gjtyhvwfnj8sjz6d,Hermoso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497754213,5,1,1,0,7,4ku8o6uf87yd8iecdalipo6wd,0,27.8,98.9,2023-01-15T15:15:18.766Z,2023-01-16T07:12:43Z,3979943021,56,Center,3979943037,213,5.8,3979943029,141,69.6,3981053305,178,,3980185871,155,,3979943025,140,66.1,3979943041,1,,3979943033,212,44.9,cj3dik1dqyo2nf1jgmyn471sl,Reinildo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497754233,3,1,1,0,9,cobffe32r7g4skka9m19qib63,1,33.2,17.8,2023-01-15T15:15:21.216Z,2023-01-16T07:12:47Z,3979943141,56,Back,3979943153,212,9.9,3979943149,141,16.9,3981053355,388,,3979943139,3,,3979943145,140,42.6,3979943157,213,6.2,,,,99zc12kmr9893h24mo95wcn9x,Rodrigo Ely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497754249,4,1,1,0,10,cobffe32r7g4skka9m19qib63,1,42.6,16.9,2023-01-15T15:15:22.116Z,2023-01-16T07:12:51Z,3979943203,141,5.8,3981053407,178,,3979943205,212,14.7,3979943197,3,,3979943207,213,3.7,3979943199,56,Back,3979943201,140,30.6,,,,1km9nvqz03yoj9cxpv127id7u,Samú Costa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2497754253,5,49,1,0,11,cobffe32r7g4skka9m19qib63,1,30.6,5.8,2023-01-15T15:15:23.156Z,2023-01-16T07:12:55Z,,,,,,,,,,,,,,,,,,,,,,,,,6mz6fzrfndfv7zpm38a6msmw9,Alejandro Pozo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
